question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
Where is a student likely to be focused on computers?,computers,train-00000-of-00001,C,"Question:
Where is a student likely to be focused on computers?

Which of the following is the best response to the question?

Choices:
A. library
B. space shuttle
C. mit
D. dormitory
E. post office

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
Where are you not likely to find an apple tree?,apple tree,train-00000-of-00001,A,"Question:
Where are you not likely to find an apple tree?

Which of the following is the best response to the question?

Choices:
A. new york
B. washington state
C. valley
D. rainforest
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where might an American weasel live?,weasel,train-00000-of-00001,A,"Question:
Where might an American weasel live?

Which of the following is the best response to the question?

Choices:
A. michigan
B. chicken coop
C. great britain
D. hen house
E. in deep sea

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What do all humans want to experience in their own home?,humans,train-00000-of-00001,B,"Question:
What do all humans want to experience in their own home?

Which of the following is the best response to the question?

Choices:
A. wealth
B. feel comfortable
C. work hard
D. lay eggs
E. fall in love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What stadium is there where men once fought with spears?,stadium,train-00000-of-00001,A,"Question:
What stadium is there where men once fought with spears?

Which of the following is the best response to the question?

Choices:
A. rome
B. college town
C. playing sports
D. large city
E. hold concert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
An attempt to confirm an applicant's reference would fail if the reference does what?,confirm,train-00000-of-00001,C,"Question:
An attempt to confirm an applicant's reference would fail if the reference does what?

Which of the following is the best response to the question?

Choices:
A. question
B. dispute
C. deny
D. contradict
E. refuse

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Who said ignorance was not an excuse for the crime?,ignorance,train-00000-of-00001,E,"Question:
Who said ignorance was not an excuse for the crime?

Which of the following is the best response to the question?

Choices:
A. learn about subject
B. learn new
C. find truth
D. is bliss
E. judge

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
"We all eventually die, even though we usually what?",die,train-00000-of-00001,D,"Question:
We all eventually die, even though we usually what?

Which of the following is the best response to the question?

Choices:
A. seek help
B. write will
C. wish we could
D. never want
E. go to hell

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"She found out who her father was, discovering truth had led her to feel what?",discovering truth,train-00000-of-00001,E,"Question:
She found out who her father was, discovering truth had led her to feel what?

Which of the following is the best response to the question?

Choices:
A. conclusion
B. pain
C. very sad
D. relief
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
Spraining an ankle while playing baseball will cause what?,playing baseball,validation-00000-of-00001,E,"Question:
Spraining an ankle while playing baseball will cause what?

Which of the following is the best response to the question?

Choices:
A. strikes
B. eating
C. injury
D. sore muscles
E. pain

Reply with exactly one uppercase letter out of A, B, C, D or E.
",85
