question,subject,split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"Charlie Chaplin was one of the greatest and widely loved silent movie stars. From ""Easy Street"" (1917) to ""Modern Times"" (1936), he made many of the funniest and most popular films of his time. He was best known for his character, the naive and lovable Little Tramp. The Little Tramp, a well meaning man in a raggedy suit with cane, always found himself wobbling into awkward situations and strangely wobbling away. More than any other figure, it is this kind-hearted character that we associate with the time before the talkies (sound films). Born in London in 1889, Chaplin first visited America with a theater company in 1907. Appearing as ""Billy"" in the play ""Sherlock Holmes"", the young Chaplin toured the country twice. On his second tour, he met Mack Sennett and was signed to Keystone Studios to act in films. In 1914 Chaplin made his first one-reeler, ""Making a Living"". That same year he made thirty-four more short films, including ""Caught in a Cabaret"", ""Caught in the Rain"", ""The Face on the Bar-Room Floor"", and ""His Trysting Place"". These early silent shorts allowed very little time for anything but physical comedy, and Chaplin was a master at it. Though Chaplin is of the silent movie era, we see his achievements carried through in the films of today. With the appearance of the feature-length talkies, the need for more subtle acting became apparent. To maintain the audience's attention throughout a six-reel film, an actor needed to move beyond constant comedy. Chaplin had demanded this depth long before anyone else. His strictness and concern for the processes of acting and directing made his films great and led the way to a new, more sophisticated, cinema. Which word can best describe Charlie Chaplin according to the passage?",,auxiliary_train-00000-of-00001,C,"Charlie Chaplin was one of the greatest and widely loved silent movie stars. From ""Easy Street"" (1917) to ""Modern Times"" (1936), he made many of the funniest and most popular films of his time. He was best known for his character, the naive and lovable Little Tramp. The Little Tramp, a well meaning man in a raggedy suit with cane, always found himself wobbling into awkward situations and strangely wobbling away. More than any other figure, it is this kind-hearted character that we associate with the time before the talkies (sound films). Born in London in 1889, Chaplin first visited America with a theater company in 1907. Appearing as ""Billy"" in the play ""Sherlock Holmes"", the young Chaplin toured the country twice. On his second tour, he met Mack Sennett and was signed to Keystone Studios to act in films. In 1914 Chaplin made his first one-reeler, ""Making a Living"". That same year he made thirty-four more short films, including ""Caught in a Cabaret"", ""Caught in the Rain"", ""The Face on the Bar-Room Floor"", and ""His Trysting Place"". These early silent shorts allowed very little time for anything but physical comedy, and Chaplin was a master at it. Though Chaplin is of the silent movie era, we see his achievements carried through in the films of today. With the appearance of the feature-length talkies, the need for more subtle acting became apparent. To maintain the audience's attention throughout a six-reel film, an actor needed to move beyond constant comedy. Chaplin had demanded this depth long before anyone else. His strictness and concern for the processes of acting and directing made his films great and led the way to a new, more sophisticated, cinema. Which word can best describe Charlie Chaplin according to the passage?

Choices:
A. lovable
B. kind-hearted
C. strict
D. awkward

Reply with exactly one uppercase letter out of A, B, C, or D.
",483
"Recently Cathy Hagner sadly finds that life for her and her three children is set to permanent fast-forward. Their full school day and her job as a lawyer's assistant are busy enough. But Hanger also has to take the two boys to soccer or hockey or basketball while dropping off her daughter at piano lessons or Girl Scout Club. Often, the exhausted family doesn't get home until 7 pm. There is just time for a quick supper before homework. In today's world, middle-class American and British parents treat their children as if they are competitors racing for some finishing line. Parents take their children from activity to activity in order to make their future bright. It seems that raising a genius has become a more important goal than raising a happy and well-balanced child. ""Doctors across the country are reporting a growing number of children suffering from stomachaches and headaches due to exhaustion and stress,"" says child expert William Doherty of the University of Minnesota. Teachers are dealing with exhausted kids in the classroom. It's a very serious problem. Many children attend after-school clubs by necessity. But competitive pressures also create an explosion of activities. They include sports, language, music and math classes for children as young as four. ""There is a new parenting trend under way which says that you have to tap all your child's potential at a young age; otherwise you will let him down,"" says Terry Apter, a Cambridge-based child and adolescent psychiatrist . ""It isn't entirely new: there have always been pushy parents. But what was previously seen as strange behavior is now well accepted."" The writer's opinion about after-school clubs is that   _  .",,auxiliary_train-00000-of-00001,D,"Recently Cathy Hagner sadly finds that life for her and her three children is set to permanent fast-forward. Their full school day and her job as a lawyer's assistant are busy enough. But Hanger also has to take the two boys to soccer or hockey or basketball while dropping off her daughter at piano lessons or Girl Scout Club. Often, the exhausted family doesn't get home until 7 pm. There is just time for a quick supper before homework. In today's world, middle-class American and British parents treat their children as if they are competitors racing for some finishing line. Parents take their children from activity to activity in order to make their future bright. It seems that raising a genius has become a more important goal than raising a happy and well-balanced child. ""Doctors across the country are reporting a growing number of children suffering from stomachaches and headaches due to exhaustion and stress,"" says child expert William Doherty of the University of Minnesota. Teachers are dealing with exhausted kids in the classroom. It's a very serious problem. Many children attend after-school clubs by necessity. But competitive pressures also create an explosion of activities. They include sports, language, music and math classes for children as young as four. ""There is a new parenting trend under way which says that you have to tap all your child's potential at a young age; otherwise you will let him down,"" says Terry Apter, a Cambridge-based child and adolescent psychiatrist . ""It isn't entirely new: there have always been pushy parents. But what was previously seen as strange behavior is now well accepted."" The writer's opinion about after-school clubs is that   _  .

Choices:
A. activities in the country are too competitive
B. children should attend four clubs at a time
C. clubs should have more subjects for school children
D. some clubs result in competitive pressures

Reply with exactly one uppercase letter out of A, B, C, or D.
",450
"Frogs are animals that can live both in water and on land.There are more than 5.000 kinds of frogs on the earth.The earliest known frogs lived about 190 million years ago and the frogs today still look the same.Here are some fun things that you might not know about frogs.Enjoy! The Biggest and the Smallest Frogs Some frogs can be very big.The biggest kind of frog is the Goliath Frog in West Africa.Its body can be nearly 30cm long,about the size of a large cat.The Gold Frog and the Poison Frog are the smallest frogs in the world.They are less than lem long.Though the Poison Frog is very small,it is not weak at all.It is dangerous.Any animal that eats it will die very soon. The Best Jumpers Frogs are very good at jumping.They developed jumping legs so that they would not be eaten by other large animals.Using their big strong legs,most frogs can jump over 20 times their own length.It is like a person jumping over about 30.48m.The Australian Rocket Frog can even jump over 2m,which is 50 times its body length(5.5cm).That might be the reason why frogs are called the best jumpers on the earth. The Cryogenic Animal Some frogs like the Common Wood Frog have a special ability to live in very cold places.When the temperature goes down,they become ice frogs.2/3 of their body water freezes.Their hearts stop,and their breathing stops too.You may think they are dead,but in fact they are not.Maybe we humanscan learn thc way that the frogs do for medical purpose. The earliest frogs lived about  _  million years ago.",,auxiliary_train-00000-of-00001,D,"Frogs are animals that can live both in water and on land.There are more than 5.000 kinds of frogs on the earth.The earliest known frogs lived about 190 million years ago and the frogs today still look the same.Here are some fun things that you might not know about frogs.Enjoy! The Biggest and the Smallest Frogs Some frogs can be very big.The biggest kind of frog is the Goliath Frog in West Africa.Its body can be nearly 30cm long,about the size of a large cat.The Gold Frog and the Poison Frog are the smallest frogs in the world.They are less than lem long.Though the Poison Frog is very small,it is not weak at all.It is dangerous.Any animal that eats it will die very soon. The Best Jumpers Frogs are very good at jumping.They developed jumping legs so that they would not be eaten by other large animals.Using their big strong legs,most frogs can jump over 20 times their own length.It is like a person jumping over about 30.48m.The Australian Rocket Frog can even jump over 2m,which is 50 times its body length(5.5cm).That might be the reason why frogs are called the best jumpers on the earth. The Cryogenic Animal Some frogs like the Common Wood Frog have a special ability to live in very cold places.When the temperature goes down,they become ice frogs.2/3 of their body water freezes.Their hearts stop,and their breathing stops too.You may think they are dead,but in fact they are not.Maybe we humanscan learn thc way that the frogs do for medical purpose. The earliest frogs lived about  _  million years ago.

Choices:
A. 20
B. 30
C. 50
D. 190

Reply with exactly one uppercase letter out of A, B, C, or D.
",458
"Doctors say anger can be an extremely damaging emotion, unless you learn how to deal with it. They warn that anger can lead to heart disease, stomach problems, headaches, emotional problems and possibly cancer. Anger is a normal emotion that we all feel from time to time. Some people express anger openly in a calm reasonable way. Others burst with anger, and scream and yell. But other people keep their anger inside. They can not or will not express it. This is called repressing anger. For years many doctors thought that repressing anger was more dangerous to a person's health than expressing it. They said that when a person is angry, the brain releases the same hormones  .They speed the heart rate, raise blood pressure, or sugar into the blood, etc.In general the person feels excited and ready to act. Some doctors say that both repressing and expressing anger can be dangerous. They believe that those who express anger _ may be more likely to develop heart disease, and they believe that those who keep their anger inside may face a greater danger of high blood pressure. Doctors say the solution is learning how to deal with anger. They say the first step is to admit that you are angry and to recognize the real cause of the anger, then decide if the cause is serious enough to get angry about. If it is, they say, ""Do not express your anger while angry. Wait until your anger has cooled down and you are able to express yourself calmly and reasonably."" Doctors say that a good way to deal with anger is to find humor in the situation that has made you angry. They said that laughter is much healthier than anger. According to the author, you'd better   _  .",,auxiliary_train-00000-of-00001,B,"Doctors say anger can be an extremely damaging emotion, unless you learn how to deal with it. They warn that anger can lead to heart disease, stomach problems, headaches, emotional problems and possibly cancer. Anger is a normal emotion that we all feel from time to time. Some people express anger openly in a calm reasonable way. Others burst with anger, and scream and yell. But other people keep their anger inside. They can not or will not express it. This is called repressing anger. For years many doctors thought that repressing anger was more dangerous to a person's health than expressing it. They said that when a person is angry, the brain releases the same hormones  .They speed the heart rate, raise blood pressure, or sugar into the blood, etc.In general the person feels excited and ready to act. Some doctors say that both repressing and expressing anger can be dangerous. They believe that those who express anger _ may be more likely to develop heart disease, and they believe that those who keep their anger inside may face a greater danger of high blood pressure. Doctors say the solution is learning how to deal with anger. They say the first step is to admit that you are angry and to recognize the real cause of the anger, then decide if the cause is serious enough to get angry about. If it is, they say, ""Do not express your anger while angry. Wait until your anger has cooled down and you are able to express yourself calmly and reasonably."" Doctors say that a good way to deal with anger is to find humor in the situation that has made you angry. They said that laughter is much healthier than anger. According to the author, you'd better   _  .

Choices:
A. never be angry
B. cool it down before you express your anger.
C. laugh and laugh when you get angry
D. admit you are wrong when you are angry

Reply with exactly one uppercase letter out of A, B, C, or D.
",441
"The World Bank is warning that the West Africa Ebola outbreak could seriously harm the economies  of Guinea, Liberia and Sierra Leone unless action is taken quickly. World Bank President Jim Yong Kim spoke to reporters recently to discuss the effects of the Ebola spread. ""Our findings show that if the virus  continues to spread, the economic cost to these countries could grow eight times by 2015. This would be a big _ to their already weak economies,"" said Kim. Mr. Kim says, ""saving lives and preventing new spread"" is most important. The bank has given $117-million for an ""immediate help."" The World Bank President says the SARS outbreak between 2002 and 2004 showed how a disease could damage economies. 800 people died from SARS and the economic losses were up to $40-billion. Mr. Kim says SARS and the H1N1 outbreak of 2009 taught that fear and avoidance resulted in about 90-percent of the economic losses. That means the disease is causing two levels of economic damage. ""There are two kinds of contagion . One is connected with the virus itself and the second is connected with the spread of fear about the virus,"" said Kim. The World Bank thinks the losses to the economies of Liberia, Sierra Leone and Guinea will be big .Mr. Kim says losses could be about $97-million at the moment. Mr. Kim says fast action is necessary. He says getting the disease under control is still far away. That is because there are not enough health care workers in the affected areas. The World Bank President says the most important measure is to act quickly in order to limit economic losses. What's the main idea of the whole passage?",,auxiliary_train-00000-of-00001,D,"The World Bank is warning that the West Africa Ebola outbreak could seriously harm the economies  of Guinea, Liberia and Sierra Leone unless action is taken quickly. World Bank President Jim Yong Kim spoke to reporters recently to discuss the effects of the Ebola spread. ""Our findings show that if the virus  continues to spread, the economic cost to these countries could grow eight times by 2015. This would be a big _ to their already weak economies,"" said Kim. Mr. Kim says, ""saving lives and preventing new spread"" is most important. The bank has given $117-million for an ""immediate help."" The World Bank President says the SARS outbreak between 2002 and 2004 showed how a disease could damage economies. 800 people died from SARS and the economic losses were up to $40-billion. Mr. Kim says SARS and the H1N1 outbreak of 2009 taught that fear and avoidance resulted in about 90-percent of the economic losses. That means the disease is causing two levels of economic damage. ""There are two kinds of contagion . One is connected with the virus itself and the second is connected with the spread of fear about the virus,"" said Kim. The World Bank thinks the losses to the economies of Liberia, Sierra Leone and Guinea will be big .Mr. Kim says losses could be about $97-million at the moment. Mr. Kim says fast action is necessary. He says getting the disease under control is still far away. That is because there are not enough health care workers in the affected areas. The World Bank President says the most important measure is to act quickly in order to limit economic losses. What's the main idea of the whole passage?

Choices:
A. Ebola is a serious and infectious illness.
B. Large numbers of people have died from Ebola.
C. People in the West Africa are in great fear of the spread of Ebola virus.
D. Ebola will harm economies in the West Africa seriously without quick action.

Reply with exactly one uppercase letter out of A, B, C, or D.
",494
"You are busy filling out the application form for a position you really need; let's assume you once actually completed a couple of years of college work or even that you completed your degree. Isn't it tempting to lie just a little, to claim on the form that your diploma  represents a Harvard degree? Or that you finished an extra couple of years back at State University? More and more people are turning to an utter deception   like this to land their first job or to move head in their careers. For personnel officers, like most Americans, value degrees from famous schools. A job applicant may have a good education anyway, but he or she assumes that chances of being hired are better with a diploma from a well-known university. Registrars at most well-known colleges say that they deal with dishonest claims like these at the rate of about one per week. Personnel officers do check up on degrees listed on application forms. If it turns out that an applicant is lying, most colleges are unwilling to accuse the applicant directly. One lvy League school refers to them as ""special cases"", One well-known West Coast school, in perhaps the most delicate phrase of all, says these claims are made by ""no such people"". To avoid complete lies, some job seekers claim that they ""attended"" or ""were associated with"" a college or university. After careful checking, a personnel officer may discover that ""attending"" means being dismissed after one semester. It may be that ""being as sociated with"" a college means that the job-seeker visited his younger brother for a football weekend. One school that keeps records of false claims says that the practice dates back at least to the turn of  the century--that's when they began keeping records, anyhow. If you don't want to lie or even stretch the truth, there are companies that will sell you a fake diploma. One company, with offices in New York and on the West Coast, will put your name on a diploma from any number of non-existent colleges. The price begins at around twenty dollars for a diploma from ""Smoot State University"". The prices increase rapidly for a degree from the ""University of Purdue"". As there is no Smoot State and the real school in Indiana is properly called Purdue University, the prices seem rather high for one sheet of paper. Once finding applicants with false diplomas, most colleges would   _  .",,auxiliary_train-00000-of-00001,C,"You are busy filling out the application form for a position you really need; let's assume you once actually completed a couple of years of college work or even that you completed your degree. Isn't it tempting to lie just a little, to claim on the form that your diploma  represents a Harvard degree? Or that you finished an extra couple of years back at State University? More and more people are turning to an utter deception   like this to land their first job or to move head in their careers. For personnel officers, like most Americans, value degrees from famous schools. A job applicant may have a good education anyway, but he or she assumes that chances of being hired are better with a diploma from a well-known university. Registrars at most well-known colleges say that they deal with dishonest claims like these at the rate of about one per week. Personnel officers do check up on degrees listed on application forms. If it turns out that an applicant is lying, most colleges are unwilling to accuse the applicant directly. One lvy League school refers to them as ""special cases"", One well-known West Coast school, in perhaps the most delicate phrase of all, says these claims are made by ""no such people"". To avoid complete lies, some job seekers claim that they ""attended"" or ""were associated with"" a college or university. After careful checking, a personnel officer may discover that ""attending"" means being dismissed after one semester. It may be that ""being as sociated with"" a college means that the job-seeker visited his younger brother for a football weekend. One school that keeps records of false claims says that the practice dates back at least to the turn of  the century--that's when they began keeping records, anyhow. If you don't want to lie or even stretch the truth, there are companies that will sell you a fake diploma. One company, with offices in New York and on the West Coast, will put your name on a diploma from any number of non-existent colleges. The price begins at around twenty dollars for a diploma from ""Smoot State University"". The prices increase rapidly for a degree from the ""University of Purdue"". As there is no Smoot State and the real school in Indiana is properly called Purdue University, the prices seem rather high for one sheet of paper. Once finding applicants with false diplomas, most colleges would   _  .

Choices:
A. keep the records of them
B. drive them out of college
C. avoid direct conflicts with them
D. accuse them of such behavior

Reply with exactly one uppercase letter out of A, B, C, or D.
",593
"Sometimes ideas do not appear when you are concentrating your attention and mysteriously appear when you are not. Modern science recognizes this as a result of incubating  the problem in your subconscious , yet can't account for why it occurs. When you quit thinking about a subject and decide to forget it, your subconscious mind doesn't quit working. Your thoughts keep making associations(,). This is why you've experienced suddenly remembering names, getting solutions to problems you've forgotten about, and ideas out of the blue when you are relaxing and not thinking about any particular thing. You may try solving a problem with your subconscious mind by writing a letter to it. Now let go of the problem. Don't work on it. Forget it. Do something else. This is the incubation stage when much of what goes on occurs outside your focused awareness, in your unconsciousness. Open the letter in two days. The answer might magically pop into your mind. An advertising agency was under pressure to come up with a marketing campaign. Bert, the creative director, wrote the following letter which he addressed to his subconscious mind. Secret Expert, I need to come up with a new marketing program to introduce a new season of television shows. I'm interested in some kind of campaign that will capture the audience's attention more than one time. Is there something people need that we can advertise on? What kind of products, foods and services should we investigate? I need your idea about a fresh approach to advertising. Thanks, Bert Bert mailed the letter to himself and when he read what he had written, he got his brainstorm, which was to advertise on ""eggs"". Somehow an association between ""foods"", ""need"" and ""fresh approach"" inspired the thought of using ""fresh eggs to advertise."" He arranged to put the ad for the television shows on eggs -- some thirty million. The consumers look at a single egg at least a few times, when they buy the eggs at the store, when they transfer(,,) them to the refrigerator, and when they crack them open. It's unlike any other ad medium in the world, because you're looking at it while you are using it. During the incubation stage, your focused awareness   _  .",,auxiliary_train-00000-of-00001,A,"Sometimes ideas do not appear when you are concentrating your attention and mysteriously appear when you are not. Modern science recognizes this as a result of incubating  the problem in your subconscious , yet can't account for why it occurs. When you quit thinking about a subject and decide to forget it, your subconscious mind doesn't quit working. Your thoughts keep making associations(,). This is why you've experienced suddenly remembering names, getting solutions to problems you've forgotten about, and ideas out of the blue when you are relaxing and not thinking about any particular thing. You may try solving a problem with your subconscious mind by writing a letter to it. Now let go of the problem. Don't work on it. Forget it. Do something else. This is the incubation stage when much of what goes on occurs outside your focused awareness, in your unconsciousness. Open the letter in two days. The answer might magically pop into your mind. An advertising agency was under pressure to come up with a marketing campaign. Bert, the creative director, wrote the following letter which he addressed to his subconscious mind. Secret Expert, I need to come up with a new marketing program to introduce a new season of television shows. I'm interested in some kind of campaign that will capture the audience's attention more than one time. Is there something people need that we can advertise on? What kind of products, foods and services should we investigate? I need your idea about a fresh approach to advertising. Thanks, Bert Bert mailed the letter to himself and when he read what he had written, he got his brainstorm, which was to advertise on ""eggs"". Somehow an association between ""foods"", ""need"" and ""fresh approach"" inspired the thought of using ""fresh eggs to advertise."" He arranged to put the ad for the television shows on eggs -- some thirty million. The consumers look at a single egg at least a few times, when they buy the eggs at the store, when they transfer(,,) them to the refrigerator, and when they crack them open. It's unlike any other ad medium in the world, because you're looking at it while you are using it. During the incubation stage, your focused awareness   _  .

Choices:
A. doesn't work
B. controls your thoughts
C. waits for an answer
D. leads to you being unconscious

Reply with exactly one uppercase letter out of A, B, C, or D.
",559
"Plant World Garden Centre is located between Torquay and Newton Abbot. The Garden is laid out to represent the five continents of the world. Our inspirational gardens contain countless rare and foreign plants seldom seen outside their native lands. Our Famous ""Gardens of the World"" It was designed , built and planted in  1986  as the first ever "" Map of the World Gardens"" . It takes visitors half an hour or more to drive along the winding pathways around the ""world map"" and see which plants grow in which countries. The neighboring rare plant nurseries ( ) enable visitors to take home plants and trees growing there. We give a warm welcome to garden clubs and gardening societies, many of whom make annual visits. Latest News Our new Garden website is released! We hope you like our new website which we have tried to fill with interesting information and history about our lovely gardens. Seeds We produce and sell over 3 ,000 varieties of flower and vegetable seeds. Many are rare ,and unusual. All of them can be  purchased on our sister website : www. plant-world-seeds.com. Scenic Cafe Our hilltop cafe offers one of the most incredible panoramas  ( )  of Britain. The menu includes toasted sandwiches and jacket potatoes. In addition ,many home-made cakes are offered, including the famous Devon Cream Teas. We always use local produce whenever possible-our ice creams are from Language , our home-made soups come from Rod & Bens ,and our bottled drinks are supplied by Heron Valley. Opening Times We are open 9:30 am - 5 :00 pm, seven days a week, from late March to mid October ( please call first to confirm at the start/end of season) .  . Garden Admission Prices Day ticket : ~ 3 Season ticket : PS 10 Kids under 12 go free If a couple and their l0-year-old son want to visit Plant World Garden for two days, they need to pay   _",,auxiliary_train-00000-of-00001,D,"Plant World Garden Centre is located between Torquay and Newton Abbot. The Garden is laid out to represent the five continents of the world. Our inspirational gardens contain countless rare and foreign plants seldom seen outside their native lands. Our Famous ""Gardens of the World"" It was designed , built and planted in  1986  as the first ever "" Map of the World Gardens"" . It takes visitors half an hour or more to drive along the winding pathways around the ""world map"" and see which plants grow in which countries. The neighboring rare plant nurseries ( ) enable visitors to take home plants and trees growing there. We give a warm welcome to garden clubs and gardening societies, many of whom make annual visits. Latest News Our new Garden website is released! We hope you like our new website which we have tried to fill with interesting information and history about our lovely gardens. Seeds We produce and sell over 3 ,000 varieties of flower and vegetable seeds. Many are rare ,and unusual. All of them can be  purchased on our sister website : www. plant-world-seeds.com. Scenic Cafe Our hilltop cafe offers one of the most incredible panoramas  ( )  of Britain. The menu includes toasted sandwiches and jacket potatoes. In addition ,many home-made cakes are offered, including the famous Devon Cream Teas. We always use local produce whenever possible-our ice creams are from Language , our home-made soups come from Rod & Bens ,and our bottled drinks are supplied by Heron Valley. Opening Times We are open 9:30 am - 5 :00 pm, seven days a week, from late March to mid October ( please call first to confirm at the start/end of season) .  . Garden Admission Prices Day ticket : ~ 3 Season ticket : PS 10 Kids under 12 go free If a couple and their l0-year-old son want to visit Plant World Garden for two days, they need to pay   _

Choices:
A. PS9
B. PS6
C. PS27
D. PS12

Reply with exactly one uppercase letter out of A, B, C, or D.
",508
"Books, Films and Plays The novelist's medium is the written word, one might almost say the printed word. Typically the novel is consumed by a silent, individual reader, who may be anywhere at the time. The paperback novel is still the cheapest, most portable and adaptable form of narrative entertainment. It is limited to a single channel of information---writing. The narrative can go, effortlessly, anywhere: into space, people's head, palaces, prisons and pyramids, without any consideration of cost or practical possibility. In determining the shape and content of his narrative, the writer is restricted by nothing except purely artistic criteria. The novelist keeps absolute control over his text until it is published and received by the audience. He may be advised by his editor to revise his text, but if the writer refused to meet this condition no one would be surprised. It is not unknown for a well-established novelist to deliver his or her manuscript  and expect the publisher to print it exactly as written. However, not even the most well-established playwright or screenplay writer would submit a script and expect it to be performed without any rewriting. This is because plays and motion pictures are cooperative forms of narrative, using more than one channel of communication. The production of a stage play involves, as well as the words of the author, the physical presence of the actors, their voices and gestures, the ""set"" and possibly music. Although the script is the essential basis of both stage play and film, it is a basis for subsequent revision negotiated between the writer and the other creative people involved. They are given ""approval"" of the choice of director and actors and have the right to attend rehearsals , during which period they may undertake more rewriting work. In the case of the screenplay, the writer may have little or no control over the final form of his work. Contracts for the production of plays protect the rights of authors in this respect. In film or television work, on the other hand, the screenplay writer has no contractual right to this degree of consultation. While the script is going through its various drafts, the writer is in the driver's seat, although sometimes receiving criticism from the producer and the director. But once the production is under way, artistic control over the project tends to pass to the director. _ What can be implied from the last sentence of the passage?",,auxiliary_train-00000-of-00001,A,"Books, Films and Plays The novelist's medium is the written word, one might almost say the printed word. Typically the novel is consumed by a silent, individual reader, who may be anywhere at the time. The paperback novel is still the cheapest, most portable and adaptable form of narrative entertainment. It is limited to a single channel of information---writing. The narrative can go, effortlessly, anywhere: into space, people's head, palaces, prisons and pyramids, without any consideration of cost or practical possibility. In determining the shape and content of his narrative, the writer is restricted by nothing except purely artistic criteria. The novelist keeps absolute control over his text until it is published and received by the audience. He may be advised by his editor to revise his text, but if the writer refused to meet this condition no one would be surprised. It is not unknown for a well-established novelist to deliver his or her manuscript  and expect the publisher to print it exactly as written. However, not even the most well-established playwright or screenplay writer would submit a script and expect it to be performed without any rewriting. This is because plays and motion pictures are cooperative forms of narrative, using more than one channel of communication. The production of a stage play involves, as well as the words of the author, the physical presence of the actors, their voices and gestures, the ""set"" and possibly music. Although the script is the essential basis of both stage play and film, it is a basis for subsequent revision negotiated between the writer and the other creative people involved. They are given ""approval"" of the choice of director and actors and have the right to attend rehearsals , during which period they may undertake more rewriting work. In the case of the screenplay, the writer may have little or no control over the final form of his work. Contracts for the production of plays protect the rights of authors in this respect. In film or television work, on the other hand, the screenplay writer has no contractual right to this degree of consultation. While the script is going through its various drafts, the writer is in the driver's seat, although sometimes receiving criticism from the producer and the director. But once the production is under way, artistic control over the project tends to pass to the director. _ What can be implied from the last sentence of the passage?

Choices:
A. TV critics often blame the wrong people for the failure of a program.
B. The director is a determining factor in the future of a television drama.
C. Few people know that the screenplay writer is often criticized by the director.
D. It is urgent for the film critics to realize their mistakes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",624
"Women, as all research suggests, are far more critical of their appearance than men. Most of them are likely to feel dissatisfied with their reflection in the mirror. It is quite possible that men looking in the mirror are either pleased with what they see or indifferent. Research shows that men generally have a much more positive body-image than women---if anything, they may tend to over-estimate their attractiveness. Some men looking in the mirror may literally not see the flaws in their appearance. Why are women so much more self-critical than men? Because women are judged more on their appearance than men, and standards of female beauty are considerably higher and more inflexible. Women are continually bombarded   with images of the ""ideal"" face. And constant exposure to idealized images of female beauty on TV, magazines and billboards makes exceptional good looks seem normal and anything short of perfection seem abnormal and ugly.  It has been estimated that young women now see more images of outstandingly beautiful women in one day than our mothers saw throughout their entire adolescence. Also, most women trying to achieve the impossible standards of female beauty have in fact become progressively more unrealistic during the last century. In 1917, the physically perfect woman was about 5 feet 4 inches tall and weighed nearly 10 stone. Even 25 years ago, top models and beauty queens weighed only 8% less than the average women, now they weigh 23% less. The current media ideal for women is achievable by less than 5% of the female population---and that's just in terms of weight and size. If you want the ideal shape, face etc., it's probably more like 1%. Nowadays, if an average woman weighs 110 pounds, then a physically perfect woman should weigh about   _  .",,auxiliary_train-00000-of-00001,A,"Women, as all research suggests, are far more critical of their appearance than men. Most of them are likely to feel dissatisfied with their reflection in the mirror. It is quite possible that men looking in the mirror are either pleased with what they see or indifferent. Research shows that men generally have a much more positive body-image than women---if anything, they may tend to over-estimate their attractiveness. Some men looking in the mirror may literally not see the flaws in their appearance. Why are women so much more self-critical than men? Because women are judged more on their appearance than men, and standards of female beauty are considerably higher and more inflexible. Women are continually bombarded   with images of the ""ideal"" face. And constant exposure to idealized images of female beauty on TV, magazines and billboards makes exceptional good looks seem normal and anything short of perfection seem abnormal and ugly.  It has been estimated that young women now see more images of outstandingly beautiful women in one day than our mothers saw throughout their entire adolescence. Also, most women trying to achieve the impossible standards of female beauty have in fact become progressively more unrealistic during the last century. In 1917, the physically perfect woman was about 5 feet 4 inches tall and weighed nearly 10 stone. Even 25 years ago, top models and beauty queens weighed only 8% less than the average women, now they weigh 23% less. The current media ideal for women is achievable by less than 5% of the female population---and that's just in terms of weight and size. If you want the ideal shape, face etc., it's probably more like 1%. Nowadays, if an average woman weighs 110 pounds, then a physically perfect woman should weigh about   _  .

Choices:
A. 85 pounds
B. 101 pounds
C. 90 pounds
D. 135 pounds

Reply with exactly one uppercase letter out of A, B, C, or D.
",465
