question,question_concept,_split,answer,final_prompt,len_tk_qwen2.5_7b_instruct
Where is a nightclub likely to be?,nightclub,train-00000-of-00001,B,"Question:
Where is a nightclub likely to be?

Which of the following is the best response to the question?

Choices:
A. manhattan
B. downtown area
C. beside a river
D. building
E. major city

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What body of water is typically shallow water?,shallow water,train-00000-of-00001,D,"Question:
What body of water is typically shallow water?

Which of the following is the best response to the question?

Choices:
A. lake
B. aquariums
C. swimming pool
D. pond
E. childrens pools

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How might one go about instituting a civil action?,instituting civil action,train-00000-of-00001,B,"Question:
How might one go about instituting a civil action?

Which of the following is the best response to the question?

Choices:
A. disobedience
B. court case
C. trial
D. anger
E. complications

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where in a city would you find many box offices?,box office,train-00000-of-00001,D,"Question:
Where in a city would you find many box offices?

Which of the following is the best response to the question?

Choices:
A. opera
B. ballpark
C. theatre
D. theater district
E. movie theater

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Who keeps their car in a parking area?,parking area,train-00000-of-00001,C,"Question:
Who keeps their car in a parking area?

Which of the following is the best response to the question?

Choices:
A. apartment complex
B. school yard
C. people
D. amusement park
E. apartment building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
These locker rooms are often visited by reporters.,locker room,train-00000-of-00001,D,"Question:
These locker rooms are often visited by reporters.

Which of the following is the best response to the question?

Choices:
A. jocks
B. health club
C. gymnasium
D. stadium
E. hatred

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would a kitchen towel be found?,towel,train-00000-of-00001,A,"Question:
Where would a kitchen towel be found?

Which of the following is the best response to the question?

Choices:
A. cupboard
B. at hotel
C. linen closet
D. under a rock
E. locker room

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Something you do requires effort and what else?,something you,train-00000-of-00001,D,"Question:
Something you do requires effort and what else?

Which of the following is the best response to the question?

Choices:
A. make progress
B. make peace
C. make war
D. take time
E. kindness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Beer is usually expensive when you attend what public event?,beer,train-00000-of-00001,D,"Question:
Beer is usually expensive when you attend what public event?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. drink
C. fridge
D. sporting event
E. bowling alley

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where could someone find a blue apple tree?,apple tree,train-00000-of-00001,C,"Question:
Where could someone find a blue apple tree?

Which of the following is the best response to the question?

Choices:
A. garden center
B. washington state
C. coloring book
D. florida
E. math problem

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
A projectile ball is in what after being launched?,projectile ball,train-00000-of-00001,B,"Question:
A projectile ball is in what after being launched?

Which of the following is the best response to the question?

Choices:
A. catapult
B. motion
C. flintlock
D. arcade
E. tennis court

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where are there likely to be high tech computers?,computers,train-00000-of-00001,A,"Question:
Where are there likely to be high tech computers?

Which of the following is the best response to the question?

Choices:
A. space shuttle
B. library
C. post office
D. internet cafe
E. mit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Hurting someone else will result in what?,hurting else,train-00000-of-00001,E,"Question:
Hurting someone else will result in what?

Which of the following is the best response to the question?

Choices:
A. broken bones
B. legal problems
C. public outcry
D. punishment
E. hurt feelings

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How does a police officer report his work?,police officer,train-00000-of-00001,B,"Question:
How does a police officer report his work?

Which of the following is the best response to the question?

Choices:
A. charge person with crime
B. case
C. computer
D. direct traffic
E. retire

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What's another name for cargo?,cargo,train-00000-of-00001,E,"Question:
What's another name for cargo?

Which of the following is the best response to the question?

Choices:
A. aeroplane
B. boat
C. giftwrap
D. hiding in
E. ship's hold

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
The potato might be the official vegetable of what?,potato,validation-00000-of-00001,E,"Question:
The potato might be the official vegetable of what?

Which of the following is the best response to the question?

Choices:
A. vegans
B. kitchen cupboard
C. restaurants
D. chicken
E. maryland

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where can you see a mountain in your own home?,mountain,train-00000-of-00001,D,"Question:
Where can you see a mountain in your own home?

Which of the following is the best response to the question?

Choices:
A. park
B. switzerland
C. pennsylvania
D. picture
E. canada

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Nations agreeing with each other will lead to what?,agreeing with,train-00000-of-00001,D,"Question:
Nations agreeing with each other will lead to what?

Which of the following is the best response to the question?

Choices:
A. taco tuesday
B. like
C. problem
D. peace
E. contract

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would a woman store her leg razor?,razor,train-00000-of-00001,E,"Question:
Where would a woman store her leg razor?

Which of the following is the best response to the question?

Choices:
A. outside
B. barber shop
C. psycho's pocket
D. suitcase
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What doorway is likely to have a large wooden door?,doorway,train-00000-of-00001,D,"Question:
What doorway is likely to have a large wooden door?

Which of the following is the best response to the question?

Choices:
A. home
B. airport
C. skyscraper
D. castle
E. every building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What might be felt by a crowd during an intense competition?,competing,train-00000-of-00001,A,"Question:
What might be felt by a crowd during an intense competition?

Which of the following is the best response to the question?

Choices:
A. tension
B. argument
C. sore muscles
D. stress
E. enemies

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"Where can you buy a magazine, paper or gum?",magazine,validation-00000-of-00001,D,"Question:
Where can you buy a magazine, paper or gum?

Which of the following is the best response to the question?

Choices:
A. bank
B. rack
C. bed
D. newsstand
E. bus depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
People do what in crisis?,people,train-00000-of-00001,B,"Question:
People do what in crisis?

Which of the following is the best response to the question?

Choices:
A. grow shorter
B. become hysterical
C. panic
D. take trips
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
How do people show appreciation after they enjoy a show?,see favorite show,train-00000-of-00001,B,"Question:
How do people show appreciation after they enjoy a show?

Which of the following is the best response to the question?

Choices:
A. jump
B. clap
C. smile
D. feel happy
E. watch television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put some coffee if you are thirsty?,coffee,train-00000-of-00001,D,"Question:
Where would you put some coffee if you are thirsty?

Which of the following is the best response to the question?

Choices:
A. container
B. internet cafe
C. starbucks
D. cup
E. supermarket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"Mice live many places, but what is their native habitat?",mice,train-00000-of-00001,E,"Question:
Mice live many places, but what is their native habitat?

Which of the following is the best response to the question?

Choices:
A. attic
B. laboratory
C. loft
D. town
E. countryside

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What could someone who give assistance help someone else to be?,give assistance,train-00000-of-00001,A,"Question:
What could someone who give assistance help someone else to be?

Which of the following is the best response to the question?

Choices:
A. prepared
B. assistant
C. helpful
D. listen
E. help one

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"The champagne was good, it was both sweet and what?",sweet,train-00000-of-00001,E,"Question:
The champagne was good, it was both sweet and what?

Which of the following is the best response to the question?

Choices:
A. bitter
B. decaying
C. spicy
D. sour
E. dry

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"Some do not enjoy getting drunk, it gives them what?",getting drunk,train-00000-of-00001,D,"Question:
Some do not enjoy getting drunk, it gives them what?

Which of the following is the best response to the question?

Choices:
A. intoxication
B. relaxation
C. fights
D. nausea
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What happens when someone trips when going for run?,going for run,train-00000-of-00001,A,"Question:
What happens when someone trips when going for run?

Which of the following is the best response to the question?

Choices:
A. falling down
B. sweating
C. get tired
D. flying
E. working out

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would a corpse be covered by a blanket?,blanket,validation-00000-of-00001,C,"Question:
Where would a corpse be covered by a blanket?

Which of the following is the best response to the question?

Choices:
A. bath store
B. bedroom
C. hospital
D. flower garden
E. michigan

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What does a self assured person often do?,person,validation-00000-of-00001,D,"Question:
What does a self assured person often do?

Which of the following is the best response to the question?

Choices:
A. acknowledgment
B. focused
C. know what time
D. feel important
E. trust himself

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where could there be a battle that involves words?,battle,validation-00000-of-00001,A,"Question:
Where could there be a battle that involves words?

Which of the following is the best response to the question?

Choices:
A. court room
B. war
C. video game
D. iraq
E. church

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What is a flirty person known for?,person,train-00000-of-00001,C,"Question:
What is a flirty person known for?

Which of the following is the best response to the question?

Choices:
A. good looking
B. pleasure
C. playfulness
D. own house
E. new experiences

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
Where would you put a vase on your wall?,vase,train-00000-of-00001,E,"Question:
Where would you put a vase on your wall?

Which of the following is the best response to the question?

Choices:
A. cabinet
B. windowsill
C. table
D. fall off shelf
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
"What would release energy, but not mainly in your muscles?",release energy,train-00000-of-00001,B,"Question:
What would release energy, but not mainly in your muscles?

Which of the following is the best response to the question?

Choices:
A. vent
B. think
C. shouting
D. work off
E. exercise

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What would someone wear to protect themselves from a cannon?,cannon,train-00000-of-00001,C,"Question:
What would someone wear to protect themselves from a cannon?

Which of the following is the best response to the question?

Choices:
A. ungulate
B. bomber
C. body armor
D. tank
E. hat

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
What do people do with the old song about twisting?,twist,train-00000-of-00001,C,"Question:
What do people do with the old song about twisting?

Which of the following is the best response to the question?

Choices:
A. flat
B. bend
C. and shout
D. straighten
E. unravel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",67
