question,question_concept,_split,answer,final_prompt,len_tk_gemma2_9b_base
Lying can cause what when trying to find accurate information?,lying,train-00000-of-00001,C,"Question:
Lying can cause what when trying to find accurate information?

Which of the following is the best response to the question?

Choices:
A. distrust
B. hurt feelings
C. confusion
D. good things
E. unhappiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would you not be likely to find ice?,ice,train-00000-of-00001,C,"Question:
Where would you not be likely to find ice?

Which of the following is the best response to the question?

Choices:
A. hockey game
B. cold weather
C. refrigerator
D. zoo
E. antarctica

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where would a marmoset be out of place?,marmoset,train-00000-of-00001,D,"Question:
Where would a marmoset be out of place?

Which of the following is the best response to the question?

Choices:
A. warm climate
B. france
C. burrow
D. shopping mall
E. great outdoors

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do you call the feet on a dog?,dog,train-00000-of-00001,B,"Question:
What do you call the feet on a dog?

Which of the following is the best response to the question?

Choices:
A. two ears
B. paws
C. one mouth
D. big heart
E. tail

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What do we call a garden that is found in public?,garden,train-00000-of-00001,E,"Question:
What do we call a garden that is found in public?

Which of the following is the best response to the question?

Choices:
A. fence
B. back yard
C. ground
D. pretty
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
what does a human have on their upperbody?,human,train-00000-of-00001,C,"Question:
what does a human have on their upperbody?

Which of the following is the best response to the question?

Choices:
A. processing power
B. one body
C. two arms
D. stupidity
E. muscles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Crabs live in what sort of environment?,crab,validation-00000-of-00001,C,"Question:
Crabs live in what sort of environment?

Which of the following is the best response to the question?

Choices:
A. maritime
B. bodies of water
C. saltwater
D. galapagos
E. fish market

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What was causing my knees to hurt after going jogging?,going jogging,train-00000-of-00001,C,"Question:
What was causing my knees to hurt after going jogging?

Which of the following is the best response to the question?

Choices:
A. lose weight
B. feel better
C. arthritis
D. sweating
E. pressure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could you find some airplanes that are not being used?,airplanes,train-00000-of-00001,B,"Question:
Where could you find some airplanes that are not being used?

Which of the following is the best response to the question?

Choices:
A. war
B. aircraft carrier
C. sky
D. graveyard
E. crash

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Sometimes to have to prove you,homeowner,train-00000-of-00001,D,"Question:
Sometimes to have to prove you

Which of the following is the best response to the question?

Choices:
A. cut grass
B. go to town
C. answer telephone call
D. receive mail
E. own home

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
What language type is someone from Iran likely to use?,light source,validation-00000-of-00001,B,"Question:
What language type is someone from Iran likely to use?

Which of the following is the best response to the question?

Choices:
A. books
B. dard
C. sky
D. closed room
E. television

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Sarah had trouble beginning work.  She was not doing what?,beginning work,train-00000-of-00001,D,"Question:
Sarah had trouble beginning work.  She was not doing what?

Which of the following is the best response to the question?

Choices:
A. computer
B. momentum
C. panic
D. accomplishing
E. excitement

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could she go to find a big cat to see?,cat,train-00000-of-00001,C,"Question:
Where could she go to find a big cat to see?

Which of the following is the best response to the question?

Choices:
A. front door
B. residence
C. zoo
D. restaurant
E. barn

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
