question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_base
If a train is behind schedule what is it likely to do?,train,train-00000-of-00001,A,"Question:
If a train is behind schedule what is it likely to do?

Which of the following is the best response to the question?

Choices:
A. arrive late
B. slow down
C. make up time
D. arrive early
E. arrive on time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where is one likely to find a fan for their stove?,fan,validation-00000-of-00001,A,"Question:
Where is one likely to find a fan for their stove?

Which of the following is the best response to the question?

Choices:
A. appliance store
B. sports stadium
C. dress emporium
D. hot room
E. football stadium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"When someone is watching a film like Saw, what are they likely experiencing?",watching film,train-00000-of-00001,B,"Question:
When someone is watching a film like Saw, what are they likely experiencing?

Which of the following is the best response to the question?

Choices:
A. they want to close their eyes
B. fear
C. like
D. being entertained
E. insight

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
"Where might I ruin some papers if I place my coffee mug there, and it spills?",coffee mug,train-00000-of-00001,E,"Question:
Where might I ruin some papers if I place my coffee mug there, and it spills?

Which of the following is the best response to the question?

Choices:
A. table
B. cupboard
C. shelf
D. kitchen
E. desktop

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
You may drink from a cup in what small dwelling that are normally grouped together in one building?,cup,train-00000-of-00001,B,"Question:
You may drink from a cup in what small dwelling that are normally grouped together in one building?

Which of the following is the best response to the question?

Choices:
A. school
B. apartment
C. closet
D. table
E. restaurant

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The snake was a cottonmouth.  It was an American, from where?",snake,train-00000-of-00001,A,"Question:
The snake was a cottonmouth.  It was an American, from where?

Which of the following is the best response to the question?

Choices:
A. georgia
B. tree
C. nature
D. under the rocks
E. france

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The Andes pop up through many countries, alphabetically starting with where?",andes,train-00000-of-00001,E,"Question:
The Andes pop up through many countries, alphabetically starting with where?

Which of the following is the best response to the question?

Choices:
A. ecuador
B. peru
C. colombia
D. bolivia
E. argentina

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
What kind of place has a revolving door and has things to buy in it?,revolving door,validation-00000-of-00001,D,"Question:
What kind of place has a revolving door and has things to buy in it?

Which of the following is the best response to the question?

Choices:
A. new york
B. public place
C. bank
D. mall
E. supermarket door

Reply with exactly one uppercase letter out of A, B, C, D or E.
",89
"The wind was warm, what effect did it have on the person facing it?",wind,train-00000-of-00001,A,"Question:
The wind was warm, what effect did it have on the person facing it?

Which of the following is the best response to the question?

Choices:
A. dry hair
B. blowing hard
C. change direction
D. dry skin
E. cotton mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"The buildings were intended to not have residential kitchens in them, what were they designed for?",buildings,validation-00000-of-00001,D,"Question:
The buildings were intended to not have residential kitchens in them, what were they designed for?

Which of the following is the best response to the question?

Choices:
A. large city
B. small
C. eat cake
D. university
E. town

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"When the woman put her belonging  in the drawstring bag, how did she want her things to stay?",drawstring bag,train-00000-of-00001,A,"Question:
When the woman put her belonging  in the drawstring bag, how did she want her things to stay?

Which of the following is the best response to the question?

Choices:
A. safe
B. department store
C. military
D. tied up
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
