ind,activity_label,ctx,answer,final_prompt,len_tk_qwen2.5_7b_base
24859.0,Making a sandwich,"A gyros restaurant is shown from the outside. We enter, and the chef begins talking to the camera. he",B,"Context:
""A gyros restaurant is shown from the outside. We enter, and the chef begins talking to the camera. he""

Which of the following endings best completes the context?

Choices:
A. shows us the various ingredients used in the preparation of the bali sculpture.
B. demonstrates how to make a gyro sandwich.
C. has various drawings in front of him.
D. pours ice into a glass, then adds a lime and lemon from a pitcher for effect.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
29527.0,Running a marathon,We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady,D,"Context:
""We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady""

Which of the following endings best completes the context?

Choices:
A. talks to the camera and runs, then is interviewed.
B. gives a video about the various runners she is running with.
C. is interviewed and we see clips of people on the runners.
D. speaks and we see the runners.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
12997.0,Bathing dog,We see two opening title screens. A lady sits on a bathtub and talks while playing with a dog. the lady,A,"Context:
""We see two opening title screens. A lady sits on a bathtub and talks while playing with a dog. the lady""

Which of the following endings best completes the context?

Choices:
A. puts the dog in the water and washes him.
B. puts her hair in the hairdryer.
C. talks while sitting on a sink.
D. shows us her various products, including blow dryers, where she can blow dry hair with an electric shaver.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
6353.0,Hurling,A black screen with title text of team names and a date is shown. a number of people,C,"Context:
""A black screen with title text of team names and a date is shown. a number of people""

Which of the following endings best completes the context?

Choices:
A. are now on a court, preparing to do a shot put.
B. are outside of a building warming up.
C. play a lacrosse game in a stadium while watched by several referees and spectators.
D. are seen ranging from people playing soccer with a serious competitive nature to children playing soccer.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
26984.0,Using the pommel horse,An american gymanst and the colt logo appear. a young boy,C,"Context:
""An american gymanst and the colt logo appear. a young boy""

Which of the following endings best completes the context?

Choices:
A. , standing in front of the camera, while holding a gi and a practice barrel.
B. looks through a low haze surprised.
C. was circling in pommel horse in a living room, then in a gym with spectators.
D. is standing on a mat holding on to the massive weight.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
14073.0,Shoveling snow,A small car is covered in a thick layer of snow. A man appears with a sweeper. he,A,"Context:
""A small car is covered in a thick layer of snow. A man appears with a sweeper. he""

Which of the following endings best completes the context?

Choices:
A. uses it to rake all the snow off the vehicle.
B. is then seen vacuuming the exterior of a car.
C. starts to wipe the snow onto the car while the camera captures it.
D. turns the car on, blowing the snow off the cars with the tool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
16082.0,Getting a haircut,A boy is seated in a chair at a hair stylist's shop. He is wearing a cape as she turns him side to side. she,C,"Context:
""A boy is seated in a chair at a hair stylist's shop. He is wearing a cape as she turns him side to side. she""

Which of the following endings best completes the context?

Choices:
A. shaves and then dries him with a towel.
B. trims it off over his head.
C. uses clippers to trim and shape his hair.
D. uses large rollers to smooth down his hair and blow dry it in the end.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
19310.0,Making a lemonade,The person adds ice to the cup and stirs again. The person then pours liquid from a smaller glass into the glass. the person,B,"Context:
""The person adds ice to the cup and stirs again. The person then pours liquid from a smaller glass into the glass. the person""

Which of the following endings best completes the context?

Choices:
A. then fills the glass with lemon juice.
B. adds a lemon wedge and herbs to the glass.
C. adds ice to the other end and adds a lime and it transforms into a small glass with a straw.
D. pours the drink in the big glass.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
23146.0,Putting on makeup,Make up is shown on a table. A woman sits on her bed and applies makeup to her face. she,C,"Context:
""Make up is shown on a table. A woman sits on her bed and applies makeup to her face. she""

Which of the following endings best completes the context?

Choices:
A. brushes her hair and puts a headband on to keep her hair out of her face.
B. is then shown brushing and applying make up to her eyes.
C. uses a large brush to apply powder to her face.
D. lies back and smiles at the camera.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
41610.0,Calf roping,A cowboy in a horse ran towards the field and chase a cattle. the cowboy,B,"Context:
""A cowboy in a horse ran towards the field and chase a cattle. the cowboy""

Which of the following endings best completes the context?

Choices:
A. lassoes the calf and fetches it back to the ground.
B. got off the horse and chase after the cattle, when he catched the cattle he tied the cattle.
C. roaring shot the cattle into the air.
D. in a gray shirt tied the cattle onto a lady's hands.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
33075.0,Throwing darts,A boy is standing at the counter facing backwards from the dart board. His mom is standing beside him and he is getting ready to throw his dart. he,C,"Context:
""A boy is standing at the counter facing backwards from the dart board. His mom is standing beside him and he is getting ready to throw his dart. he""

Which of the following endings best completes the context?

Choices:
A. shakes his head to a no.
B. is then shown at a casino, and he is seated at a table talking.
C. throws it and completely misses the dart board all together.
D. starts against part of the board.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
30786.0,Skiing,The man in the orange jacket skis down the hill. The man holding the camera follows. They ski down the snowy hill. the man in the orange jacket,C,"Context:
""The man in the orange jacket skis down the hill. The man holding the camera follows. They ski down the snowy hill. the man in the orange jacket""

Which of the following endings best completes the context?

Choices:
A. pretends to ski very fast.
B. shows a silver ski for people to ski out of a car while wearing a helmet.
C. can be seen in front of him skiing.
D. pulls the skier with him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
19558.0,Doing fencing,Two people are playing fencing holding epees on his arms standing in a white stage. man,B,"Context:
""Two people are playing fencing holding epees on his arms standing in a white stage. man""

Which of the following endings best completes the context?

Choices:
A. is standing in front of a hopscotch.
B. is aproaching to the stage and check the epee of the boy.
C. is outside doing exercise trice the shirtless man is using weight in the corner of the fencing area.
D. is elting the stick on the stage.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
16433.0,Longboarding,Clips of skateboarders in different scenes. A skateboarder wearing a red helmet is skating down hill on a public street. a skateboarder,D,"Context:
""Clips of skateboarders in different scenes. A skateboarder wearing a red helmet is skating down hill on a public street. a skateboarder""

Which of the following endings best completes the context?

Choices:
A. rises up out of a pit.
B. wearing a red helmet is skateboarding down some residential path with bushes.
C. on a tight rope is flipped down inside a building.
D. wearing a black helmet skates downhill and performs some skateboard tricks.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
5727.0,Using uneven bars,A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she,B,"Context:
""A female gymnast is spinning around a bar in a gym. She spins around the bar multiple times before dismounting. she""

Which of the following endings best completes the context?

Choices:
A. walks off the bar quickly after presenting her arms in the air.
B. lands on the mat, arms in the air.
C. is then seen riding down a hill while the crowd cheers and claps.
D. climbs onto a beam and conducts a routine.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
17280.0,Roof shingle removal,Introductory text scenes are shown explaining the video context. a hand,B,"Context:
""Introductory text scenes are shown explaining the video context. a hand""

Which of the following endings best completes the context?

Choices:
A. is shown spinning a pair of croquet sticks to link into a tennis racket.
B. holds and demonstrates some sort of cutting tool.
C. pans over to another hand and the expert begins measuring ingredients.
D. is seen resting in the middle of two pieces of exercise equipment and another being shown getting ready to begin his workout.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
46056.0,Mooping floor,A documentary discussing the mopping bucket and mopping procedures. the documentary,B,"Context:
""A documentary discussing the mopping bucket and mopping procedures. the documentary""

Which of the following endings best completes the context?

Choices:
A. runs into clips of kids at home that work out.
B. shows the mopping process with a mop and bucket.
C. shows several items that help in cleaning a shoe.
D. shows the players in a female sponge bath story who attacked a person near the mop bucket and is mopping the floor behind the bucket.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
3569.0,Wakeboarding,A jet ski is parked and a man is riding one. we,D,"Context:
""A jet ski is parked and a man is riding one. we""

Which of the following endings best completes the context?

Choices:
A. see a demonstration of how to fly one of the helicopters use a parachuting pole.
B. see a bar appear in the background and a news anchor.
C. see a person down below flying the plane.
D. see a man's name on the screen and a man behind a boat and a man jet skiing and flipping around.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
7508.0,Cleaning shoes,A person is sitting down holding blue shoes. They hold a bottle wet wipes. They take one and start wiping the bottom of the shoe. they,C,"Context:
""A person is sitting down holding blue shoes. They hold a bottle wet wipes. They take one and start wiping the bottom of the shoe. they""

Which of the following endings best completes the context?

Choices:
A. give a kiss on the end and let go.
B. stand up and grab another and put it on the back.
C. get a different shoe and start wiping it.
D. lay on a towel and dry them with the wet wipes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
21614.0,Longboarding,The man goes down a few very steep hills on his skateboard. The man rides past a stop sign. the man with the camera and the man in the car,D,"Context:
""The man goes down a few very steep hills on his skateboard. The man rides past a stop sign. the man with the camera and the man in the car""

Which of the following endings best completes the context?

Choices:
A. talk while moving around on skateboards.
B. are now behind the cowboy that was talking to him from the start of the scene.
C. ride their boards through ramps and other obstacles.
D. follow filming the man on the skateboard.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
37972.0,Slacklining,A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man,D,"Context:
""A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man""

Which of the following endings best completes the context?

Choices:
A. jumps off the little rope and stands in the middle of the rock.
B. falls into a pool in front of the rocks.
C. bungee jumps and floats across a water.
D. sits on a the tight rope high up in the air.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
43867.0,Mooping floor,"A man dances and pulls his pants, which are falling down, back up, as he sweeps a cafe floor. a man",B,"Context:
""A man dances and pulls his pants, which are falling down, back up, as he sweeps a cafe floor. a man""

Which of the following endings best completes the context?

Choices:
A. thunks a bell on the floor of a cafe and it rings loudly.
B. , with his back to an elevated camera, begins to dance while sweeping a coffee shop floor.
C. vacuums a floor with his bare hand.
D. held an acoustic guitar.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
38082.0,Rope skipping,The man puts his microphone down and shows different ways to jump rope. The man sits on the floor and jumps rope while sitting. he,A,"Context:
""The man puts his microphone down and shows different ways to jump rope. The man sits on the floor and jumps rope while sitting. he""

Which of the following endings best completes the context?

Choices:
A. gets up and jumps rope a few more times before finishing and waving.
B. jumps on a bench and is greeted by other couple.
C. jumps again to check gravity and turn his body.
D. stands up and shows something else in his hand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
40061.0,Making a lemonade,"The words ""vlogging with hannah"" appear on screen in a flourish font. a person",A,"Context:
""The words ""vlogging with hannah"" appear on screen in a flourish font. a person""

Which of the following endings best completes the context?

Choices:
A. is juicing a lemon with an electric juicer.
B. gets their hand tied by the other on a tango bar.
C. is instructed on how to weed out grass from a trash can in an outdoors environment.
D. is seen bending over throwing a bowling ball down a lane.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
42700.0,Plastering,We see an opening title screen. The man then puts plaster on a base and applies it to the ceiling while on stilts. the man,D,"Context:
""We see an opening title screen. The man then puts plaster on a base and applies it to the ceiling while on stilts. the man""

Which of the following endings best completes the context?

Choices:
A. then grabs one of the stilts and shows us.
B. shakes hands with two ladies from the er and leaves the office.
C. then walks to the center and jumps down then stands up.
D. walks back and forth smoothing the applied plaster.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
563.0,Starting a campfire,A shirtless man is standing on porch while instructing how to build a redneck fire. he,D,"Context:
""A shirtless man is standing on porch while instructing how to build a redneck fire. he""

Which of the following endings best completes the context?

Choices:
A. starts by filling in logs and then applies the wood to the porch as quickly as possible.
B. shows a blue lit flame with his hands.
C. starts with a few bat shaped logs to create a flame, which flames themselves up.
D. shows a beer bottle and some other alcohol cans.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
45583.0,Painting furniture,A close up of chairs are shown as well as a table and bench. The person begins using a tool on the chair to scrape off the paint. the person,A,"Context:
""A close up of chairs are shown as well as a table and bench. The person begins using a tool on the chair to scrape off the paint. the person""

Which of the following endings best completes the context?

Choices:
A. continues scraping paint off and showing off the furniture again.
B. continues painting and cutting out a piece of her hair.
C. then begins spraying paint all over the chair.
D. then shows a brush and begins adding black paint.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
37165.0,Arm wrestling,Two men are in a arm wrestle position on the ground. the men,A,"Context:
""Two men are in a arm wrestle position on the ground. the men""

Which of the following endings best completes the context?

Choices:
A. started to arm wrestle, trying to put each others arms on the ground.
B. then put on their shirts and begin wrestling, slapping each other's feet and laughing.
C. rest then kneel before one man.
D. demonstrate multiple wrestling moves by kicking the hands and punching the opponent in the face.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
17556.0,Wakeboarding,A man is pulled on a knee board and goes over jumps with a tow rope. People wake board over ramps in a lake pulled by a tow rope. people,B,"Context:
""A man is pulled on a knee board and goes over jumps with a tow rope. People wake board over ramps in a lake pulled by a tow rope. people""

Which of the following endings best completes the context?

Choices:
A. are rollerblading in the lake.
B. ride over jumps and do multiple rotations in the air on wake boards.
C. lie body in the water on their backs in the wake board.
D. lane at a bridge outside.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
35272.0,Getting a piercing,The woman looks shocked as the worker talks to her and holds the mirror for h er to see the ear. to be continued,A,"Context:
""The woman looks shocked as the worker talks to her and holds the mirror for h er to see the ear. to be continued""

Which of the following endings best completes the context?

Choices:
A. is shown on the screen.
B. give more instructions to the talk shows.
C. , the woman shows her ear guards.
D. the worker shows more shots of the ear piercing and the man proceeds to speed things up with the dj passing throughout the video.

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
