question,subject,split,answer,final_prompt,len_tk_glm4_9b_base
"On June 6th, 2012 Tiangong-1 welcomed its first guests, the Shenzhou IX manned spacecraft . The Shenzhou IX has two male astronauts and one female astronaut. At that time, Liu Yang, a thirty-three year-old woman, became the first Chinese woman in space. Joining the People's Liberation Army (PLA) Air Force in 1997, Liu Yang became an experienced pilot after flying safely for 1,680 hours. In 2010, she became an astronaut because of her good job. ""When I was a pilot, I flew in the sky. Now that I am an astronaut, I will fly in space. This will be a much higher and farther flight. I always couldn't help wondering: What would the Earth look like from outer space?"" Liu said. In June 2012, Liu took Shenzhou IX to the space as China's first female astronaut. ""I have full confidence,"" Liu said before the task. ""There are many foreign female astronauts that have been into space. Men and women have their own advantages in carrying out space tasks. They can encourage each other and better complete their task. However, the difficulty of her training has not affected her life's pleasure. ""I love children and I love life. I love reading, especially novels and history books. I am also a great cook. To be with my family is one kind of happiness, but to fly is another kind that people can't experience."" ""I am grateful to the motherland and the people. I feel honoured to fly into space on behalf of  millions of female Chinese citizens. "" Liu said after coming back to the Earth safely. From the passage, we know Liu Yang is very  _  .",,auxiliary_train-00000-of-00001,B,"On June 6th, 2012 Tiangong-1 welcomed its first guests, the Shenzhou IX manned spacecraft . The Shenzhou IX has two male astronauts and one female astronaut. At that time, Liu Yang, a thirty-three year-old woman, became the first Chinese woman in space. Joining the People's Liberation Army (PLA) Air Force in 1997, Liu Yang became an experienced pilot after flying safely for 1,680 hours. In 2010, she became an astronaut because of her good job. ""When I was a pilot, I flew in the sky. Now that I am an astronaut, I will fly in space. This will be a much higher and farther flight. I always couldn't help wondering: What would the Earth look like from outer space?"" Liu said. In June 2012, Liu took Shenzhou IX to the space as China's first female astronaut. ""I have full confidence,"" Liu said before the task. ""There are many foreign female astronauts that have been into space. Men and women have their own advantages in carrying out space tasks. They can encourage each other and better complete their task. However, the difficulty of her training has not affected her life's pleasure. ""I love children and I love life. I love reading, especially novels and history books. I am also a great cook. To be with my family is one kind of happiness, but to fly is another kind that people can't experience."" ""I am grateful to the motherland and the people. I feel honoured to fly into space on behalf of  millions of female Chinese citizens. "" Liu said after coming back to the Earth safely. From the passage, we know Liu Yang is very  _  .

Choices:
A. quiet
B. confident
C. beautiful
D. safe

Reply with exactly one uppercase letter out of A, B, C, or D.
",395
"Canada is the second largest country in the world after Russia. It stretches from the Atlantic to the Pacific, and from the high Arctic  to the northern border of the continental U.S.A. Although very much a ""northern"" country, the geography of Canada is very  _ . As well as the popular image of Canada as a country of forests, there are also deserts and badlands , rain forests and long and wide beaches. Canada has huge inland lakes, evergreen forests, woodlands and meadows. Canada's coastlines are thousands of miles long, with long, wild rivers leading to the oceans. In contrast  to the expanses of open country, Canada also has its share of urban areas. The majority of the population and heavy industry is in the two provinces of Quebec and Ontario, but large and modern cities are spread across the land from the Atlantic to the Pacific, all within a few hours drive, at most, from the border with the United States. Business is active throughout the country, The Prairie Provinces with their vast fields of grain help to feed the world. The fisheries on both the West and the East Coast are widespread. Oil and natural gas have recently been discovered off the East Coast. The Trans-Canada Highway links the country from coast to coast, there is an extensive  network of railways, and a widespread network of airline routes serving both major and remote  communities. The rural areas are less populated, with more and more people leaving for the larger towns and cities. The lands to the north are much less developed, but as some of these areas are used for their plenty of natural resources, populations are growing. The following details about Canada are all true EXCEPT   _  .",,auxiliary_train-00000-of-00001,C,"Canada is the second largest country in the world after Russia. It stretches from the Atlantic to the Pacific, and from the high Arctic  to the northern border of the continental U.S.A. Although very much a ""northern"" country, the geography of Canada is very  _ . As well as the popular image of Canada as a country of forests, there are also deserts and badlands , rain forests and long and wide beaches. Canada has huge inland lakes, evergreen forests, woodlands and meadows. Canada's coastlines are thousands of miles long, with long, wild rivers leading to the oceans. In contrast  to the expanses of open country, Canada also has its share of urban areas. The majority of the population and heavy industry is in the two provinces of Quebec and Ontario, but large and modern cities are spread across the land from the Atlantic to the Pacific, all within a few hours drive, at most, from the border with the United States. Business is active throughout the country, The Prairie Provinces with their vast fields of grain help to feed the world. The fisheries on both the West and the East Coast are widespread. Oil and natural gas have recently been discovered off the East Coast. The Trans-Canada Highway links the country from coast to coast, there is an extensive  network of railways, and a widespread network of airline routes serving both major and remote  communities. The rural areas are less populated, with more and more people leaving for the larger towns and cities. The lands to the north are much less developed, but as some of these areas are used for their plenty of natural resources, populations are growing. The following details about Canada are all true EXCEPT   _  .

Choices:
A. it is convenient for people to travel in Canada
B. Canada exports grain to other countries
C. Canada's fishing industry is not developed
D. Canada is thought of as a country of forest.

Reply with exactly one uppercase letter out of A, B, C, or D.
",410
"In its latest step to attract Chinese smartphone users, e-commerce company Alibaba Group Holding Ltd. said it is planning to launch a mobile gaming service soon.  Alibaba is considering integrating  its new mobile gaming service into its messaging app, Laiwang, as well as its Mobile Taobao app for online shopping, a person familiar with the matter said. It is also planning to launch the gaming service as a standalone app, the person said.  In the world of gaming and other mobile-based services, Alibaba faces powerful competitor Tencent Holdings Ltd., a giant in online gaming and social networking services. Many analysts view Tencent as a leader in mobile-based businesses in China because of its popular WeChat instant-messaging app, which has over 272 million monthly active users worldwide according to the company. Tencent could use WeChat's massive user base to offer additional mobile services such as gaming or e-commerce, analysts say.  Alibaba's push into mobile-based services hasn't always been smooth. It launched Laiwang more than a year ago, but the app, which competes against WeChat, struggled to gain popularity. In September, a person familiar with the situation said Alibaba was in talks with China Telecom Corp., to have the app preinstalled in smartphones sold by the country's third-largest mobile carrier. According to Alibaba, Laiwang had more than 10 million registered users as of November.  Alibaba dominates China's e-commerce market with its Taobao and Tmall shopping sites, but one of the biggest challenges it faces is how to hold onto its vast user base when more Chinese Internet users access online services from smartphones. To meet this challenge, Alibaba has made several acquisitions to strengthen its mobile-based services. Last year, it took an 18% stake  in Sina Corp.'s Twitter-like Weibo service and integrated some of Taobao's e-commerce services with the microblog. It also bought a 28% stake in mobile mapping firm AutoNavi Holdings Ltd., a move that could enable Alibaba to send location-based ads to smartphone users. Where can the passage above most probably be found ?   _",,auxiliary_train-00000-of-00001,D,"In its latest step to attract Chinese smartphone users, e-commerce company Alibaba Group Holding Ltd. said it is planning to launch a mobile gaming service soon.  Alibaba is considering integrating  its new mobile gaming service into its messaging app, Laiwang, as well as its Mobile Taobao app for online shopping, a person familiar with the matter said. It is also planning to launch the gaming service as a standalone app, the person said.  In the world of gaming and other mobile-based services, Alibaba faces powerful competitor Tencent Holdings Ltd., a giant in online gaming and social networking services. Many analysts view Tencent as a leader in mobile-based businesses in China because of its popular WeChat instant-messaging app, which has over 272 million monthly active users worldwide according to the company. Tencent could use WeChat's massive user base to offer additional mobile services such as gaming or e-commerce, analysts say.  Alibaba's push into mobile-based services hasn't always been smooth. It launched Laiwang more than a year ago, but the app, which competes against WeChat, struggled to gain popularity. In September, a person familiar with the situation said Alibaba was in talks with China Telecom Corp., to have the app preinstalled in smartphones sold by the country's third-largest mobile carrier. According to Alibaba, Laiwang had more than 10 million registered users as of November.  Alibaba dominates China's e-commerce market with its Taobao and Tmall shopping sites, but one of the biggest challenges it faces is how to hold onto its vast user base when more Chinese Internet users access online services from smartphones. To meet this challenge, Alibaba has made several acquisitions to strengthen its mobile-based services. Last year, it took an 18% stake  in Sina Corp.'s Twitter-like Weibo service and integrated some of Taobao's e-commerce services with the microblog. It also bought a 28% stake in mobile mapping firm AutoNavi Holdings Ltd., a move that could enable Alibaba to send location-based ads to smartphone users. Where can the passage above most probably be found ?   _

Choices:
A. In a product booklet
B. In a travel journal
C. In an investment report
D. In a financial magazine

Reply with exactly one uppercase letter out of A, B, C, or D.
",473
"As a young boy, I sometimes traveled the country roads with my dad. He was a rural mill carrier, and on Saturdays he would ask me to go with him. Driving through the countryside was always an adventure: There were animals to see, people to visit, and chocolate cookies if you knew where to stop, and Dad did. In the spring, Dad delivered boxes full of baby chickens, and when 1 was a boy it was such a fun to stick your finger 'through one of the holes of the boxes and let the baby birds peck on your fingers. On Dad' s final day of work, it took him well into the evening to complete his rounds because at least one member from each family was waiting at their mailbox to thank him for his friendship and his years of service. ""Two hundred and nineteen mailboxes on my route."" he used to say, ""and a story at every one. "" One lady had no mailbox, so Dad took the mail in to her every day because she was nearly blind. Once inside, he read her mail and helped her pay her bills. Mailboxes were sometimes used for things other than mail. One note left in a mailbox read. ""Nat, take these eggs to Marian; she's baking a cake and doesn't have any eggs. "" Mailboxes might be buried in the snow, or broken, or lying on the groom:. bat the mail was always delivered On cold days Dad might find one of his customers waiting for him with a cup of hot chocolate. A young wrote letters but had no stamps, so she left a few button on the envelope in the mailbox; Dad paid for the stamps. One businessman used to leave large amounts of cash in his mailbox for Dad to take to the bank. Once, the amount came to 8 32,000. A dozen years ago, when I traveled back to my hometown on the sad occasion of Dad's death,  the mailboxes along the way reminded me of some of his stories. I thought I knew them all, but that wasn't the case. As I drove home, I noticed two lamp poles, one on each side of the street. When my dad was around, those poles supported wooden boxes about four feet off the ground. One box was painted green and the other was red, and each had a long narrow hole at the top with white lettering: SANTA CLAUS, NORTH POLE. For years children had dropped letters to Santa through those holes. I made a turn at the comer and drove past the post office and across the railroad tracks to our house. Mom and I were sitting at the kitchen table when I heard footsteps. There, at the door, stood Frank Townsend, Dad's postmaster and great friend for many years. So we all sat down at the table and began to tell stories. At one point Frank looked at me with tears in his eyes. "" What are we going to do about the letters this Christmas?"" he asked. ""The letters?"" 'I guess you never knew. "" ""Knew what?"" "" Remember, when you were a kid and you used to put your letters to Santa in those green and red boxes on Main Street? It was your dad who answered all those letters every year. "" I just sat there with tears in my eyes. It wasn't hard for me to imagine Dad sitting at the old table in our basement reading those letters and answering each one. I have since spoken with several of the people who received Christmas letters during their childhood, and they told me how amazed they were that Santa had known so much about their homes and families. For me, just knowing that story about my father was the gift of a lifetime. According to the passage, which of the following impressed the writer most?",,auxiliary_train-00000-of-00001,D,"As a young boy, I sometimes traveled the country roads with my dad. He was a rural mill carrier, and on Saturdays he would ask me to go with him. Driving through the countryside was always an adventure: There were animals to see, people to visit, and chocolate cookies if you knew where to stop, and Dad did. In the spring, Dad delivered boxes full of baby chickens, and when 1 was a boy it was such a fun to stick your finger 'through one of the holes of the boxes and let the baby birds peck on your fingers. On Dad' s final day of work, it took him well into the evening to complete his rounds because at least one member from each family was waiting at their mailbox to thank him for his friendship and his years of service. ""Two hundred and nineteen mailboxes on my route."" he used to say, ""and a story at every one. "" One lady had no mailbox, so Dad took the mail in to her every day because she was nearly blind. Once inside, he read her mail and helped her pay her bills. Mailboxes were sometimes used for things other than mail. One note left in a mailbox read. ""Nat, take these eggs to Marian; she's baking a cake and doesn't have any eggs. "" Mailboxes might be buried in the snow, or broken, or lying on the groom:. bat the mail was always delivered On cold days Dad might find one of his customers waiting for him with a cup of hot chocolate. A young wrote letters but had no stamps, so she left a few button on the envelope in the mailbox; Dad paid for the stamps. One businessman used to leave large amounts of cash in his mailbox for Dad to take to the bank. Once, the amount came to 8 32,000. A dozen years ago, when I traveled back to my hometown on the sad occasion of Dad's death,  the mailboxes along the way reminded me of some of his stories. I thought I knew them all, but that wasn't the case. As I drove home, I noticed two lamp poles, one on each side of the street. When my dad was around, those poles supported wooden boxes about four feet off the ground. One box was painted green and the other was red, and each had a long narrow hole at the top with white lettering: SANTA CLAUS, NORTH POLE. For years children had dropped letters to Santa through those holes. I made a turn at the comer and drove past the post office and across the railroad tracks to our house. Mom and I were sitting at the kitchen table when I heard footsteps. There, at the door, stood Frank Townsend, Dad's postmaster and great friend for many years. So we all sat down at the table and began to tell stories. At one point Frank looked at me with tears in his eyes. "" What are we going to do about the letters this Christmas?"" he asked. ""The letters?"" 'I guess you never knew. "" ""Knew what?"" "" Remember, when you were a kid and you used to put your letters to Santa in those green and red boxes on Main Street? It was your dad who answered all those letters every year. "" I just sat there with tears in my eyes. It wasn't hard for me to imagine Dad sitting at the old table in our basement reading those letters and answering each one. I have since spoken with several of the people who received Christmas letters during their childhood, and they told me how amazed they were that Santa had known so much about their homes and families. For me, just knowing that story about my father was the gift of a lifetime. According to the passage, which of the following impressed the writer most?

Choices:
A. Dad read letters for a blind lady for years.
B. Dad paid for the stamps for a young girl.
C. Dad delivered some eggs to Marian.
D. Dad answered children's Christmas letters every year.

Reply with exactly one uppercase letter out of A, B, C, or D.
",827
"A MILLION people on Mars within 100 years. This is the brave vision   of Elon Musk, the founder of the space technology company SpaceX. ""We need to be laser-focused   on becoming a multi-planet civilization. That's the next step,"" he said in a recent interview with Aeon magazine. Musk expects to see about 80,000 people living on Mars by 2040. It's all about protecting the human race from extinction, according to Musk. The Earth has always been a ticking   time bomb. As the sun begins to die, it will grow bigger, becoming what is known as a Red Giant. In 500 million years, the sun will have become large enough to kill off any plant and animal life on Earth, according to US scientist Edward Guinan. In a billion years, the Earth will have become a hot planet with little or no water. The brave dream of getting the human race to Mars is not only Musk's; others have made plans, too. A Dutch entrepreneur set up the Mars One foundation in 2011, hoping to be the first project to put humans on Mars. It received over 200,000 applications to become part of the first group of astronauts to go there. According to Mars One, ""human settlement on Mars is possible with existing technologies."" Water, food, energy, and oxygen are needed for life anywhere. According to Mars One, water that was still in the Martian soil would be boiled and taken out. By using a process called ""electrolysis"", astronauts could split   water into hydrogen   and oxygen for breathing. Astronauts on the International Space Station have already done similar things. Food can also be grown in space. Certain plants such as lettuce and onions can be grown using LED light for different color spectrums   and much less heat. NASA has been researching this to prepare for visiting Mars. But how will people get there? The Mars One project plans to use SpaceX's Dragon capsule as part of its mission. But it is rumored   that Musk already has a design in mind for a giant spaceship. He calls it the Mars Colonial Transporter. Mars One is a program that focuses on   _  .",,auxiliary_train-00000-of-00001,B,"A MILLION people on Mars within 100 years. This is the brave vision   of Elon Musk, the founder of the space technology company SpaceX. ""We need to be laser-focused   on becoming a multi-planet civilization. That's the next step,"" he said in a recent interview with Aeon magazine. Musk expects to see about 80,000 people living on Mars by 2040. It's all about protecting the human race from extinction, according to Musk. The Earth has always been a ticking   time bomb. As the sun begins to die, it will grow bigger, becoming what is known as a Red Giant. In 500 million years, the sun will have become large enough to kill off any plant and animal life on Earth, according to US scientist Edward Guinan. In a billion years, the Earth will have become a hot planet with little or no water. The brave dream of getting the human race to Mars is not only Musk's; others have made plans, too. A Dutch entrepreneur set up the Mars One foundation in 2011, hoping to be the first project to put humans on Mars. It received over 200,000 applications to become part of the first group of astronauts to go there. According to Mars One, ""human settlement on Mars is possible with existing technologies."" Water, food, energy, and oxygen are needed for life anywhere. According to Mars One, water that was still in the Martian soil would be boiled and taken out. By using a process called ""electrolysis"", astronauts could split   water into hydrogen   and oxygen for breathing. Astronauts on the International Space Station have already done similar things. Food can also be grown in space. Certain plants such as lettuce and onions can be grown using LED light for different color spectrums   and much less heat. NASA has been researching this to prepare for visiting Mars. But how will people get there? The Mars One project plans to use SpaceX's Dragon capsule as part of its mission. But it is rumored   that Musk already has a design in mind for a giant spaceship. He calls it the Mars Colonial Transporter. Mars One is a program that focuses on   _  .

Choices:
A. finding the source of water on Mars
B. setting up the first human settlement on Mars
C. developing spaceships to send people to Mars
D. growing plants for food in space

Reply with exactly one uppercase letter out of A, B, C, or D.
",506
"One night recently, I was driving down a two-lane highway at about 60 miles an hour. A car approached from the opposite direction at about the same speed. As we passed each other, I caught the other driver's eye for only a second. I wondered whether he might be thinking, as I was, how dependent we were on each other at that moment. I was relying on him not to fall asleep, not to be distracted   by a phone conversation, not to cross over into my lane and bring my life to a sudden end. Though we had never spoken a word to each other, he relied on me in just the same way. Multiplied a million times over, I believe that is the way the world works. At some level, we all depend upon one another. Sometimes that dependence requires us simply not to do something like crossing over the double yellow line. And sometimes it requires us to act cooperatively, with friends or even with strangers. As technology makes our world smaller and smaller, the need increases for cooperative action among nations. In 2003, doctors in five nations were quickly organized to identify the SARS virus, which saved thousands of lives. The threat of international terrorism has shown itself to be a similar problem, one requiring team action by police and intelligence forces across the world. We must recognize that our fates are not ours alone to control. In my own life, I used to put great stock in personal responsibility. But, as time has passed, I've also come to believe that there are moments when one must rely upon the good faith and judgment of others. So, while each of us faces the case of driving alone down a dark road, what we must learn with experience is that the approaching light may not be a threat, but a shared moment of trust. The author considers it very important   _  .",,auxiliary_train-00000-of-00001,D,"One night recently, I was driving down a two-lane highway at about 60 miles an hour. A car approached from the opposite direction at about the same speed. As we passed each other, I caught the other driver's eye for only a second. I wondered whether he might be thinking, as I was, how dependent we were on each other at that moment. I was relying on him not to fall asleep, not to be distracted   by a phone conversation, not to cross over into my lane and bring my life to a sudden end. Though we had never spoken a word to each other, he relied on me in just the same way. Multiplied a million times over, I believe that is the way the world works. At some level, we all depend upon one another. Sometimes that dependence requires us simply not to do something like crossing over the double yellow line. And sometimes it requires us to act cooperatively, with friends or even with strangers. As technology makes our world smaller and smaller, the need increases for cooperative action among nations. In 2003, doctors in five nations were quickly organized to identify the SARS virus, which saved thousands of lives. The threat of international terrorism has shown itself to be a similar problem, one requiring team action by police and intelligence forces across the world. We must recognize that our fates are not ours alone to control. In my own life, I used to put great stock in personal responsibility. But, as time has passed, I've also come to believe that there are moments when one must rely upon the good faith and judgment of others. So, while each of us faces the case of driving alone down a dark road, what we must learn with experience is that the approaching light may not be a threat, but a shared moment of trust. The author considers it very important   _  .

Choices:
A. to drive with a companion
B. to have personal independence
C. to gain certain responsibility
D. to share trust and cooperation

Reply with exactly one uppercase letter out of A, B, C, or D.
",426
"Most parents love the Internet and want their kids to use it. But a new survey in America finds almost as many also fear the online world--especially social networking sites such as My Space--and worry their kids will get in trouble with people they meet. ""The parents see the web's incredible potential , and they know their kids have to be there."" says James Steyer, CEO of Common Sense Media, which released results from a survey that looked into parental attitudes toward the Internet. "" is also what they are scared of most."" The study was conducted online May 5-10 by Insight Research Group. It says 80% of parents are concerned about kids meeting bad people online. That's because young people who largely have grown up with the Net think of it as a social outlet , say the researchers. To young people, the benefits of giving out some personal information to reach out to friends outweigh the risks. And the study shows they are so comfortable with the medium that 78% have a personal website or blog. Parents also recognize the importance of the Internet. The survey shows 91% think the Net helps their children explore their passions, and 77% think the Internet is one of the most valuable education tools teens have. But 88% think it's important to know what their kids are doing online. Findings suggest both parents and teens need more education about using online media, Steyer says. Internet safety has become an increasing concern for parents in America. Organizations like the Non-profit Common Sense have been trying to reach and help parents pay attention to the problem. From the passage we can infer that   _   .",,auxiliary_train-00000-of-00001,C,"Most parents love the Internet and want their kids to use it. But a new survey in America finds almost as many also fear the online world--especially social networking sites such as My Space--and worry their kids will get in trouble with people they meet. ""The parents see the web's incredible potential , and they know their kids have to be there."" says James Steyer, CEO of Common Sense Media, which released results from a survey that looked into parental attitudes toward the Internet. "" is also what they are scared of most."" The study was conducted online May 5-10 by Insight Research Group. It says 80% of parents are concerned about kids meeting bad people online. That's because young people who largely have grown up with the Net think of it as a social outlet , say the researchers. To young people, the benefits of giving out some personal information to reach out to friends outweigh the risks. And the study shows they are so comfortable with the medium that 78% have a personal website or blog. Parents also recognize the importance of the Internet. The survey shows 91% think the Net helps their children explore their passions, and 77% think the Internet is one of the most valuable education tools teens have. But 88% think it's important to know what their kids are doing online. Findings suggest both parents and teens need more education about using online media, Steyer says. Internet safety has become an increasing concern for parents in America. Organizations like the Non-profit Common Sense have been trying to reach and help parents pay attention to the problem. From the passage we can infer that   _   .

Choices:
A. children are too young to know how to use the Internet
B. parents must teach their children how to use the Internet
C. parents also need to learn more about using the Internet
D. the Internet is the most valuable tool for children to learn

Reply with exactly one uppercase letter out of A, B, C, or D.
",404
"Some people learn a second language easily. Other people have trouble learning a new language. How can you help yourself learn a new language,such as English? There are several ways to make learning English a little easier and more interesting. The first step is to feel confident about learning English. If you believe that you can learn,you will learn. Be patient. You do not have to understand everything all at once. It is natural to make mistakes when you learn something new. We can learn from our mistakes. The second step is to practice your English. For example,write a journal every day. You will get used to writing in English,and you will feel comfortable expressing your ideas in English. After several weeks,you will see that your writing is improving. Besides,you must speak English every day. You can practice with your classmates outside class. You will all make mistakes,but gradually you will become comfortable communicating in English. The third step is to keep a record of your language learning. You can write this in your journal. After each class,think about what you did. Did you answer a question correctly? Did you understand something the teacher explained? Perhaps the lesson was difficult,but you tried to understand it. Write these achievements in your journal. You must be positive about learning English and believe that you can do it. It is important to practice every day and make a record of your achievements. You will enjoy learning English,and you will have more confidence in yourself. What is the main idea of this passage?",,auxiliary_train-00000-of-00001,C,"Some people learn a second language easily. Other people have trouble learning a new language. How can you help yourself learn a new language,such as English? There are several ways to make learning English a little easier and more interesting. The first step is to feel confident about learning English. If you believe that you can learn,you will learn. Be patient. You do not have to understand everything all at once. It is natural to make mistakes when you learn something new. We can learn from our mistakes. The second step is to practice your English. For example,write a journal every day. You will get used to writing in English,and you will feel comfortable expressing your ideas in English. After several weeks,you will see that your writing is improving. Besides,you must speak English every day. You can practice with your classmates outside class. You will all make mistakes,but gradually you will become comfortable communicating in English. The third step is to keep a record of your language learning. You can write this in your journal. After each class,think about what you did. Did you answer a question correctly? Did you understand something the teacher explained? Perhaps the lesson was difficult,but you tried to understand it. Write these achievements in your journal. You must be positive about learning English and believe that you can do it. It is important to practice every day and make a record of your achievements. You will enjoy learning English,and you will have more confidence in yourself. What is the main idea of this passage?

Choices:
A. It is very important to learn a second language.
B. Some people learn a second language easily while other people do not.
C. There are ways to help you learn a second language more easily.
D. Don't worry about making mistakes when learning a second language.

Reply with exactly one uppercase letter out of A, B, C, or D.
",380
"Are you the only child in the family? If so, you are the most important in your family. Parents are the closest people to you in the world. But a lot of middle school students have a problem. They feel they are not as close to their parents as before. They even don't think their parents are fair   to them. Some students complain that their parents often say a lot to them, but never listen to them. Some say their parents don't allow them to play computer games when other people are doing it. Others say when they are making phone calls to friends, their parents like to ask if they're speaking to a boy or a girl. These make them very unhappy. Some students even decided to leave home because they're afraid to tell their parents when they have done something wrong, particularly  when they do badly in exams. Then they usually think running away is the only choice . But they don't know running away may bring them some more problems. Problems are parts of life. Here are some suggestions for you to solve your problems. *Find a good chance to talk with your parents. Don't be afraid to tell them your feeling. *Keep a diary to help you understand more about yourself and your feeling. *Get help from others like good friends or teachers. *Show your parents you are growing up. Then they will feel you are no longer a small child. If you follow the advice, you will have a happy life and never think of running away.2*1*c*n*j*y The article is about some middle school students'   _  .",,auxiliary_train-00000-of-00001,D,"Are you the only child in the family? If so, you are the most important in your family. Parents are the closest people to you in the world. But a lot of middle school students have a problem. They feel they are not as close to their parents as before. They even don't think their parents are fair   to them. Some students complain that their parents often say a lot to them, but never listen to them. Some say their parents don't allow them to play computer games when other people are doing it. Others say when they are making phone calls to friends, their parents like to ask if they're speaking to a boy or a girl. These make them very unhappy. Some students even decided to leave home because they're afraid to tell their parents when they have done something wrong, particularly  when they do badly in exams. Then they usually think running away is the only choice . But they don't know running away may bring them some more problems. Problems are parts of life. Here are some suggestions for you to solve your problems. *Find a good chance to talk with your parents. Don't be afraid to tell them your feeling. *Keep a diary to help you understand more about yourself and your feeling. *Get help from others like good friends or teachers. *Show your parents you are growing up. Then they will feel you are no longer a small child. If you follow the advice, you will have a happy life and never think of running away.2*1*c*n*j*y The article is about some middle school students'   _  .

Choices:
A. friends
B. hobbies
C. parents
D. problems

Reply with exactly one uppercase letter out of A, B, C, or D.
",357
"Experts believe that storms and severe weather in North America and Asia have disrupted bird flight paths across the world and swept huge numbers of bird species towards the British Isles. Birds flying to the other side of the Atlantic or to the Pacific to lay their eggs have been trapped in Britain and Ireland, adding their numbers to native species, and causing great excitement in the bird-watching community. Local birdwatchers have already observed a total of 442 species in the British Isles this year. The highest number ever seen in one year is 445, in 2008. ""We only need four more to break our record,"" said Lee Evans, who runs the British Birding Association. ""With three months to go I'm sure we'll do it."" Last month an extremely rare Siberian Rubythroat bird was seen in Scotland, sending hundreds of birdwatchers north in the hope of catching a glimpse of this colourful Asian beauty. Another very uncommon bird, the bufflehead duck was cited in Cornwell and caused similar excitement. ""I couldn't believe it,"" said Evans. ""The poor thing was completely  _ . It must have been blown to England by the storms while trying to fly from Canada to the southern United States for the winter. That's 3000 miles!"" Evans said that global warming over the past decade was playing a key role in transforming bird movements across the world. In addition, melting Arctic sea ice may also be opening up bird flight paths over the North Pole, making it easier for birds from the Pacific -- such as the slaty-backed gull and tufted puffin, both of which appeared in London earlier this year -- to reach Britain. Bird-watching is becoming an increasingly popular hobby among all age groups, added Evans. ""A fifth of our members are under 18. This is a round-the-year hobby that you can enjoy from the kitchen window or from a car. More and more people are bird-watching, and as a result more and more unexpected species are being spotted in the British Isles."" How many more bird species are needed to equal the British bird-watching record?",,auxiliary_train-00000-of-00001,A,"Experts believe that storms and severe weather in North America and Asia have disrupted bird flight paths across the world and swept huge numbers of bird species towards the British Isles. Birds flying to the other side of the Atlantic or to the Pacific to lay their eggs have been trapped in Britain and Ireland, adding their numbers to native species, and causing great excitement in the bird-watching community. Local birdwatchers have already observed a total of 442 species in the British Isles this year. The highest number ever seen in one year is 445, in 2008. ""We only need four more to break our record,"" said Lee Evans, who runs the British Birding Association. ""With three months to go I'm sure we'll do it."" Last month an extremely rare Siberian Rubythroat bird was seen in Scotland, sending hundreds of birdwatchers north in the hope of catching a glimpse of this colourful Asian beauty. Another very uncommon bird, the bufflehead duck was cited in Cornwell and caused similar excitement. ""I couldn't believe it,"" said Evans. ""The poor thing was completely  _ . It must have been blown to England by the storms while trying to fly from Canada to the southern United States for the winter. That's 3000 miles!"" Evans said that global warming over the past decade was playing a key role in transforming bird movements across the world. In addition, melting Arctic sea ice may also be opening up bird flight paths over the North Pole, making it easier for birds from the Pacific -- such as the slaty-backed gull and tufted puffin, both of which appeared in London earlier this year -- to reach Britain. Bird-watching is becoming an increasingly popular hobby among all age groups, added Evans. ""A fifth of our members are under 18. This is a round-the-year hobby that you can enjoy from the kitchen window or from a car. More and more people are bird-watching, and as a result more and more unexpected species are being spotted in the British Isles."" How many more bird species are needed to equal the British bird-watching record?

Choices:
A. 3.
B. 4.
C. 442.
D. 445.

Reply with exactly one uppercase letter out of A, B, C, or D.
",470
