question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_instruct
What is likely to happen to a snowman that is getting wet?,getting wet,train-00000-of-00001,C,"Question:
What is likely to happen to a snowman that is getting wet?

Which of the following is the best response to the question?

Choices:
A. cool off
B. could
C. shrinking
D. get cold
E. get larger

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"If the world is materials, what is it made out of?",material,train-00000-of-00001,C,"Question:
If the world is materials, what is it made out of?

Which of the following is the best response to the question?

Choices:
A. fabric store
B. ideas
C. anything
D. physical world
E. science lab

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"She was on a diet, resisting the indulgent chocolates would be what?",indulgent,train-00000-of-00001,C,"Question:
She was on a diet, resisting the indulgent chocolates would be what?

Which of the following is the best response to the question?

Choices:
A. difficult
B. harsh
C. hard
D. severe
E. strict

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
If you sit back and think about nice memories you will be able to?,think,train-00000-of-00001,E,"Question:
If you sit back and think about nice memories you will be able to?

Which of the following is the best response to the question?

Choices:
A. sit quietly
B. concentrate
C. wake up
D. stay focused
E. relax

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What always happens when you are having lunch?,having lunch,train-00000-of-00001,B,"Question:
What always happens when you are having lunch?

Which of the following is the best response to the question?

Choices:
A. talk to people
B. eat food
C. burp
D. tear a wrapper
E. choke

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
"He needed to check an electrical connection in the house, where did he look?",connection,train-00000-of-00001,D,"Question:
He needed to check an electrical connection in the house, where did he look?

Which of the following is the best response to the question?

Choices:
A. telephone network
B. freeway
C. company
D. wall
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
"He wanted a saxophone, so he went where?",saxophone,train-00000-of-00001,E,"Question:
He wanted a saxophone, so he went where?

Which of the following is the best response to the question?

Choices:
A. grocery store
B. case
C. marching band
D. orchestra
E. music store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What appliance uses water and soap?,water,train-00000-of-00001,A,"Question:
What appliance uses water and soap?

Which of the following is the best response to the question?

Choices:
A. washing machine
B. space shuttle
C. blender
D. disneyland
E. surface of earth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
Where would you put some pennies that you plan to use soon?,pennies,train-00000-of-00001,A,"Question:
Where would you put some pennies that you plan to use soon?

Which of the following is the best response to the question?

Choices:
A. pocket
B. jar
C. water fountain
D. drawer
E. trunk

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
Where is someone likely to run into a wall when trying to leave?,wall,train-00000-of-00001,A,"Question:
Where is someone likely to run into a wall when trying to leave?

Which of the following is the best response to the question?

Choices:
A. labyrinth
B. classroom
C. downtown
D. art show
E. corner

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What are people in awe of in New York City?,people,train-00000-of-00001,B,"Question:
What are people in awe of in New York City?

Which of the following is the best response to the question?

Choices:
A. opera
B. buildings
C. fireworks
D. end of line
E. neighbor's house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
What happens to people if they are having difficulties?,people,train-00000-of-00001,A,"Question:
What happens to people if they are having difficulties?

Which of the following is the best response to the question?

Choices:
A. need each other
B. own things
C. sleep together
D. go for parties
E. pay bills

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
What is the difference between one having solidity?,solidity,train-00000-of-00001,A,"Question:
What is the difference between one having solidity?

Which of the following is the best response to the question?

Choices:
A. openness
B. fluidity
C. hollowness
D. weakness
E. instability

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What could happen as a secondary result of being tired?,being tired,train-00000-of-00001,D,"Question:
What could happen as a secondary result of being tired?

Which of the following is the best response to the question?

Choices:
A. lazy
B. stop bicycle
C. watch tv
D. snore
E. sit down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is considered to be an outdated way to gain knowledge?,knowledge,train-00000-of-00001,A,"Question:
What is considered to be an outdated way to gain knowledge?

Which of the following is the best response to the question?

Choices:
A. encyclopedia
B. television
C. head
D. library
E. book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
What is the goal for a student to improve in?,student,train-00000-of-00001,D,"Question:
What is the goal for a student to improve in?

Which of the following is the best response to the question?

Choices:
A. kindergarten class
B. kitchen
C. class room
D. every aspect of life
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",84
How can people best have a conversation?,people,train-00000-of-00001,B,"Question:
How can people best have a conversation?

Which of the following is the best response to the question?

Choices:
A. learn from each other
B. face each other
C. enjoy themselves
D. group together
E. call each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",83
If you there is glass in this you could possibly see dishes.,glass,train-00000-of-00001,C,"Question:
If you there is glass in this you could possibly see dishes.

Which of the following is the best response to the question?

Choices:
A. dishwasher
B. window
C. cabinet
D. table
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",82
