question,subject,split,answer,final_prompt,len_tk_qwen3_8b_base
"In fine department stores everywhere, you'll see the light-blue boxes of Estee Lauder. These popular cosmetics   are sold in more than 130 countries. Who's the woman behind this worldwide cosmetics empire  ? Estee Lauder herself, of course. This businesswoman became, for a time, the world's richest self-made woman. Her secret? ""I didn't get there by dreaming about it,"" she would say. ""I got there by doing it."" Estee was born in the early 1900s in Queens, New York. Her father ran a hardware   store, and from him Estee learned how to be a successful salesperson. Estee learned from her uncle John Schotz, too. He made creams in a small laboratory behind the family's house. Estee watched him. Soon, she was experimenting with her own cosmetics. She put lipstick   and creams on any female relative who'd let her, until her annoyed father told her to stop. She married Joseph H. Lauder in 1930, and continued her experiments. She would cook dinner for the family, and at the same time, make her face creams. Then she began to sell her products in a Manhattan beauty shop. In 1960, Estee began to sell her products in Europe. After many tries she succeeded and began selling her products in some stores in London. But France proved even more difficult. The store Galleries Lafayette refused to sell her products. So Estee ""by accident"" dropped a bottle of youth dew   on the floor in the cosmetics department. As the _ spread around the store, customers came over and asked to buy it. The store soon began selling Estee's products. Estee led her company until 1982, when her son Leonard took over the business. Until her health worsened in the mid-1990s, she continued to attend the opening of a new store wherever in the world. She died on April 24, 2004. Estee Lauder's talent as a saleswoman was extraordinary. Her son Leonard said, ""There was never anyone who could sell like she could."" All who worked for Estee appreciated her special talent. Which of the following can best describe Estee Lauder?",,auxiliary_train-00000-of-00001,D,"In fine department stores everywhere, you'll see the light-blue boxes of Estee Lauder. These popular cosmetics   are sold in more than 130 countries. Who's the woman behind this worldwide cosmetics empire  ? Estee Lauder herself, of course. This businesswoman became, for a time, the world's richest self-made woman. Her secret? ""I didn't get there by dreaming about it,"" she would say. ""I got there by doing it."" Estee was born in the early 1900s in Queens, New York. Her father ran a hardware   store, and from him Estee learned how to be a successful salesperson. Estee learned from her uncle John Schotz, too. He made creams in a small laboratory behind the family's house. Estee watched him. Soon, she was experimenting with her own cosmetics. She put lipstick   and creams on any female relative who'd let her, until her annoyed father told her to stop. She married Joseph H. Lauder in 1930, and continued her experiments. She would cook dinner for the family, and at the same time, make her face creams. Then she began to sell her products in a Manhattan beauty shop. In 1960, Estee began to sell her products in Europe. After many tries she succeeded and began selling her products in some stores in London. But France proved even more difficult. The store Galleries Lafayette refused to sell her products. So Estee ""by accident"" dropped a bottle of youth dew   on the floor in the cosmetics department. As the _ spread around the store, customers came over and asked to buy it. The store soon began selling Estee's products. Estee led her company until 1982, when her son Leonard took over the business. Until her health worsened in the mid-1990s, she continued to attend the opening of a new store wherever in the world. She died on April 24, 2004. Estee Lauder's talent as a saleswoman was extraordinary. Her son Leonard said, ""There was never anyone who could sell like she could."" All who worked for Estee appreciated her special talent. Which of the following can best describe Estee Lauder?

Choices:
A. A successful cosmetics saleswoman.
B. A beautiful shop owner in London.
C. A popular cosmetics producer in France.
D. A founder of a cosmetics company in America.

Reply with exactly one uppercase letter out of A, B, C, or D.
",528
"I Have to See Another Doctor Mr. Clarke lives at the foot of the mountain. He keeps the forest for a rich farmer there. The only road to the forest is just in front of his house. He can easily see the people who want to enter the forest. Sometimes he has to be on duty at night. When he hears some sound, he has to get up to see if someone cuts the trees. One day he bought something in the town. He found a strong dog and bought it. He loves it very much and often gives some meat or bread to it. And when a strange man walks close to his house, it barks  loudly. So he can soon know about it and goes out to find out who it is. But last week something was wrong with Mr. Clarke. He didn't feel well and couldn't fall asleep in the evening. He had to go to a hospital in the town. The doctor looked him over and then asked, ""Have you got a dog, sir "" ""Yes, I have got one."" ""You have got a skin disease ,"" said the doctor. ""I am sure your dog infected  it to you. You can't come in touch  with it any longer."" When he came out of the hospital, he met a friend and told him about it. The man asked, ""What are you going to do, to sell your dog or to give it to another man "" ""Neither,"" answered Mr. Clarke, ""I have decided to see another doctor. It's much easier to find a doctor than to buy a good dog!"" _  , so Mr. Clarke loves it.",,auxiliary_train-00000-of-00001,A,"I Have to See Another Doctor Mr. Clarke lives at the foot of the mountain. He keeps the forest for a rich farmer there. The only road to the forest is just in front of his house. He can easily see the people who want to enter the forest. Sometimes he has to be on duty at night. When he hears some sound, he has to get up to see if someone cuts the trees. One day he bought something in the town. He found a strong dog and bought it. He loves it very much and often gives some meat or bread to it. And when a strange man walks close to his house, it barks  loudly. So he can soon know about it and goes out to find out who it is. But last week something was wrong with Mr. Clarke. He didn't feel well and couldn't fall asleep in the evening. He had to go to a hospital in the town. The doctor looked him over and then asked, ""Have you got a dog, sir "" ""Yes, I have got one."" ""You have got a skin disease ,"" said the doctor. ""I am sure your dog infected  it to you. You can't come in touch  with it any longer."" When he came out of the hospital, he met a friend and told him about it. The man asked, ""What are you going to do, to sell your dog or to give it to another man "" ""Neither,"" answered Mr. Clarke, ""I have decided to see another doctor. It's much easier to find a doctor than to buy a good dog!"" _  , so Mr. Clarke loves it.

Choices:
A. The dog can help him keep the forest
B. Everyone is afraid of the dog
C. The dog can stop people coming in the room
D. He can play with the strong dog

Reply with exactly one uppercase letter out of A, B, C, or D.
",393
"With fuel costs rising and airlines finding more fees to impose on travelers every day, airfare isn't getting any cheaper. Since you can't drive to all your dream destinations, flying is the only way to go sometimes and, undeniably, the fastest. Luckily, there are plenty of ways to find the most affordable fares and also avoid paying as many extra charges as possible when you plan ahead. Getting the best fare. Airlines put out their fare sales on Tuesday morning, making this day the best day to book a flight for less. Fly during the least popular times. Tuesday, Wednesday and Saturday are the slowest days to fly, which means cheaper deals than the rest of the week. You can also find reduced rates on early morning flights, since many people don't like to get up before the sun to get to the airport. Earlier boarding times can also considerably cut down your chances of getting bumped on an overbooked flight or delayed because of other delayed flights or mechanical issues. Choose your seat later. Some airlines charge you to pick your seat when you book online, adding even more to the bottom line of your ticket cost. If you show up early on your travel day, you can still get suitable seats. Some of the best seats get held back until flight day, unless others are willing to pay extra for them ahead of time, so you still have the chance at one of those. Fly on holidays. You already know that summer is the most expensive time to fly, and even though most other times are more affordable, the days surrounding holidays can be crazy. Save big if you're willing to travel on major holidays, such as Thanksgiving and Christmas. Don't wait until the last-minute to book. Many travelers don't know that there's a sweet spot for booking and getting the best price on your tickets. Book too early or too late and you could end up paying more than you need to. The best time to book is between three months and six weeks from when you want to travel. Avoiding extra fees Airlines will charge for just about anything these days. Some have even toyed around with charging customers for using the restroom. All those extra fees can certainly add up, but there's no reason to pay them if you don't have to. Here are some tips to keep money in your wallet once you get to the airport. Avoid the upgrade it's not necessary. Sometimes upgrades are free, but mostly you will be charged for seeking a last-minute bump to first class, and the cost can be _ . Fly carry-on only. Baggage fees vary wildly, but almost all airlines charge them and charge big. Why pay for your clothes to fly with you? If everyone in your travel party checks a bag, your bill can be astronomical before you ever even get to your destination. It's easy to reduce the amount of stuff you pack: Make sure all your clothing coordinates, so you can take less and still make more outfit combinations, take only two pair of shoes, plan to do a bit of laundry on your trip and bring only travel-sized toiletries. Pack your own snacks. Unless you're flying internationally, it's rare your flight comes with a free meal. Snacks on the plane are not cheap and almost never healthy. Don't rely on what's on the small menu and instead tuck some of your own snacks -- granola bars, homemade muffins, fruit and trail mix all make fantastic travel foods -- into your bag and eat a lot better, and cheaper, than other passengers. Do you have a tried and true method of getting the best deal on your flights? Let us know. To save the cost for the flight, you should   _  .",,auxiliary_train-00000-of-00001,A,"With fuel costs rising and airlines finding more fees to impose on travelers every day, airfare isn't getting any cheaper. Since you can't drive to all your dream destinations, flying is the only way to go sometimes and, undeniably, the fastest. Luckily, there are plenty of ways to find the most affordable fares and also avoid paying as many extra charges as possible when you plan ahead. Getting the best fare. Airlines put out their fare sales on Tuesday morning, making this day the best day to book a flight for less. Fly during the least popular times. Tuesday, Wednesday and Saturday are the slowest days to fly, which means cheaper deals than the rest of the week. You can also find reduced rates on early morning flights, since many people don't like to get up before the sun to get to the airport. Earlier boarding times can also considerably cut down your chances of getting bumped on an overbooked flight or delayed because of other delayed flights or mechanical issues. Choose your seat later. Some airlines charge you to pick your seat when you book online, adding even more to the bottom line of your ticket cost. If you show up early on your travel day, you can still get suitable seats. Some of the best seats get held back until flight day, unless others are willing to pay extra for them ahead of time, so you still have the chance at one of those. Fly on holidays. You already know that summer is the most expensive time to fly, and even though most other times are more affordable, the days surrounding holidays can be crazy. Save big if you're willing to travel on major holidays, such as Thanksgiving and Christmas. Don't wait until the last-minute to book. Many travelers don't know that there's a sweet spot for booking and getting the best price on your tickets. Book too early or too late and you could end up paying more than you need to. The best time to book is between three months and six weeks from when you want to travel. Avoiding extra fees Airlines will charge for just about anything these days. Some have even toyed around with charging customers for using the restroom. All those extra fees can certainly add up, but there's no reason to pay them if you don't have to. Here are some tips to keep money in your wallet once you get to the airport. Avoid the upgrade it's not necessary. Sometimes upgrades are free, but mostly you will be charged for seeking a last-minute bump to first class, and the cost can be _ . Fly carry-on only. Baggage fees vary wildly, but almost all airlines charge them and charge big. Why pay for your clothes to fly with you? If everyone in your travel party checks a bag, your bill can be astronomical before you ever even get to your destination. It's easy to reduce the amount of stuff you pack: Make sure all your clothing coordinates, so you can take less and still make more outfit combinations, take only two pair of shoes, plan to do a bit of laundry on your trip and bring only travel-sized toiletries. Pack your own snacks. Unless you're flying internationally, it's rare your flight comes with a free meal. Snacks on the plane are not cheap and almost never healthy. Don't rely on what's on the small menu and instead tuck some of your own snacks -- granola bars, homemade muffins, fruit and trail mix all make fantastic travel foods -- into your bag and eat a lot better, and cheaper, than other passengers. Do you have a tried and true method of getting the best deal on your flights? Let us know. To save the cost for the flight, you should   _  .

Choices:
A. check whether the upgrade is free before you bump to the first class
B. make sure your clothes and shoes are fit for a lot of walk
C. share your own snacks with other passengers
D. plan to do the washes on flight

Reply with exactly one uppercase letter out of A, B, C, or D.
",815
"A group of teenagers: they laugh and talk over each other, dance and make faces -- you wouldn't believe they had just played on the same stage as famous American singers Kid Cudi and Eminem. These seven kids, all under the age of 20, are members of the band Kids These Days (KTD). Fresh out of high school, the band already has done things that most teens couldn't even imagine. They played at festivals including the recent SXSW in Austin and Lollapalooza in their hometown, Chicago, to crowds of loyal fans. KTD uses a mix of hip-hop, jazz, blues and classic rock to make a sound of their own. ""KTD simply mixes most, if not all of my favourite music styles,"" said Kamia Jones, as Chicago high school student.""I like that they aren't afraid to be different and that their music is real and speaks to the soul."" The band formed two years ago. Now, as well as local fans, they are becoming popular around the world. Their facebook page is filled with supportive posts from admirers from California to Tokyo. ""It's really strange to me that people from London, Australia and Russia... They have heard of us and they like our music because it's really cool feeling,"" says Marcie Stewart, who plays keyboard for the band. Despite their recent fame, KTD is a group of normal teenagers and they remain very close to one another. While talking to the reporters, they dance and make fun of each other. When asked what advice they would give to other teen musicians, Greg Landfair, KTD's drummer, said, ""Keep your heart in it. Never lose the music and what you are doing, because that's what you're here for. Let the music always be first."" The author wrote this article to  _  .",,auxiliary_train-00000-of-00001,D,"A group of teenagers: they laugh and talk over each other, dance and make faces -- you wouldn't believe they had just played on the same stage as famous American singers Kid Cudi and Eminem. These seven kids, all under the age of 20, are members of the band Kids These Days (KTD). Fresh out of high school, the band already has done things that most teens couldn't even imagine. They played at festivals including the recent SXSW in Austin and Lollapalooza in their hometown, Chicago, to crowds of loyal fans. KTD uses a mix of hip-hop, jazz, blues and classic rock to make a sound of their own. ""KTD simply mixes most, if not all of my favourite music styles,"" said Kamia Jones, as Chicago high school student.""I like that they aren't afraid to be different and that their music is real and speaks to the soul."" The band formed two years ago. Now, as well as local fans, they are becoming popular around the world. Their facebook page is filled with supportive posts from admirers from California to Tokyo. ""It's really strange to me that people from London, Australia and Russia... They have heard of us and they like our music because it's really cool feeling,"" says Marcie Stewart, who plays keyboard for the band. Despite their recent fame, KTD is a group of normal teenagers and they remain very close to one another. While talking to the reporters, they dance and make fun of each other. When asked what advice they would give to other teen musicians, Greg Landfair, KTD's drummer, said, ""Keep your heart in it. Never lose the music and what you are doing, because that's what you're here for. Let the music always be first."" The author wrote this article to  _  .

Choices:
A. show the kind of music teenagers love
B. encourage young musicians to play music
C. describe a special music style
D. introduce a successful band of teenagers

Reply with exactly one uppercase letter out of A, B, C, or D.
",430
"Americans who volunteer for the Peace Corps get a chance to help improve lives in developing countries. They also get a chance to learn more about the world, and about themselves. This week this program is celebrating its 50th anniversary. President John Kennedy established the Peace Corps soon after he took office in 1961. It was the time of the Cold War between the United States and the Soviet Union. The new program gave Americans a chance to answer the call to service that the president made in his inaugural speech. ""Ask not what your country can do for you,"" he said. ""Ask what you can do for your country."" Kennedy told Peace Corps volunteers that America's image in the countries where they were going would depend largely on them. On August 30th, 1961, the first group of 51 Peace Corps volunteers arrived in Accra, Ghana, to serve as teachers. They had agreed to work for almost no pay. They would spend two years in Ghana helping its people and learning the reality of life in a developing country. Most of the volunteers had just completed college. About half of them taught English or health care. In the 50 years since then, more than 200,000 Americans have served as Peace Corps volunteers. They have worked in 139 countries. The Peace Corps is a government agency that was created to promote world peace and friendship. There are three goals: First, to help the people of interested countries in meeting their need for trained men and women. Second, to help promote a better understanding of Americans on the part of the people served. And, third. to help promote a better understanding of other people on the part of Americans. Today, the Peace Corps has more than 8,000 volunteers and trainees in 77 countries. They work in agriculture, economic development, education, the environment and health care. Some work in programs related to youth development. Sixty percent of current Peace Corps volunteers are women. The average age of a volunteer is 28. But the ages of Peace Corps volunteers range from 18 to 86. Some Americans join the Peace Corps after they retire. Today seven percent of volunteers are over the age of 50. And 19 percent are members of minority groups. Which of the following is TRUE according to the text?",,auxiliary_train-00000-of-00001,C,"Americans who volunteer for the Peace Corps get a chance to help improve lives in developing countries. They also get a chance to learn more about the world, and about themselves. This week this program is celebrating its 50th anniversary. President John Kennedy established the Peace Corps soon after he took office in 1961. It was the time of the Cold War between the United States and the Soviet Union. The new program gave Americans a chance to answer the call to service that the president made in his inaugural speech. ""Ask not what your country can do for you,"" he said. ""Ask what you can do for your country."" Kennedy told Peace Corps volunteers that America's image in the countries where they were going would depend largely on them. On August 30th, 1961, the first group of 51 Peace Corps volunteers arrived in Accra, Ghana, to serve as teachers. They had agreed to work for almost no pay. They would spend two years in Ghana helping its people and learning the reality of life in a developing country. Most of the volunteers had just completed college. About half of them taught English or health care. In the 50 years since then, more than 200,000 Americans have served as Peace Corps volunteers. They have worked in 139 countries. The Peace Corps is a government agency that was created to promote world peace and friendship. There are three goals: First, to help the people of interested countries in meeting their need for trained men and women. Second, to help promote a better understanding of Americans on the part of the people served. And, third. to help promote a better understanding of other people on the part of Americans. Today, the Peace Corps has more than 8,000 volunteers and trainees in 77 countries. They work in agriculture, economic development, education, the environment and health care. Some work in programs related to youth development. Sixty percent of current Peace Corps volunteers are women. The average age of a volunteer is 28. But the ages of Peace Corps volunteers range from 18 to 86. Some Americans join the Peace Corps after they retire. Today seven percent of volunteers are over the age of 50. And 19 percent are members of minority groups. Which of the following is TRUE according to the text?

Choices:
A. Volunteers served as teachers to work for no pay in Accra, Ghana.
B. Kennedy established the Peace Corps before he took office in 1961.
C. Most of the volunteers of the first group had just graduated from college.
D. America's image in the foreign countries depends completely on volunteers.

Reply with exactly one uppercase letter out of A, B, C, or D.
",569
"Like many other small boys, I was fascinated by cars, not least because my oldest brother was a bit of a car guy and subscribed to cool magazines like Car and Driver and Motor Trend. Every so often, one of those magazines would run an article on the ""Car of the Future"". They featured unconventional styling and things like small nuclear reactors as power sources. Yet, frankly, my car doesn't do anything that my brother's Studebaker didn't do. It goes, it stops, it burns gasoline, it plays music. I still have to steer it, and it still runs into things if I don't steer it carefully. But guess what? All of these things are subject to change in the not-so-distant future. It will still go and stop, but it may not burn gasoline, I may not have to steer it, and it may be a lot better at not running into things. Airbags aren't the be-all and end-all in safety. In fact, considering the recent news about people occasionally being killed by their airbags in low-speed collisions  ,they obviously still need some development. But they aren't going away, and in fact, you can expect to see cars appearing with additional, side-impact airbags, something some European car manufacturers already offer. Better than systems to minimize   injury in the event of an accident, however, are systems that minimize the likelihood of an accident happening in the first place. Future cars may be able to eliminate many of the major causes of accidents, including drunk-driving, tailgating   and sleepiness. Cars could be equipped with sensors that can detect alcohol in a driver's system and prevent the car from being started, for example. Many accidents are caused by people following the car in front too closely. As early as next year, you'll be able to buy cars with radar-equipped control systems. If the radar determines you're closing too quickly with the car in front, it will ease up on the throttle  . For city streets, expect other radar devices that will give advance warning that the car in front of you has slowed abruptly   and you should step on the brakes-or that may even brake for you. Will cars eventually be able to drive themselves? There's no reason to think it won't be technically possible, and Mercedes is working on a system that can brake, accelerate and steer a vehicle down a highway on its own. Nobody really expects people to give up all control to their cars, but such systems could be used as failsafe systems to keep cars on the road and bring them safely to a stop even if the driver suddenly became disabled. Which of the following statements is true of airbags?",,auxiliary_train-00000-of-00001,A,"Like many other small boys, I was fascinated by cars, not least because my oldest brother was a bit of a car guy and subscribed to cool magazines like Car and Driver and Motor Trend. Every so often, one of those magazines would run an article on the ""Car of the Future"". They featured unconventional styling and things like small nuclear reactors as power sources. Yet, frankly, my car doesn't do anything that my brother's Studebaker didn't do. It goes, it stops, it burns gasoline, it plays music. I still have to steer it, and it still runs into things if I don't steer it carefully. But guess what? All of these things are subject to change in the not-so-distant future. It will still go and stop, but it may not burn gasoline, I may not have to steer it, and it may be a lot better at not running into things. Airbags aren't the be-all and end-all in safety. In fact, considering the recent news about people occasionally being killed by their airbags in low-speed collisions  ,they obviously still need some development. But they aren't going away, and in fact, you can expect to see cars appearing with additional, side-impact airbags, something some European car manufacturers already offer. Better than systems to minimize   injury in the event of an accident, however, are systems that minimize the likelihood of an accident happening in the first place. Future cars may be able to eliminate many of the major causes of accidents, including drunk-driving, tailgating   and sleepiness. Cars could be equipped with sensors that can detect alcohol in a driver's system and prevent the car from being started, for example. Many accidents are caused by people following the car in front too closely. As early as next year, you'll be able to buy cars with radar-equipped control systems. If the radar determines you're closing too quickly with the car in front, it will ease up on the throttle  . For city streets, expect other radar devices that will give advance warning that the car in front of you has slowed abruptly   and you should step on the brakes-or that may even brake for you. Will cars eventually be able to drive themselves? There's no reason to think it won't be technically possible, and Mercedes is working on a system that can brake, accelerate and steer a vehicle down a highway on its own. Nobody really expects people to give up all control to their cars, but such systems could be used as failsafe systems to keep cars on the road and bring them safely to a stop even if the driver suddenly became disabled. Which of the following statements is true of airbags?

Choices:
A. They are in need of further improvement.
B. They are going to disappear gradually.
C. They kill people instead of protecting them in low-speed collisions.
D. They are a standard feature of European cars.

Reply with exactly one uppercase letter out of A, B, C, or D.
",604
"House For Sale Red Rose Garden, Pudong 3-story home, 509 sqm total   land area, 428.8 sqm built-in, 312.2 sqm garden. Asking RMB 13 million (USD 1.57 million). MP: 13761973547     Tel: 021-58609228    Fax: 021-58609728 Job Wanted Cherry, 24, a shining girl, good at oral English and Putonghua. Now I am working at an international trade   company in Guangzhou. I am kind-hearted, hard-working and healthy, and would like part-time weekend work offering Putonghua lessons to foreign friends. If you are interested, please email me at _ . Beijing Snow World Ski Park Price: 18 yuan (ticket), 50 yuan/hour on weekdays and 70 yuan/hour on weekends, 120 yuan/four hours on weekdays and 190 yuan/four hours on weekends. Tel : 010-69191617 How many square meters is the garden of the house for sale?",,auxiliary_train-00000-of-00001,C,"House For Sale Red Rose Garden, Pudong 3-story home, 509 sqm total   land area, 428.8 sqm built-in, 312.2 sqm garden. Asking RMB 13 million (USD 1.57 million). MP: 13761973547     Tel: 021-58609228    Fax: 021-58609728 Job Wanted Cherry, 24, a shining girl, good at oral English and Putonghua. Now I am working at an international trade   company in Guangzhou. I am kind-hearted, hard-working and healthy, and would like part-time weekend work offering Putonghua lessons to foreign friends. If you are interested, please email me at _ . Beijing Snow World Ski Park Price: 18 yuan (ticket), 50 yuan/hour on weekdays and 70 yuan/hour on weekends, 120 yuan/four hours on weekdays and 190 yuan/four hours on weekends. Tel : 010-69191617 How many square meters is the garden of the house for sale?

Choices:
A. 509 sqm.
B. 428.8 sqm.
C. 312.2 sqm.
D. 80.2 sqm.

Reply with exactly one uppercase letter out of A, B, C, or D.
",323
"Teenagers will be told to ""stand up for their elders"" on public transport -- or risk losing their right to free travel. London Mayor Boris Johnson will declare plans today to make youngsters sign a ""courtesy pledge""    to promise to behave in a respectful manner when travelling in the capital. The three-point pledge states that they will give up their seats to the elderly, pregnant and disabled; keep from using offensive or threatening language; and be courteous and polite to fellow passengers and staff. Those who refuse, or are caught behaving in a _ manner, will have their free travel passes removed. The plan -- a key part of Mr. Johnson's re-election bid-- will initially affect the 400,000 ll-to-15-year-olds in London who qualify for free travel cards, but Tory sources believe the idea could be used across the country. A Conservative insider said: ""The plan corresponds perfectly with the push to create a Big Society. It is about changing culture and expectations around behavior to improve the atmosphere on buses and trains for everyone."" Speaking before today's launch, Mr. Johnson said he was determined to deal with the anti-social behavior of a ""minority of youngsters"" on public transport. ""When I was a boy, I was taught to stand up for those less able to, ""he said. ""Youngsters enjoy the privilege of free travel, which is paid for by Londoners, but they have to understand that with that privilege comes responsibility. Anyone who abuses this privilege will have it taken away, and will have to earn that right bach ."" Teenagers found guilty of a serious violation of the new behavior rules will lose their travel passes, and will have to carry out unpaid community work to earn them back. Mr. Johnson is also introducing a ""two strikes and you're out"" policy to deal with repeat offenders, under which those committing a second serious violation of the rules will lose their travel rights permanently. Which of the following can be the best title for the passage?",,auxiliary_train-00000-of-00001,C,"Teenagers will be told to ""stand up for their elders"" on public transport -- or risk losing their right to free travel. London Mayor Boris Johnson will declare plans today to make youngsters sign a ""courtesy pledge""    to promise to behave in a respectful manner when travelling in the capital. The three-point pledge states that they will give up their seats to the elderly, pregnant and disabled; keep from using offensive or threatening language; and be courteous and polite to fellow passengers and staff. Those who refuse, or are caught behaving in a _ manner, will have their free travel passes removed. The plan -- a key part of Mr. Johnson's re-election bid-- will initially affect the 400,000 ll-to-15-year-olds in London who qualify for free travel cards, but Tory sources believe the idea could be used across the country. A Conservative insider said: ""The plan corresponds perfectly with the push to create a Big Society. It is about changing culture and expectations around behavior to improve the atmosphere on buses and trains for everyone."" Speaking before today's launch, Mr. Johnson said he was determined to deal with the anti-social behavior of a ""minority of youngsters"" on public transport. ""When I was a boy, I was taught to stand up for those less able to, ""he said. ""Youngsters enjoy the privilege of free travel, which is paid for by Londoners, but they have to understand that with that privilege comes responsibility. Anyone who abuses this privilege will have it taken away, and will have to earn that right bach ."" Teenagers found guilty of a serious violation of the new behavior rules will lose their travel passes, and will have to carry out unpaid community work to earn them back. Mr. Johnson is also introducing a ""two strikes and you're out"" policy to deal with repeat offenders, under which those committing a second serious violation of the rules will lose their travel rights permanently. Which of the following can be the best title for the passage?

Choices:
A. London Mayor Boris Johnson is a great person
B. The plan corresponds perfectly with the Big Society
C. Be polite and stand up for your elders or lose free travel
D. The ""courtesy pledge"" has been used across the country

Reply with exactly one uppercase letter out of A, B, C, or D.
",476
"Marry me! During the ""Idol"" finale, season 5 singer Ace Young proposed live to season 3 runner up Diana DeGarrno. She was genuinely surprised in one sense but the two have bonded closely since they met on Broadway during a production of""Hair."" The first true""ldol' couple (though others have dated) have already set a wedding date on June  l  of 2013, Ten years and still relevant. Season one winner Kelly Clarkson has survived a decade in the brutal music business with her dignity intact and enough chart-topping songs to generate a greatest hits album at the tender age of 30. Her career is as strong as ever. She sang the ""Star Spangled Banner"" at the Super Bowl. Her song ""Stronger"" was a No. I hit.  She was a mentor on an ABC summer series""Duets."" She became engaged to Reba McEntire's stepson in November. All in all, life is good for Clarkson and we as""Idol"" fans couldn't be more proud. Keep calm and Carrie on! Season four victor Carrie Underwood has now sold more albums than any other ""Idol"" with about 14 million to date. Her current album ""Blown Away"" has generated two top two hits in 2012: ""Good Girl"" and the title track. That makes 15 consecutive top 2 hits on the Billboard country chart over seven years dating back to ""Jesus, Take the Wheel."" She hosted the CMAs for a fifth year with Brad Paisley. Last month, she landed a role as lead in a remake of""The Sound of Music."" She toured to sold-out crowds again, hitting Gwinnett Arena earlier this month, where she thankecl ""Idol"" for getting her to where she's at, something, she certainly no longer needs to do but still does. Class act, that lady. Who hit Gwinnett Arena of the following?",,auxiliary_train-00000-of-00001,A,"Marry me! During the ""Idol"" finale, season 5 singer Ace Young proposed live to season 3 runner up Diana DeGarrno. She was genuinely surprised in one sense but the two have bonded closely since they met on Broadway during a production of""Hair."" The first true""ldol' couple (though others have dated) have already set a wedding date on June  l  of 2013, Ten years and still relevant. Season one winner Kelly Clarkson has survived a decade in the brutal music business with her dignity intact and enough chart-topping songs to generate a greatest hits album at the tender age of 30. Her career is as strong as ever. She sang the ""Star Spangled Banner"" at the Super Bowl. Her song ""Stronger"" was a No. I hit.  She was a mentor on an ABC summer series""Duets."" She became engaged to Reba McEntire's stepson in November. All in all, life is good for Clarkson and we as""Idol"" fans couldn't be more proud. Keep calm and Carrie on! Season four victor Carrie Underwood has now sold more albums than any other ""Idol"" with about 14 million to date. Her current album ""Blown Away"" has generated two top two hits in 2012: ""Good Girl"" and the title track. That makes 15 consecutive top 2 hits on the Billboard country chart over seven years dating back to ""Jesus, Take the Wheel."" She hosted the CMAs for a fifth year with Brad Paisley. Last month, she landed a role as lead in a remake of""The Sound of Music."" She toured to sold-out crowds again, hitting Gwinnett Arena earlier this month, where she thankecl ""Idol"" for getting her to where she's at, something, she certainly no longer needs to do but still does. Class act, that lady. Who hit Gwinnett Arena of the following?

Choices:
A. Carrie Underwood
B. Kelly Clarkson
C. Ace Yong
D. Diana DeGarmo

Reply with exactly one uppercase letter out of A, B, C, or D.
",452
"Dogs can also go to school to learn how to help people who cannot hear. If a person cannot hear, we say he or she is deaf. Dogs who help deaf people must learn many different sounds. Then they must be able to show the deaf person what is making the sound. When they hear a visitor at the door, dogs learn to walk to the deaf person and then walk to the door. And if a telephone rings, they walk to the deaf man or woman and then walk to the telephone. These dogs can also help deaf mothers. If a baby is crying in another room, dogs walk to the mother and then to the baby. These dogs wear a yellow coat to show that they are special dogs that are helping a deaf person. There have been many times when these dogs have saved a life. You may see in a newspaper that a dog heard a fire alarm and lay down near the deaf person's feet. That is the sign for danger. The person knows that something is wrong and can go away from the fire. Special dogs can also help people who are disabled in various ways. For example, dogs can pull off their gloves or socks! Think how difficult your life would be if you were blind, deaf or disabled! But if you had a special dog like this to help you, your life would be much easier. Which of the following statements is TRUE?",,auxiliary_train-00000-of-00001,D,"Dogs can also go to school to learn how to help people who cannot hear. If a person cannot hear, we say he or she is deaf. Dogs who help deaf people must learn many different sounds. Then they must be able to show the deaf person what is making the sound. When they hear a visitor at the door, dogs learn to walk to the deaf person and then walk to the door. And if a telephone rings, they walk to the deaf man or woman and then walk to the telephone. These dogs can also help deaf mothers. If a baby is crying in another room, dogs walk to the mother and then to the baby. These dogs wear a yellow coat to show that they are special dogs that are helping a deaf person. There have been many times when these dogs have saved a life. You may see in a newspaper that a dog heard a fire alarm and lay down near the deaf person's feet. That is the sign for danger. The person knows that something is wrong and can go away from the fire. Special dogs can also help people who are disabled in various ways. For example, dogs can pull off their gloves or socks! Think how difficult your life would be if you were blind, deaf or disabled! But if you had a special dog like this to help you, your life would be much easier. Which of the following statements is TRUE?

Choices:
A. Special dogs can do what people cannot do.
B. Special dogs can only help people who are deaf.
C. Special dogs can help people in every part of their life.
D. Special dogs can make some people's life much easier.

Reply with exactly one uppercase letter out of A, B, C, or D.
",347
