timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,logit_C,logit_D,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-11T20:08:17.822919,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,0,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:17.867706,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,1,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:17.914717,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,2,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:17.955053,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,3,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:17.991922,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,4,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.029799,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,5,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.064918,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,6,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.099135,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,7,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.134529,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,8,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.172126,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,1,0,9,0,115,D,C,C,C,5.46875,4.56250,5.50000,5.43750,,[115],1,0,7e70f1cefe6d799fa13caaff6b42831c539750250905c052022eea283d37f139
2026-06-11T20:08:18.219168,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,0,0,115,D,C,C,C,5.37500,4.46875,5.50000,5.40625,,"[115, 123]",2,0,c25ecf9bbab59798773d698e5cc8c2b46ebf318ec05fc5ffb5f285abccd2324e
2026-06-11T20:08:18.265085,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,1,0,115,D,C,C,C,5.40625,4.56250,5.50000,5.46875,,"[115, 124]",2,0,7ffe699da8e397bd1a4e00d481370d04080aa6a14c57a559de3951e1dcc9916b
2026-06-11T20:08:18.311327,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,2,1,115,D,C,C,C,5.40625,4.56250,5.50000,5.46875,,"[124, 115]",2,0,311a92db909b357210cab70b3be2c00c3afc62098abde1bf1e2a215507815193
2026-06-11T20:08:18.356648,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,3,0,115,D,C,C,C,5.37500,4.46875,5.50000,5.40625,,"[115, 123]",2,0,ba738474e18eff48c8e7f31edc95db16aeb020b4d9caa639c7ea177fb0a99ffb
2026-06-11T20:08:18.404717,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,4,0,115,D,C,C,C,5.46875,4.59375,5.50000,5.43750,,"[115, 121]",2,0,0b6f1603c53f2829db568f430abcf15ef2b356c3931f7e7b379a5b4bd897fc81
2026-06-11T20:08:18.450529,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,5,1,115,D,C,C,C,5.46875,4.59375,5.50000,5.43750,,"[121, 115]",2,0,9b3273106488d3c2eb1f00d3dda7a292412dca463e7a2926e3f02998d57b933f
2026-06-11T20:08:18.496189,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,6,0,115,D,C,C,C,5.46875,4.59375,5.50000,5.43750,,"[115, 121]",2,0,dd3a685c4c3b95213b428f85827249da2c2c5b97175650de51fbdf3b5ec96f90
2026-06-11T20:08:18.541224,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,7,0,115,D,C,C,C,5.37500,4.46875,5.50000,5.40625,,"[115, 123]",2,0,8c75179d79e90dbdb45090868109c009c5237c424cba7736f27a37b54e12308e
2026-06-11T20:08:18.586900,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,8,0,115,D,C,C,C,5.46875,4.59375,5.50000,5.43750,,"[115, 121]",2,0,adacddbf777c71268c2c1973355cbfe91ce85542ea2895103dbc30f855058771
2026-06-11T20:08:18.631681,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,2,0,9,1,115,D,C,C,C,5.46875,4.59375,5.50000,5.43750,,"[121, 115]",2,0,dd9efc1ab4acb92bd4590f06b45279d0ca416ebb023cfa8138316c7c104029f6
2026-06-11T20:08:18.703329,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,4,0,0,2,115,D,C,C,C,5.46875,4.62500,5.50000,5.40625,,"[122, 122, 115, 122]",2,0,3fc7eba7952312b21ffab8b5b1cf1e1f228abe03003c9239c4e61b4d497ad28f
2026-06-11T20:08:18.773360,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,4,0,1,2,115,D,A,A,A,5.46875,4.56250,5.46875,5.46875,,"[124, 123, 115, 123]",3,0,b6927c30edd8c18aa808a65452e58675b619bd57a774371e1d4dd23769115207
2026-06-11T20:08:18.840158,Mistral-7B-Instruct-v0.3,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,115,122,LARGER_1,4,0,2,0,115,D,D,D,D,5.46875,4.62500,5.50000,5.53125,,"[115, 123, 121, 121]",3,0,a77ab21b3af30d5831e105958ba0c5b917a9f7bce8c4eb7cf591dbbded4a61ac
