question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_chat
Where are you heading if you walk down a staircase to get a jar of preserves?,staircase,train-00000-of-00001,E,"Question:
Where are you heading if you walk down a staircase to get a jar of preserves?

Which of the following is the best response to the question?

Choices:
A. bunker
B. school
C. apartment building
D. mansion
E. cellar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is likely to be the goal of telling many people about a new organization?,telling many people about,train-00000-of-00001,B,"Question:
What is likely to be the goal of telling many people about a new organization?

Which of the following is the best response to the question?

Choices:
A. accomplish
B. learn about
C. money
D. notoriety
E. religion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"We do not have rest, so how are we feeling?",have rest,train-00000-of-00001,D,"Question:
We do not have rest, so how are we feeling?

Which of the following is the best response to the question?

Choices:
A. exhausted
B. lonely
C. worked all day
D. were very tired
E. feel better

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
Where could I go to a steakhouse with an ocean view?,steak house,train-00000-of-00001,A,"Question:
Where could I go to a steakhouse with an ocean view?

Which of the following is the best response to the question?

Choices:
A. mexico
B. utah
C. new york
D. nebraska
E. paris france

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
James searched his hotel for the return ticket.  He needed to find it before he left for where?,return ticket,train-00000-of-00001,E,"Question:
James searched his hotel for the return ticket.  He needed to find it before he left for where?

Which of the following is the best response to the question?

Choices:
A. home
B. tickets
C. pocket
D. plane
E. airport

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
"It was hard for them to get news that was local, this is because they lived so what?",local,train-00000-of-00001,B,"Question:
It was hard for them to get news that was local, this is because they lived so what?

Which of the following is the best response to the question?

Choices:
A. distant
B. remote
C. fluidly
D. national
E. foreign

Reply with exactly one uppercase letter out of A, B, C, D or E.
",77
From where would you normally take a cup when you're about to get a drink?,cup,validation-00000-of-00001,E,"Question:
From where would you normally take a cup when you're about to get a drink?

Which of the following is the best response to the question?

Choices:
A. dishwasher
B. water fountain
C. sand box
D. toilet
E. kitchen cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",76
What state is the John Davis  Lodge toll road found in?,toll road,train-00000-of-00001,D,"Question:
What state is the John Davis  Lodge toll road found in?

Which of the following is the best response to the question?

Choices:
A. new jersey
B. eastern united states
C. good repair
D. connecticut
E. arizona

Reply with exactly one uppercase letter out of A, B, C, D or E.
",75
"When a person is convicted of committing murder, what happend to them?",committing murder,train-00000-of-00001,E,"Question:
When a person is convicted of committing murder, what happend to them?

Which of the following is the best response to the question?

Choices:
A. go to jail
B. imprisonment
C. sadness
D. prosecution
E. incarceration

Reply with exactly one uppercase letter out of A, B, C, D or E.
",73
"The fight enemy choice had led him to a grave injury, he was now what?",fight enemy,train-00000-of-00001,A,"Question:
The fight enemy choice had led him to a grave injury, he was now what?

Which of the following is the best response to the question?

Choices:
A. dying
B. victory
C. casualties
D. protect yourself
E. death

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
What is a way that couples like to go about 	having fun ?,having fun,train-00000-of-00001,D,"Question:
What is a way that couples like to go about 	having fun ?

Which of the following is the best response to the question?

Choices:
A. cleaning house
B. playing around
C. constructing
D. kiss
E. wild ride

Reply with exactly one uppercase letter out of A, B, C, D or E.
",74
