question,question_concept,_split,answer,final_prompt,len_tk_phi3_mini_4k_instruct
"He was hiking for miles, what did he suffer from?",hiking,train-00000-of-00001,B,"Question:
He was hiking for miles, what did he suffer from?

Which of the following is the best response to the question?

Choices:
A. sweating
B. cramps
C. physical exertion
D. smile
E. deliriousness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
It was directed towards women but it was mostly couples who what?,couples,train-00000-of-00001,C,"Question:
It was directed towards women but it was mostly couples who what?

Which of the following is the best response to the question?

Choices:
A. date
B. have sex
C. enjoy movie
D. row with each other
E. enjoy sex

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"Dogs run around all day, it's a good thing they have what?",dogs,train-00000-of-00001,E,"Question:
Dogs run around all day, it's a good thing they have what?

Which of the following is the best response to the question?

Choices:
A. pointed ears
B. fleas
C. bones
D. tails
E. four legs

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Why might you be found grooming yourself in the mirror on the way out the door?,grooming,train-00000-of-00001,E,"Question:
Why might you be found grooming yourself in the mirror on the way out the door?

Which of the following is the best response to the question?

Choices:
A. cleanliness
B. mistakes
C. anxiety
D. beauty
E. neatness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",88
Where do the people find milk for sale?,people,train-00000-of-00001,A,"Question:
Where do the people find milk for sale?

Which of the following is the best response to the question?

Choices:
A. supermarket
B. opera
C. apartment
D. train station
E. the refrigerator :  the kitchen

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
"When I was home, I was comfortable.  But I had a crippling fear of going where?",home,train-00000-of-00001,A,"Question:
When I was home, I was comfortable.  But I had a crippling fear of going where?

Which of the following is the best response to the question?

Choices:
A. outside
B. vacation
C. idle
D. apartment
E. neighborhood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",90
Where can you get a puck to take home?,puck,train-00000-of-00001,E,"Question:
Where can you get a puck to take home?

Which of the following is the best response to the question?

Choices:
A. hockey rink
B. arcade
C. ice hockey game
D. locker room
E. sporting goods store

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
"If you listen to someone talk without talking yourself, you might do what?",talking,train-00000-of-00001,E,"Question:
If you listen to someone talk without talking yourself, you might do what?

Which of the following is the best response to the question?

Choices:
A. conversation
B. communicate
C. exchange of ideas
D. sharing information
E. obtaining information

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where did most people keep their telephone directory near the nourishment they keep in their house?,telephone directory,train-00000-of-00001,A,"Question:
Where did most people keep their telephone directory near the nourishment they keep in their house?

Which of the following is the best response to the question?

Choices:
A. kitchen
B. building
C. office
D. boat
E. library

Reply with exactly one uppercase letter out of A, B, C, D or E.
",86
Where would you buy alcohol from a person who will also bring things to eat?,alcohol,train-00000-of-00001,C,"Question:
Where would you buy alcohol from a person who will also bring things to eat?

Which of the following is the best response to the question?

Choices:
A. chemistry lab
B. party
C. restaurants
D. supermarket
E. pub

Reply with exactly one uppercase letter out of A, B, C, D or E.
",87
