question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_base
What do people want to feel while playing cards?,playing cards,train-00000-of-00001,A,"Question:
What do people want to feel while playing cards?

Which of the following is the best response to the question?

Choices:
A. amusement
B. anger
C. win money
D. happiness
E. loss of interest

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What would you be if you do not have work?,work,train-00000-of-00001,A,"Question:
What would you be if you do not have work?

Which of the following is the best response to the question?

Choices:
A. unemployed
B. do nothing
C. play
D. celebrate
E. laziness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can a person drink alcohol as they slice a steak?,alcohol,train-00000-of-00001,E,"Question:
Where can a person drink alcohol as they slice a steak?

Which of the following is the best response to the question?

Choices:
A. pub
B. chemistry lab
C. manual
D. supermarket
E. restaurants

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where is a good place to be an automobile?,automobile,train-00000-of-00001,B,"Question:
Where is a good place to be an automobile?

Which of the following is the best response to the question?

Choices:
A. garage
B. driveway
C. repair shop
D. junk yard
E. exit ramp

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a woman store her leg razor?,razor,train-00000-of-00001,E,"Question:
Where would a woman store her leg razor?

Which of the following is the best response to the question?

Choices:
A. outside
B. barber shop
C. psycho's pocket
D. suitcase
E. medicine cabinet

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What North American country really likes watching matches on a soccer field?,soccer field,train-00000-of-00001,D,"Question:
What North American country really likes watching matches on a soccer field?

Which of the following is the best response to the question?

Choices:
A. playground
B. canada
C. outside
D. mexico
E. park

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you keep a rug near your front door?,rug,validation-00000-of-00001,D,"Question:
Where would you keep a rug near your front door?

Which of the following is the best response to the question?

Choices:
A. persia
B. desk
C. table
D. living room
E. hall

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can a calendar be purchased normally?,calendar,train-00000-of-00001,A,"Question:
Where can a calendar be purchased normally?

Which of the following is the best response to the question?

Choices:
A. office supply store
B. desktop
C. smart phone
D. wrist watch
E. date book

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Nations agreeing with each other will lead to what?,agreeing with,train-00000-of-00001,D,"Question:
Nations agreeing with each other will lead to what?

Which of the following is the best response to the question?

Choices:
A. taco tuesday
B. like
C. problem
D. peace
E. contract

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is the goal of someone planning to kill?,kill,train-00000-of-00001,A,"Question:
What is the goal of someone planning to kill?

Which of the following is the best response to the question?

Choices:
A. take life
B. or dies
C. feel remorse
D. shoot
E. murder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you get some maps that you own?,maps,validation-00000-of-00001,D,"Question:
Where would you get some maps that you own?

Which of the following is the best response to the question?

Choices:
A. bookstore
B. library
C. electrical circuit
D. cabinet
E. important when traveling

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What happens when people are waiting for something?,waiting for,train-00000-of-00001,B,"Question:
What happens when people are waiting for something?

Which of the following is the best response to the question?

Choices:
A. read book
B. getting bored
C. worry
D. singing
E. s never comes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Lawyers often talk in front of an audience where?,lawyers,validation-00000-of-00001,B,"Question:
Lawyers often talk in front of an audience where?

Which of the following is the best response to the question?

Choices:
A. work
B. courtroom
C. office building
D. press charges
E. theatre

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might happen to a head to cause losing consciousness?,losing consciousness,train-00000-of-00001,A,"Question:
What might happen to a head to cause losing consciousness?

Which of the following is the best response to the question?

Choices:
A. injury
B. coma
C. death
D. a blow
E. falling down

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Discovering truth normally occurs at what part of a research process?,discovering truth,train-00000-of-00001,B,"Question:
Discovering truth normally occurs at what part of a research process?

Which of the following is the best response to the question?

Choices:
A. enlightenment
B. conclusion
C. beginning
D. relief
E. happiness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why are there so many different creatures in the oceans?,oceans,train-00000-of-00001,D,"Question:
Why are there so many different creatures in the oceans?

Which of the following is the best response to the question?

Choices:
A. saline based
B. wet
C. wide
D. very deep
E. pressure

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would a wooden chair be a good fit for?,chair,train-00000-of-00001,B,"Question:
Where would a wooden chair be a good fit for?

Which of the following is the best response to the question?

Choices:
A. office
B. desk
C. living room
D. lawn
E. cubicle

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How might one go about instituting a civil action?,instituting civil action,train-00000-of-00001,B,"Question:
How might one go about instituting a civil action?

Which of the following is the best response to the question?

Choices:
A. disobedience
B. court case
C. trial
D. anger
E. complications

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you do to win when you compete against someone?,compete against,train-00000-of-00001,D,"Question:
What do you do to win when you compete against someone?

Which of the following is the best response to the question?

Choices:
A. cheat
B. fair
C. sabotage
D. practice
E. in competition

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do you use to washing clothes?,washing clothes,train-00000-of-00001,D,"Question:
What do you use to washing clothes?

Which of the following is the best response to the question?

Choices:
A. clothes
B. laundry soap
C. water and soap
D. soap and water
E. time

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where cna you find emergency dental office services?,dental office,train-00000-of-00001,A,"Question:
Where cna you find emergency dental office services?

Which of the following is the best response to the question?

Choices:
A. hospital
B. michigan
C. minnesota
D. dentist
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What does someone experience after eating lunch?,eating lunch,train-00000-of-00001,D,"Question:
What does someone experience after eating lunch?

Which of the following is the best response to the question?

Choices:
A. numb
B. farts
C. late for work
D. feel full
E. feel sleepy

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
How does a planet usually move around the sun?,planet,validation-00000-of-00001,E,"Question:
How does a planet usually move around the sun?

Which of the following is the best response to the question?

Choices:
A. writing
B. universe
C. outer space
D. outerspace
E. orbit

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
"Where can you buy a magazine, paper or gum?",magazine,validation-00000-of-00001,D,"Question:
Where can you buy a magazine, paper or gum?

Which of the following is the best response to the question?

Choices:
A. bank
B. rack
C. bed
D. newsstand
E. bus depot

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might learning about science cause in someone?,learning about science,train-00000-of-00001,E,"Question:
What might learning about science cause in someone?

Which of the following is the best response to the question?

Choices:
A. scientific knowledge
B. intimidation
C. boring
D. become educated
E. sense of wonder

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Going to bed would help someone to do what?,going to bed,train-00000-of-00001,D,"Question:
Going to bed would help someone to do what?

Which of the following is the best response to the question?

Choices:
A. relax
B. dreaming of
C. falling asleep
D. rest
E. making love

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
In smaller whats are there less needs a bus stop?,bus stop,train-00000-of-00001,E,"Question:
In smaller whats are there less needs a bus stop?

Which of the following is the best response to the question?

Choices:
A. urban area
B. busy
C. airport
D. boarding bus
E. towns

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where do people say god is at all times?,god,train-00000-of-00001,C,"Question:
Where do people say god is at all times?

Which of the following is the best response to the question?

Choices:
A. give peace
B. judge people
C. everywhere
D. anything
E. work miracles

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What dwelling might one take a bowl to after buying it?,bowl,train-00000-of-00001,C,"Question:
What dwelling might one take a bowl to after buying it?

Which of the following is the best response to the question?

Choices:
A. restaurant
B. grave yard
C. apartment
D. cupboard
E. refrigerator

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What do fish have to aid in oxygen exchange?,fish,train-00000-of-00001,A,"Question:
What do fish have to aid in oxygen exchange?

Which of the following is the best response to the question?

Choices:
A. gills
B. bones
C. tail
D. no legs
E. see work

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What is the difference between one having solidity?,solidity,train-00000-of-00001,A,"Question:
What is the difference between one having solidity?

Which of the following is the best response to the question?

Choices:
A. openness
B. fluidity
C. hollowness
D. weakness
E. instability

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Human beings learn about current events from what print item?,human beings,validation-00000-of-00001,C,"Question:
Human beings learn about current events from what print item?

Which of the following is the best response to the question?

Choices:
A. question authority
B. melt
C. read newspapers
D. act
E. dictionary

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
The lizard tried to warm itself by resting where?,lizard,train-00000-of-00001,E,"Question:
The lizard tried to warm itself by resting where?

Which of the following is the best response to the question?

Choices:
A. porch
B. rocky areas
C. garden
D. shady spot
E. sunny place

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What might a gentleman own and go inside of?,gentleman,train-00000-of-00001,B,"Question:
What might a gentleman own and go inside of?

Which of the following is the best response to the question?

Choices:
A. garage
B. big house
C. movie
D. restaurant
E. tuxedo

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where can I put this penny to save for later?,penny,validation-00000-of-00001,A,"Question:
Where can I put this penny to save for later?

Which of the following is the best response to the question?

Choices:
A. piggy bank
B. wallet
C. toy
D. ground
E. pocket

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where are mice usually found in  house?,mouse,train-00000-of-00001,D,"Question:
Where are mice usually found in  house?

Which of the following is the best response to the question?

Choices:
A. on the couch
B. disneyland
C. garage
D. kitchen
E. cupboard

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you put a dictionary while you're using it?,dictionary,train-00000-of-00001,C,"Question:
Where would you put a dictionary while you're using it?

Which of the following is the best response to the question?

Choices:
A. library
B. study area
C. table
D. classroom
E. shelf

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Why would a small dog pant if it's hot outside?,small dog,validation-00000-of-00001,C,"Question:
Why would a small dog pant if it's hot outside?

Which of the following is the best response to the question?

Choices:
A. outside
B. europe
C. heat
D. wet
E. dog show

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
One reason to keep going to work is what?,going to work,train-00000-of-00001,A,"Question:
One reason to keep going to work is what?

Which of the following is the best response to the question?

Choices:
A. promotions
B. stress
C. bad mood
D. for a party
E. exhaustion

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
