timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-12T22:37:49.204881,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,0,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.256024,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,1,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.302220,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,2,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.352838,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,3,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.402302,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,4,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.453087,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,5,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.498414,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,6,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.544318,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,7,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.593652,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,8,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.639552,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,9,0,50,A,A,A,A,18.50000,15.25000,,[50],1,0,efd039394a5a73eb2ce7b3d62512ee5660658869431fd4f3dfdad8617b76a51d
2026-06-12T22:37:49.695916,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,0,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,ffe7d70e977d06df595631a0b0f93940609f2318a387009fc0507773227f3de6
2026-06-12T22:37:49.756258,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,1,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,65c21edcce5036c04ba4975d0884897a79be28d7ac459603259a31b5dd547a1a
2026-06-12T22:37:49.815679,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,2,1,50,A,A,A,A,18.50000,15.31250,,"[52, 50]",2,0,03634323773dbaed4b16333b8d8c89d681bd4573bd1a68692e7d57f6c632aeae
2026-06-12T22:37:49.874433,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,3,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,56d99967b93bffd1bebe6c15badfe230730f6f142b35426ce32c744154ecc37b
2026-06-12T22:37:49.928063,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,4,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,ebe0af9a64926ce767d45337f7eb0b4086275033a2de378daa9b919750a74435
2026-06-12T22:37:49.985278,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,5,1,50,A,A,A,A,18.50000,15.31250,,"[52, 50]",2,0,47c38b00c894615b1781008837ccda6bc7a0bbc894c0f7d185896756cf487ee1
2026-06-12T22:37:50.038190,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,6,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,956be7f8e72f81a2308f2051fa802ca9dd618abc122965e38cb40c2bbe3c5810
2026-06-12T22:37:50.096816,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,7,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,6f3f9cb76be64929247921c670bdd43a10604612cdd097febaa0e92cfa3b00aa
2026-06-12T22:37:50.150851,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,8,0,50,A,A,A,A,18.50000,15.31250,,"[50, 52]",2,0,a6a8a2ad13f44d390ff6d750eaa469f0a9365f43e83644062375ef166169c8df
2026-06-12T22:37:50.208674,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,2,0,9,1,50,A,A,A,A,18.50000,15.31250,,"[52, 50]",2,0,985a244ed086751cdc9d8b9f95d5fae70fa86b4273ce4ee35c8fc283df0b5c9c
2026-06-12T22:37:50.264424,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,0,2,50,A,A,A,A,18.50000,15.37500,,"[52, 52, 50, 52]",2,0,b89f8dbcab368aa633611bcfdf73a9fb3f6b53e4a39993fb73c62c4e1e914963
2026-06-12T22:37:50.322439,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,1,2,50,A,A,A,A,18.50000,15.37500,,"[52, 52, 50, 52]",2,0,cdc42bbf3987343df8785c9509084ae60ef18a1c25f09f3ee61273ff9f83e578
2026-06-12T22:37:50.391668,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,2,0,50,A,A,A,A,18.50000,15.37500,,"[50, 52, 52, 52]",2,0,845e2e1010eb7b8e153c50f17af6857c373103839c3cf2e788a35c2796233697
2026-06-12T22:37:50.445886,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,3,2,50,A,A,A,A,18.50000,15.37500,,"[52, 52, 50, 52]",2,0,7a37bd89c9e0a0cc97265a68939e85a155f7ec66a3928aaa48e8c71fc7dcf92d
2026-06-12T22:37:50.499180,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,4,1,50,A,A,A,A,18.50000,15.37500,,"[52, 50, 52, 52]",2,0,e5bdf8bf369994dad609b0ed41c7403143d3a49f7a5df6c3879878565d2355b0
2026-06-12T22:37:50.552997,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,5,0,50,A,A,A,A,18.50000,15.37500,,"[50, 52, 52, 52]",2,0,ba7a5e2bf2827b570b7560c47e6a68561299d341796521f1fd56e1a49fb62c30
2026-06-12T22:37:50.606155,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,6,0,50,A,A,A,A,18.50000,15.37500,,"[50, 52, 52, 52]",2,0,74ffc03040fba284d40838fb9a268b01fdc6e417c27963939969a25f1d5b2c0f
2026-06-12T22:37:50.664277,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,7,2,50,A,A,A,A,18.50000,15.37500,,"[52, 52, 50, 52]",2,0,47e2b37d54cd38fef5e012d6ad2e39f8819e2e40ea47b937dd753fcddf01914f
2026-06-12T22:37:50.717535,glm-4-9b-chat-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,4,0,8,2,50,A,A,A,A,18.50000,15.37500,,"[52, 52, 50, 52]",2,0,b849b3f538137ef7f44f72bb546aba71e71e8dacc886581364494493dcb1f93d
