ind,activity_label,ctx,answer,final_prompt,len_tk_glm4_9b_base
17919.0,Playing polo,Several people are on horses playing polo. There is a crowd in the background watching. A careless man causes his horse to fall. the horse,D,"Context:
""Several people are on horses playing polo. There is a crowd in the background watching. A careless man causes his horse to fall. the horse""

Which of the following endings best completes the context?

Choices:
A. falls and a band comes to help him up.
B. lifts up and runs away.
C. stops and the man then gets off his horse and leads a horse into a corral.
D. gets up but, the man remains on the ground.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
13512.0,Snow tubing,Skiers walk and stand on skis at the bottom of the hill at of a ski resort. kids,B,"Context:
""Skiers walk and stand on skis at the bottom of the hill at of a ski resort. kids""

Which of the following endings best completes the context?

Choices:
A. stand on the steep hill watching the skiers get on and off the skis.
B. ride on inflatable tubes down lanes on a ski slope.
C. walk and stand on the hills at the bottom of the hill.
D. sled in the slopes through the ski resort.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
14073.0,Shoveling snow,A small car is covered in a thick layer of snow. A man appears with a sweeper. he,A,"Context:
""A small car is covered in a thick layer of snow. A man appears with a sweeper. he""

Which of the following endings best completes the context?

Choices:
A. uses it to rake all the snow off the vehicle.
B. is then seen vacuuming the exterior of a car.
C. starts to wipe the snow onto the car while the camera captures it.
D. turns the car on, blowing the snow off the cars with the tool.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
29527.0,Running a marathon,We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady,D,"Context:
""We see a lady and a man interviewed and see a store window. We see people running and another lady is interviewed and we return to the runners. the lady""

Which of the following endings best completes the context?

Choices:
A. talks to the camera and runs, then is interviewed.
B. gives a video about the various runners she is running with.
C. is interviewed and we see clips of people on the runners.
D. speaks and we see the runners.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
35616.0,Cutting the grass,A large yard is seen followed by a man moving in and out of frame. the man,C,"Context:
""A large yard is seen followed by a man moving in and out of frame. the man""

Which of the following endings best completes the context?

Choices:
A. then travels through areas while being seen moving all over the yard.
B. moves out of frame multiple times while people play soccer on the beach.
C. uses a lawn mower up and down the yard.
D. then puts a tire on a bike and installs some wheels onto it and parts of the bike.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
3192.0,Longboarding,A falls off a skateboard in an awkward way. Then we see several other boys as they trip and fall. they,C,"Context:
""A falls off a skateboard in an awkward way. Then we see several other boys as they trip and fall. they""

Which of the following endings best completes the context?

Choices:
A. finally get out on their own by jumping onto the uneven bluffs.
B. get into the pool and they're laughing about it.
C. take sharp turns on suburban roads, trying to stay on their boards.
D. are pushed off a building onto the snow themselves.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
6682.0,Long jump,Man is standing in a race track running and making a long jump and the video shows a repetition. Man is smiling and fells in the track of happiness. men,C,"Context:
""Man is standing in a race track running and making a long jump and the video shows a repetition. Man is smiling and fells in the track of happiness. men""

Which of the following endings best completes the context?

Choices:
A. are running and making jumps in a race track airport.
B. wearing red t shirts are chasing the boy.
C. are sitting on white chairs next to a racetrack.
D. performs a long jump in blue desert.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
33899.0,Making a sandwich,"A child places turkey slices on two pieces of white bread, then adds a slice of cheese. Finally, she adds a layer of miracle whip. she",C,"Context:
""A child places turkey slices on two pieces of white bread, then adds a slice of cheese. Finally, she adds a layer of miracle whip. she""

Which of the following endings best completes the context?

Choices:
A. then spreads butter on that plate, then add jam.
B. takes a bunch of the miracle whip mixed in with sugar and flour.
C. leans forward, taking a large bite of the sandwich.
D. adds the plate of tangled cake dough.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
17832.0,Removing curlers,A little girl crouches down on the carpeted floor and is placing sponge curlers on the carpet. a lady with a black blouse,D,"Context:
""A little girl crouches down on the carpeted floor and is placing sponge curlers on the carpet. a lady with a black blouse""

Which of the following endings best completes the context?

Choices:
A. takes a tissue and wipes her eyes.
B. kneels down in front of her and lifts up the girl on her shoulders.
C. is also playing along.
D. sits next to the child and begins placing the curlers in the little girls hair.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
15225.0,Breakdancing,A man speaks to the camera while several clips are shown of people flipping and doing tricks in various locations. the people,A,"Context:
""A man speaks to the camera while several clips are shown of people flipping and doing tricks in various locations. the people""

Which of the following endings best completes the context?

Choices:
A. jump and flip around one another and continue performing parkour.
B. continue to flip and have their heads chopped off in the end.
C. continue to flip and do various stunts as well as tying hands.
D. continue to perform tricks as well as making rain pose.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
5862.0,Elliptical trainer,A woman takes her shoes and socks off and steps on an electronic scale. A woman drinks from a mug while another uses the machine. at the end,B,"Context:
""A woman takes her shoes and socks off and steps on an electronic scale. A woman drinks from a mug while another uses the machine. at the end""

Which of the following endings best completes the context?

Choices:
A. of the video the card is shown.
B. we see the orange logo again.
C. , the woman grabs a plate and puts it on the side and shows her bare feet.
D. , the woman scrubs her legs along a rod.

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
26613.0,Spread mulch,A man is outside in a yard. he,A,"Context:
""A man is outside in a yard. he""

Which of the following endings best completes the context?

Choices:
A. is showing the different tools needed for mulching.
B. is using a lawn mower to move a red rubber pad.
C. uses a tool on the ladder this is shown in several different ways, it appears to be an ax or some other tool.
D. is holding an ax over a pile of leaves while a woman is chopping them up.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
6571.0,Capoeira,"Calango starts performing by the water on the pier. He goes to the beach, takes his shirt and shoes off and performs some more. credits",C,"Context:
""Calango starts performing by the water on the pier. He goes to the beach, takes his shirt and shoes off and performs some more. credits""

Which of the following endings best completes the context?

Choices:
A. run and credits roll, they mainly show shampoo inserts from sharks.
B. appear over the video briefly followed by a slogan, "" toilets "".
C. overlay a black screen.
D. roll on the video as the man jumps into the sand.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
38122.0,Trimming branches or hedges,A man starts up a gas powered hedger and hands it to someone standing on a platform. the man on the platform,B,"Context:
""A man starts up a gas powered hedger and hands it to someone standing on a platform. the man on the platform""

Which of the following endings best completes the context?

Choices:
A. pulls the pipe and the smoke rings out stretched across a board.
B. trims the top of a hedge with the hedge trimmer.
C. uses it as a lasso to catch a fish.
D. beams, someone runs in the woods with a screaming baby.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
5612.0,Assembling bicycle,A man is at a table inside a shop. He is showing the components of a bike wheel. he,A,"Context:
""A man is at a table inside a shop. He is showing the components of a bike wheel. he""

Which of the following endings best completes the context?

Choices:
A. takes some parts off and puts them back on again.
B. shows how to insert screws into the tire.
C. begins by cutting the spokes on the wheel and tightening them to make them comfortable.
D. then puts it on a bracket, and shows how to fasten it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
9133.0,Table soccer,People are playing a game on a foosball machine inside of their home. They go back and forth trying to prevent the other from scoring. someone,C,"Context:
""People are playing a game on a foosball machine inside of their home. They go back and forth trying to prevent the other from scoring. someone""

Which of the following endings best completes the context?

Choices:
A. knocks the machine down.
B. knocks over a queen game which dealer puts the loser in the bottom.
C. puts their hand in the way to put the ball back in the game.
D. makes a mistake and the screen goes black.

Reply with exactly one uppercase letter out of A, B, C, or D.
",115
37972.0,Slacklining,A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man,D,"Context:
""A man walks on a tight rope between two sheer rock faces. A view of an old world european city is seen. the man""

Which of the following endings best completes the context?

Choices:
A. jumps off the little rope and stands in the middle of the rock.
B. falls into a pool in front of the rocks.
C. bungee jumps and floats across a water.
D. sits on a the tight rope high up in the air.

Reply with exactly one uppercase letter out of A, B, C, or D.
",114
