timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-12T16:10:06.949801,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,0,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:06.987985,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,1,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.031928,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,2,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.075346,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,3,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.113307,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,4,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.157653,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,5,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.194286,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,6,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.231398,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,7,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.268502,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,8,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
2026-06-12T16:10:07.312618,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,9,0,47,A,B,B,B,14.00000,14.75000,,[47],1,0,9dc469a16ddc591f58a39a94210a4ffac38f10bb1d0fc26b07927e0056ed75e3
