timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,logit_C,logit_D,logit_E,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-09T21:20:53.696685,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,0,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.744663,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,1,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.784173,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,2,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.822495,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,3,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.863981,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,4,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.901564,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,5,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.943229,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,6,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:53.984384,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,7,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:54.024724,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,8,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:54.062962,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,9,0,65,D,A,A,A,15.56250,10.62500,13.50000,15.18750,12.31250,,[65],1,0,471db8f497789763bb692bd46872b75ff7e286c286051e77b18cdb349e526000
2026-06-09T21:20:54.114401,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,0,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,f54632fcdbeb34e23d6d14b808d5e5dca245973382ed9e330105406ba991f6c3
2026-06-09T21:20:54.161325,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,1,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,9b9ec4457a4df45a201eb7d61b5449d63287f84e75e0688fc63f24894546b178
2026-06-09T21:20:54.208007,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,2,1,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[67, 65]",2,0,2c2e79aa92a9be19471f7e96fd16ede8ccb0eabced80b428b357401239a2d1c1
2026-06-09T21:20:54.254680,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,3,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,fb1815e545166c2530cfa8820e35116521b0501944f88d2867bcfaa621ca7192
2026-06-09T21:20:54.305403,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,4,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,88bf8c47d80906c2af8f7f11209790141c29ac08b58a487bd4cff25bcd826860
2026-06-09T21:20:54.351390,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,5,1,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[67, 65]",2,0,1a6ccdf4b1c1bb39858577deb7482a5e7754b04cdcd18f9019b77ce52a0d2466
2026-06-09T21:20:54.398894,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,6,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,7e550fc80798c7befef3daec99b7aadbc425ec410b4205eb1e227e129501e33d
2026-06-09T21:20:54.447943,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,7,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,8dba4b16086cdb653c985e552a22df8ec00bf5ce202ecf27081abbbc5c68650d
2026-06-09T21:20:54.497711,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,8,0,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[65, 67]",2,0,dbd77aa9bbf262023c211610399e5981a48ac9c6b48f98fc4b202eac7b57659d
2026-06-09T21:20:54.548605,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,9,1,65,D,A,A,A,15.43750,10.50000,13.37500,15.12500,12.18750,,"[67, 65]",2,0,5888218339c1869404cbab61f29489caac34947e821f6085e88ce2b72ae03ffd
2026-06-09T21:20:54.605640,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,0,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67]",2,0,a1fa04e688c5bff3e5ea750eba983798630a9280151a6d9e8addfde60093cbbb
2026-06-09T21:20:54.931082,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,1,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67]",2,0,69f7109493d4ea86dec2b796d0b8d5ac823cb36a63aa3c11d56e15a5061a8a60
2026-06-09T21:20:54.986796,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,2,0,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[65, 67, 67, 67]",2,0,af325a5e0561b143da3993ae06fdcdf6c07e95d281faffbabd5a1ad81b927e59
2026-06-09T21:20:55.037302,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,3,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67]",2,0,214c25ea60d9f5f7321dd769b406e7a361aae0c55e34bbcf6e3c3a7edc0d28fa
2026-06-09T21:20:55.087878,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,4,1,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 65, 67, 67]",2,0,810bfae39b6ed288b58c4f17035f56f2cf4269c15784423a52a8b53506d3a966
2026-06-09T21:20:55.138952,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,5,0,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[65, 67, 67, 67]",2,0,a7207abd581bd25aab8842675ae1bcf5ed6d49283ff23c7e45d2edba4a1df009
2026-06-09T21:20:55.188839,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,6,0,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[65, 67, 67, 67]",2,0,9fa3de19677aa1a9cdae224b42907f13f1e6a130f8734ac7cf36eae88faacab2
2026-06-09T21:20:55.241262,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,7,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67]",2,0,6014013d2d971ffd5293f4789a3d85e442c08281632f8fd7314d444098c1fdbe
2026-06-09T21:20:55.292716,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,8,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67]",2,0,e21dff57f6b43df3d5e2e472f9f16c12c7c9e878a7ff61f04486e7e1c389bbb5
2026-06-09T21:20:55.343537,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,4,0,9,0,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[65, 67, 67, 67]",2,0,9c1ad3ea4b38bb7781d4e33b687a7f54d150b776000d25d2e40e6d8e95b437ee
2026-06-09T21:20:55.414531,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,8,0,0,6,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 67, 67, 67, 67, 65, 67]",2,0,b178b89088dca90db19984513efbfa3059b5faf9e48d6e896b707b8a6efab311
2026-06-09T21:20:55.486327,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,8,0,1,2,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 65, 67, 67, 67, 67, 67]",2,0,9425cd5ba609aa27a96ab53176f1a042a6d16b6f3eb4dd6cbb78f97fed428ec0
2026-06-09T21:20:55.558672,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,8,0,2,3,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 67, 65, 67, 67, 67, 67]",2,0,5694c3ad9b3e48d68fc1a2edc2ef7493809aac758dd0a82e6dcd14c147c0535d
2026-06-09T21:20:55.629562,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,8,0,3,6,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 67, 67, 67, 67, 65, 67]",2,0,f03eeb820626a29d14bea7efd406e5a1a2697aa3bf121c2c3d516d3981bcf588
2026-06-09T21:20:55.701559,Qwen2.5-7B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,8,0,4,5,65,D,A,A,A,15.62500,10.62500,13.50000,15.25000,12.37500,,"[67, 67, 67, 67, 67, 65, 67, 67]",2,0,e7c734e2ba90d99e9d0a2e9c02aac67a897c958bed44b60900cd30f08f908c69
