question,question_concept,_split,answer,final_prompt,len_tk_llama3.1_8b_base
"When a person is beginning work, what are they building?",beginning work,validation-00000-of-00001,D,"Question:
When a person is beginning work, what are they building?

Which of the following is the best response to the question?

Choices:
A. time
B. accomplishing
C. working
D. momentum
E. tiredness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would footprints be left on a man made item?,footprints,train-00000-of-00001,E,"Question:
Where would footprints be left on a man made item?

Which of the following is the best response to the question?

Choices:
A. roof
B. carpet
C. ground
D. surface of earth
E. rug

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What symptom does smoking relate to the organ of breathing?,smoking,train-00000-of-00001,D,"Question:
What symptom does smoking relate to the organ of breathing?

Which of the following is the best response to the question?

Choices:
A. death
B. birth defects
C. heart attack
D. persistent cough
E. bad breath

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is the primary duty of a chef?,chef,train-00000-of-00001,E,"Question:
What is the primary duty of a chef?

Which of the following is the best response to the question?

Choices:
A. manual
B. thin sauce
C. study french cooking
D. cook dinner
E. prepare food

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would walk through a central passage to catch an elevator?,central passage,validation-00000-of-00001,D,"Question:
Where would walk through a central passage to catch an elevator?

Which of the following is the best response to the question?

Choices:
A. tomb
B. arena
C. access rooms
D. public building
E. house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
Where would you store glue when it's not in use?,glue,train-00000-of-00001,A,"Question:
Where would you store glue when it's not in use?

Which of the following is the best response to the question?

Choices:
A. desk drawer
B. art room
C. classroom
D. bathroom
E. school

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What western state has thousands of miles of shore?,shore,validation-00000-of-00001,D,"Question:
What western state has thousands of miles of shore?

Which of the following is the best response to the question?

Choices:
A. picture of sea side
B. seaside town
C. beach
D. california
E. see side picture

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where would you find food packaged in MRE's?,food,train-00000-of-00001,E,"Question:
Where would you find food packaged in MRE's?

Which of the following is the best response to the question?

Choices:
A. fairgrounds
B. picnic
C. neighbor's house
D. supermarket
E. military base

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Where would you not be likely to find ice?,ice,train-00000-of-00001,C,"Question:
Where would you not be likely to find ice?

Which of the following is the best response to the question?

Choices:
A. hockey game
B. cold weather
C. refrigerator
D. zoo
E. antarctica

Reply with exactly one uppercase letter out of A, B, C, D or E.
",69
What are adult people usually expected to do?,people,train-00000-of-00001,C,"Question:
What are adult people usually expected to do?

Which of the following is the best response to the question?

Choices:
A. shake hands
B. own property
C. pay bills
D. smoke
E. talk to each other

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
