timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-12T23:06:26.761544,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,0,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:26.816650,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,1,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:26.867274,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,2,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:26.914998,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,3,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:26.961021,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,4,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:27.007502,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,5,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:27.057343,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,6,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:27.108406,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,7,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:27.159335,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,8,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
2026-06-12T23:06:27.205763,glm-4-9b-hf,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,50,52,LARGER_1,1,0,9,0,50,A,A,A,A,27.50000,19.50000,,[50],1,0,a3acc6c2e01ade6557a389acfc03b906ed5bf6df7637cf21a2ac580d0bdcd22d
