ind,activity_label,ctx,answer,final_prompt,len_tk_gemma2_9b_base
3551.0,Putting in contact lenses,A person's eye is seen close up the camera holing a contact lens in their hands and holding their eye open. the person,C,"Context:
""A person's eye is seen close up the camera holing a contact lens in their hands and holding their eye open. the person""

Which of the following endings best completes the context?

Choices:
A. then twists their body taking in their eyes while still moving their head.
B. taps the lens with a metal object and close it down showing it's self.
C. then puts the contact lens in their eye and rubs their eye while blinking multiple times.
D. then puts the contact into the other eye and pulls a button.

Reply with exactly one uppercase letter out of A, B, C, or D.
",139
15952.0,Playing drums,"Then school children are shown playing recorders in a classroom, and an old man that visits them is a highlight. at the end",D,"Context:
""Then school children are shown playing recorders in a classroom, and an old man that visits them is a highlight. at the end""

Which of the following endings best completes the context?

Choices:
A. , they pass the barrel over the top of the fence, and they're introduced to boys that fall off the winning team.
B. of the school day, a girl takes her turn and is recorded standing with her hand on her mouth and a bite mark on her neck.
C. , the kids come home and start shoveling throughout the hallway in excitement.
D. the two sections of video are shown side by side and then the television channel's logo.

Reply with exactly one uppercase letter out of A, B, C, or D.
",164
5513.0,Drinking coffee,A black and white scene appears with two individuals sitting on a bench. the two,B,"Context:
""A black and white scene appears with two individuals sitting on a bench. the two""

Which of the following endings best completes the context?

Choices:
A. individuals begin playing a game of croquette while making shots across the floor.
B. then begin staring at each other intensely before the guy takes a drink of his tea with the spoon still in it.
C. individuals talk over the teletype, then they get up and continue talking.
D. individuals continuously break dance, which several have seen doing, then show one at a time.

Reply with exactly one uppercase letter out of A, B, C, or D.
",138
43840.0,Capoeira,The teen talks to another one of the children and send the boy in when it's his turn. the teen,C,"Context:
""The teen talks to another one of the children and send the boy in when it's his turn. the teen""

Which of the following endings best completes the context?

Choices:
A. kisses another child on the head as the boy does the same to his own head.
B. and woman talk and text pictures of the boy, then we see intro shots for teen rodeo.
C. attempts to have a scared boy take a turn but the boy refuses.
D. pretends to grab the sunscreen and begins to rub it onto his cheek.

Reply with exactly one uppercase letter out of A, B, C, or D.
",138
44615.0,Fun sliding down,The video is very poor quality and it shows a man holding the camera and he is at a park with other people that includes another adult and a small child that looks like a girl. the man,A,"Context:
""The video is very poor quality and it shows a man holding the camera and he is at a park with other people that includes another adult and a small child that looks like a girl. the man""

Which of the following endings best completes the context?

Choices:
A. climbs onto the park equipment with the little girl.
B. grabs the camera and starts to fix the lens and then begins to mows while also giving a second people a thumbs up as well as an accompanying laugh off.
C. appears to be snowboarding down a slope with a child on skateboards following in the background while other people are in various activities.
D. stands next to the girl and they are watching a girl brushing snow off her hood.

Reply with exactly one uppercase letter out of A, B, C, or D.
",174
21974.0,Shaving legs,"The woman holds up a disposable razor, then holds up a reusable razor and shows that the razor can be popped up. The woman is standing again and is now applying lotion to her leg. the woman",D,"Context:
""The woman holds up a disposable razor, then holds up a reusable razor and shows that the razor can be popped up. The woman is standing again and is now applying lotion to her leg. the woman""

Which of the following endings best completes the context?

Choices:
A. is now spraying wax all over her leg while using a super blue spray and her green water spray when she is done.
B. cuts the lotion onto her leg with the razor.
C. puts lotion on her leg from the head down to the soles of her feet.
D. is now standing with just her upper body showing and is smiling and talking.

Reply with exactly one uppercase letter out of A, B, C, or D.
",156
3631.0,Hurling,The video is demonstrating how to catch the ball and scoop it up with the stick. It also demonstrates how to balance the ball on the stick as the player runs. the players,A,"Context:
""The video is demonstrating how to catch the ball and scoop it up with the stick. It also demonstrates how to balance the ball on the stick as the player runs. the players""

Which of the following endings best completes the context?

Choices:
A. are showing all the steps in the tutorial where the one of the player shoots the ball bravely for a point.
B. continue running and receiving a high five from the coach before they go serve the ball.
C. start to play tennis as they attempt to catch the balls.
D. are blocking the ball as the referee is trying to prevent them from throwing it.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
42653.0,Archery,The man stands up on the four wheeler and hits his break lights to inspect a target. A man holding a bow and arrow is talking and demonstrating features on the bow he's holding. a website,C,"Context:
""The man stands up on the four wheeler and hits his break lights to inspect a target. A man holding a bow and arrow is talking and demonstrating features on the bow he's holding. a website""

Which of the following endings best completes the context?

Choices:
A. is shown that is hosting a video about how to effectively shoot a bow shot.
B. is then shown and a countdown begins that shows how long it takes to hit the target.
C. scrolls across the screen while the man fires the bow at a target.
D. is shown with nodente letters across the screen.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
40859.0,Tango,A man wearing a suit in the city walks down the streets of new york and meets up with another man who likes just like him. The men compare items and then perform a dance routine in the center. the men,B,"Context:
""A man wearing a suit in the city walks down the streets of new york and meets up with another man who likes just like him. The men compare items and then perform a dance routine in the center. the men""

Which of the following endings best completes the context?

Choices:
A. hug and handshake with one another, then they walk out of the building until it's time for them to move the disk.
B. grabs hands to end the routine then walk away from one another.
C. walk back from each other while walking away from each other.
D. wait outside a house while other people ride bicycles down a rural road.

Reply with exactly one uppercase letter out of A, B, C, or D.
",159
16169.0,Ice fishing,Several men show off the different lures they are using for ice fishing. The action of the lures is shown underwater as several different fish go after the lures. the men,C,"Context:
""Several men show off the different lures they are using for ice fishing. The action of the lures is shown underwater as several different fish go after the lures. the men""

Which of the following endings best completes the context?

Choices:
A. engage in their own game while jumping off onto the ice to fish.
B. wind and chop the silver with each arm.
C. are also shown above the ice working their poles and catching several fish.
D. in the water speak to the camera briefly as well as speak scenes of fish.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
34418.0,Installing carpet,"A group of men in black started to removed the first half of the carpet in the living room, then replaced it with lighter, newer carpet. the group of men in black shirts",C,"Context:
""A group of men in black started to removed the first half of the carpet in the living room, then replaced it with lighter, newer carpet. the group of men in black shirts""

Which of the following endings best completes the context?

Choices:
A. now had their pants down, and they're applying the new carpet to the floor.
B. lay the new carpet onto a yellow cloth over the black cushions and carpet to bring in more color.
C. moved the couch from the wall to other side and removed the other half of the carpet, exposing the green floor.
D. started to extend the carpet and put a new end in between two stands.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
1322.0,Clean and jerk,A man is in the gym in tight he bends over picks up a weight over his head and drops it back down. He walks back and loosens up before walking back up and doing it again adding more weight. he,C,"Context:
""A man is in the gym in tight he bends over picks up a weight over his head and drops it back down. He walks back and loosens up before walking back up and doing it again adding more weight. he""

Which of the following endings best completes the context?

Choices:
A. finally lifts the weight over his head over his own head.
B. turns his back towards the camera and continues talking to the camera adding more weight along with more weight on the end.
C. does this multiple times adding more and more weight to the rack.
D. walks back up and drops the weights back down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",153
35421.0,Hula hoop,"The camera turns towards her face, then she started swirling the hula hoops and put it on her. the girl",C,"Context:
""The camera turns towards her face, then she started swirling the hula hoops and put it on her. the girl""

Which of the following endings best completes the context?

Choices:
A. continue spinning the hula hoops but do that in her life.
B. stand gyrating her hips as she dance, her body spinning side to side.
C. started to do hula hoops tricks, first on her waist then up, then to her legs and arms.
D. begin twirling the hula hoop and her hips twist in the hula making the hoop light blue and it appears on her arm.

Reply with exactly one uppercase letter out of A, B, C, or D.
",148
15474.0,Shaving legs,A close up of a person's legs are shown with other people putting on shaving cream. The people then begin shaving the other person legs. they,B,"Context:
""A close up of a person's legs are shown with other people putting on shaving cream. The people then begin shaving the other person legs. they""

Which of the following endings best completes the context?

Choices:
A. reappear with a blue razor and begin shaving his legs while more shots of them's are shown and ends with the people putting toothpaste on.
B. continue to shave while others move in and out frame.
C. continue putting on the shaving cream and rinsing off the hair.
D. rinse off with their hands and stand up together to finish.

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
1799.0,Decorating the Christmas tree,He then takes some red and gold ornaments and shows how to place them on the tree. He also takes a red ribbon and red berries to add to the tree. he,D,"Context:
""He then takes some red and gold ornaments and shows how to place them on the tree. He also takes a red ribbon and red berries to add to the tree. he""

Which of the following endings best completes the context?

Choices:
A. then cuts the top of the christmas tree in half and places the finished in the complete box.
B. continues decorating the tree while taking the colors and decorations off and letting them go.
C. clips all of the tubes into place up on the tree.
D. stands next to the fully decorated tree as he completes his tutorial.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
22452.0,Making a sandwich,"A grop of sandwich making materials is shown. An eggs is boiled in a pan, and then the eggs are run under cold water. celery",B,"Context:
""A grop of sandwich making materials is shown. An eggs is boiled in a pan, and then the eggs are run under cold water. celery""

Which of the following endings best completes the context?

Choices:
A. is poured into the pan in a blender while the pasta is mixed with grated parsley.
B. is chopped into bits along with other vegetables and then the eggs are mixed with this and a finished sandwich is shown.
C. is cut, followed by crisped cheese and oil.
D. is chopped, then mixed into a batch of ice cream.

Reply with exactly one uppercase letter out of A, B, C, or D.
",142
17976.0,Sailing,A graphic screen appears to introduce the video. A sailing team is maneuvering a boat in the water. the two men on this team,A,"Context:
""A graphic screen appears to introduce the video. A sailing team is maneuvering a boat in the water. the two men on this team""

Which of the following endings best completes the context?

Choices:
A. are being interviewed as they talk about each other, the race and how it feels to win a gold metal as footage of the two men in action on a sail boat plays.
B. are rowing quickly through the rough sea.
C. are running the boat past a group of onlookers.
D. board several different boats as it glides along the lake and through trees.

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
1261.0,Making a cake,The lady puts a dome in a chocolate dome and puts a crispies circle on it. The lady puts holes in a chocolate dome. The lady sprays the domes. the lady,B,"Context:
""The lady puts a dome in a chocolate dome and puts a crispies circle on it. The lady puts holes in a chocolate dome. The lady sprays the domes. the lady""

Which of the following endings best completes the context?

Choices:
A. folds the dome in half and removes the frosting from it dome.
B. puts the red dome on top of a black one and put the dome with holes on top of it.
C. adds a baking soda to the top of the dome.
D. opens a toy egg again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
19728.0,Horseback riding,The camera man is on a brown horse and is filming the ocean and the woman and two men in front of him riding horses on the beach. the camera man,A,"Context:
""The camera man is on a brown horse and is filming the ocean and the woman and two men in front of him riding horses on the beach. the camera man""

Which of the following endings best completes the context?

Choices:
A. focuses the camera on the people riding horses behind him as they all continue to ride horses on the beach.
B. stopped filming and the woman is demonstrating how water skiing just works.
C. is outside and begins saddling the horses with a blue horse in front of him.
D. is also filming the man in the blue horse who is playing with a male polo player, while they both ride their horses under various sun conditions.

Reply with exactly one uppercase letter out of A, B, C, or D.
",163
16477.0,Playing ice hockey,A group of hockey players are on the ice in a gym. They are using sticks to hit at the puck back and forth. the players,A,"Context:
""A group of hockey players are on the ice in a gym. They are using sticks to hit at the puck back and forth. the players""

Which of the following endings best completes the context?

Choices:
A. fight over the puck, trying to get it into the goal.
B. ferociously hit at each other.
C. kick the puck back and forth across the ice in such an elaborate fashion, it looks like they would overlay all of the hockey blocks to their attackers.
D. kick their legs up and down.

Reply with exactly one uppercase letter out of A, B, C, or D.
",136
43226.0,Drinking beer,A man talks in the woods holding a can and key chain. then,A,"Context:
""A man talks in the woods holding a can and key chain. then""

Which of the following endings best completes the context?

Choices:
A. , the man takes the key chain and points the lower part of the can.
B. , the man cut the branches around the tree and hit with car, then he go to cut the branches with the right hand.
C. , the man attach the key chain to the bike and start to wheel around.
D. , the man tugs the chain and holds open and a blonde man sand the objects.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
40891.0,Building sandcastles,Someone is running on the beach towards so sand castle competitions. A dog jumps in some sand dirt and is so happy about it. there,A,"Context:
""Someone is running on the beach towards so sand castle competitions. A dog jumps in some sand dirt and is so happy about it. there""

Which of the following endings best completes the context?

Choices:
A. are so many awesome and different things being made out of sand, it looks like it takes a lot of time and energy.
B. is now images of a man doing a stunt on a sand castle with a dog.
C. are a series of competitions in which several dogs compete.
D. are spectators watching the sand castle in anticipation of it being won.

Reply with exactly one uppercase letter out of A, B, C, or D.
",144
33387.0,Disc dog,A woman is seen hosting a news segment that leads into a clip of a dog jumping. People are shown doing tricks with their dogs and running all across a field. more clips,A,"Context:
""A woman is seen hosting a news segment that leads into a clip of a dog jumping. People are shown doing tricks with their dogs and running all across a field. more clips""

Which of the following endings best completes the context?

Choices:
A. are shown of people throwing frisbees and dogs following after.
B. are shown from various angles of the dog performing tricks in different locations while others applaud the dog and give him gifts.
C. are shown of various people running and jumping in different locations.
D. are shown of ones dogs throwing frisbees and showing off their tricks in slow motion.

Reply with exactly one uppercase letter out of A, B, C, or D.
",150
24411.0,BMX,The two boys are then pictured on a split screen against each other putting on their helmets. The two then put on their green biking gloves and get back on the bikes. a skate park,B,"Context:
""The two boys are then pictured on a split screen against each other putting on their helmets. The two then put on their green biking gloves and get back on the bikes. a skate park""

Which of the following endings best completes the context?

Choices:
A. is shown and the two boys go down a giant slide.
B. is then shown and one of the boys begin doing tricks over the bumps.
C. is shown, then kids are shown riding off on skateboards and zooming over the hill.
D. appears and they are on a ride through a parked car, then inside a gated garage.

Reply with exactly one uppercase letter out of A, B, C, or D.
",151
3810.0,Playing congas,A man is giving instructions about playing the congo. He speaks with his hands and then he taps the top of the congo very lightly. he,A,"Context:
""A man is giving instructions about playing the congo. He speaks with his hands and then he taps the top of the congo very lightly. he""

Which of the following endings best completes the context?

Choices:
A. starts to tap lightly on the congo at a very slow tempo and after a little bit of doing that he stops to start talking again.
B. then begins to play tapping his body stilts with his stilts.
C. then goes back and forth on what to do and lets his hand touch the sides of his chest.
D. points to a target.

Reply with exactly one uppercase letter out of A, B, C, or D.
",145
17187.0,Bathing dog,A man is washing a small dog in a sink while being recorded by someone else. he,C,"Context:
""A man is washing a small dog in a sink while being recorded by someone else. he""

Which of the following endings best completes the context?

Choices:
A. takes the dog inside his small yard so that the dog won't get wet.
B. stands in front of the camera to get an athlete's attention.
C. notices that there is some poop at the bottom of the sink so he lifts the dog out of the sink and rinses the poop down the drain then places the dog back in the sink.
D. hops on the shower head and washes.

Reply with exactly one uppercase letter out of A, B, C, or D.
",146
3789.0,Long jump,"A female athlete is standing in a field and takes off running and does a long jump in to the pit. After, she walks off and her jump is measures as they show her replay. after",B,"Context:
""A female athlete is standing in a field and takes off running and does a long jump in to the pit. After, she walks off and her jump is measures as they show her replay. after""

Which of the following endings best completes the context?

Choices:
A. , she puts on a full body suit and affixes a helmet to her face and walks to the pole.
B. , more girls begin to jump and represent their team and their jumps are measured as well.
C. , a replay of her jump is shown and no breaks are made as she runs into bag.
D. the same jump, she takes a high dive off of the top of and end by having her head broke.

Reply with exactly one uppercase letter out of A, B, C, or D.
",171
45101.0,Calf roping,The gates open and the man flies out with is lasso chasing after a black and white calf. the man,A,"Context:
""The gates open and the man flies out with is lasso chasing after a black and white calf. the man""

Which of the following endings best completes the context?

Choices:
A. throws the rope and catches the calf, gets off, ties the cow up and returns back on top of the horse.
B. stands on a rock of rock and ties the calf up with a rope.
C. is running and jumping over large rocks, then finds another calf and ties it up to the ground.
D. trails after the calf and compares the size of the calf and how big the calf is.

Reply with exactly one uppercase letter out of A, B, C, or D.
",149
2984.0,Discus throw,Man is standing in a large field wlking and practicing a shot put. Man wearing red shirt is standing on a side. men,B,"Context:
""Man is standing in a large field wlking and practicing a shot put. Man wearing red shirt is standing on a side. men""

Which of the following endings best completes the context?

Choices:
A. are in a street playing shot put and practicing drills.
B. are pacticing in a large green grassy field.
C. are standing along the fence in a sandy field in the middle when man hit the nunchucks we know is behind him.
D. are in a game of badminton doing a shot put in a field afotrack.

Reply with exactly one uppercase letter out of A, B, C, or D.
",140
40368.0,Surfing,A man paddles a surfboard with a baby on the board in front of him. He momentarily lifts the baby up to a standing position. a woman,A,"Context:
""A man paddles a surfboard with a baby on the board in front of him. He momentarily lifts the baby up to a standing position. a woman""

Which of the following endings best completes the context?

Choices:
A. moves towards the man and the baby.
B. is standing in front of the camera explaining something.
C. in a blue shirt sails a surfboard in the river using the baby as a personal help.
D. appears and dips a towel in a bucket of water once the baby is seen walking towards the camera again.

Reply with exactly one uppercase letter out of A, B, C, or D.
",137
3484.0,Disc dog,A man is seen lecturing a crowd while holding several green frisbees in his hand. after,D,"Context:
""A man is seen lecturing a crowd while holding several green frisbees in his hand. after""

Which of the following endings best completes the context?

Choices:
A. various shots are shown of people throwing the frisbees back and fourth in a bowling alley while the man watches on the side.
B. , he performs several tricks and throwing objects using the frisbee.
C. , he walks up to other people and frisbees them as well while standing.
D. talking to the crowd he calls out and a dog runs out on the stage to him.

Reply with exactly one uppercase letter out of A, B, C, or D.
",141
