timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,logit_C,logit_D,logit_E,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-09T22:26:14.439995,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,0,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.506721,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,1,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.567834,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,2,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.627283,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,3,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.687184,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,4,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.747916,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,5,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.808699,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,6,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.868674,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,7,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.927535,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,8,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:14.992124,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,1,0,9,0,65,D,D,D,D,38.00000,34.50000,38.25000,38.50000,35.25000,,[65],1,0,36fee7d230f14f13ab9ed7ef50664a6ff09b087e6023b43ea0d4dcfc1db4c964
2026-06-09T22:26:15.060790,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,0,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,ed576676c7ad9b6db4535d562ef71cf090139f56d005ea555fad210685192da3
2026-06-09T22:26:15.125851,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,1,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,3f778ad1394929b5ef695207cfd5ead8b368198e05f160b6922c66d96cdbed0e
2026-06-09T22:26:15.436534,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,2,1,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[67, 65]",2,0,8fdb8170153e743c9087077e2f5028d0fa61e898e7e791c0f1c3cc15d1bf4491
2026-06-09T22:26:15.509334,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,3,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,16516022d3dbd13b44f9c0181c6066ddfff2643adeba290b442bd0e76625a343
2026-06-09T22:26:15.575770,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,4,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,1d70c4d7c08a15e0e9c00a2e07a22e0c5576e035b3f7064045ffb3804f7c2a1c
2026-06-09T22:26:15.640246,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,5,1,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[67, 65]",2,0,521e2e349450a4d804ec3abd89ca37f34f25ce7bc44aef44bc1c0412c56c389c
2026-06-09T22:26:15.706268,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,6,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,b3cea3caa3d942554e321eb2e55309818004cd854c244d799c2b0f305e5253f4
2026-06-09T22:26:15.770475,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,7,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,cc6bbb0d8d03bf270c69e4bc9fea7929334d87a165680b9b10d0b4277215183c
2026-06-09T22:26:15.834458,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,8,0,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[65, 67]",2,0,7a3cfe42b297ca02f671548ba848df2574746662ecc5d4d6808ed3fef1c88434
2026-06-09T22:26:15.898661,Qwen3-8B-Base,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,65,67,LARGER_1,2,0,9,1,65,D,D,D,D,38.00000,34.50000,38.00000,38.25000,35.00000,,"[67, 65]",2,0,aa72dcb89345aecce6d613eecd46d47237505a68cf4642e5c6fb109491eeeb5d
