question,subject,split,answer,final_prompt,len_tk_llama3.1_8b_instruct
A patient wishes to use data from your recent neuropsychological evaluation in a civil hearing in which he is suing the supermarket where he slipped and fell. Which answer should be the first step in fulfilling this request after a release has been duly executed?,professional_psychology,test-00000-of-00001,C,"A patient wishes to use data from your recent neuropsychological evaluation in a civil hearing in which he is suing the supermarket where he slipped and fell. Which answer should be the first step in fulfilling this request after a release has been duly executed?

Choices:
A. Provide the data and test forms to the patient
B. Provide the data and test forms to the patient’s attorney
C. Provide the data to an appropriately qualified psychologist as indicated on the release form
D. Provide all data and test forms, if contacted directly by the attorney

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to",college_mathematics,test-00000-of-00001,A,"Let T: R^2 -> R^2 be the linear transformation that maps the point (1, 2) to (2, 3) and the point (-1, 2) to (2, -3). Then T maps the point (2, 1) to

Choices:
A. (1, 6)
B. (-1, 4)
C. (3, 2)
D. (-4, 3)

Reply with exactly one uppercase letter out of A, B, C, or D.
",112
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told a lie when questioned under oath. Scenario 2 | I knowingly rented out a fantastic apartment building at better than market rates.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I told a lie when questioned under oath. Scenario 2 | I knowingly rented out a fantastic apartment building at better than market rates.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",116
A male fruit fly is homozygous dominant for gray-body color (G) and is crossed with a female fruit fly that is homozygous recessive for ebony-body color (g). What are the probable phenotypes of the offspring?,,auxiliary_train-00000-of-00001,D,"A male fruit fly is homozygous dominant for gray-body color (G) and is crossed with a female fruit fly that is homozygous recessive for ebony-body color (g). What are the probable phenotypes of the offspring?

Choices:
A. 25% gray, 75% ebony
B. 50% gray, 50% ebony
C. 100% ebony
D. 100% gray

Reply with exactly one uppercase letter out of A, B, C, or D.
",108
"Based on periodic relationships, the bond strength, and the concept relating bond strength to acid strengths, which of the following correctly predicts the strength of binary acids from strongest to weakest?",high_school_chemistry,validation-00000-of-00001,B,"Based on periodic relationships, the bond strength, and the concept relating bond strength to acid strengths, which of the following correctly predicts the strength of binary acids from strongest to weakest?

Choices:
A. H2Se > H2O > H2S
B. H2Se > H2S > H2O
C. H2O < H2S < H2Se
D. H2O > H2S > H2Se

Reply with exactly one uppercase letter out of A, B, C, or D.
",111
"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I didn't pour extra water on the coals before leaving the campsite, although they could start a forest fire. Scenario 2 | I washed my dirty kid with a washcloth dipped in soap.",moral_scenarios,test-00000-of-00001,B,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I didn't pour extra water on the coals before leaving the campsite, although they could start a forest fire. Scenario 2 | I washed my dirty kid with a washcloth dipped in soap.

Choices:
A. Wrong, Wrong
B. Wrong, Not wrong
C. Not wrong, Wrong
D. Not wrong, Not wrong

Reply with exactly one uppercase letter out of A, B, C, or D.
",130
Avalon had a wild time during spring break. Unfortunately the guy she hooked up with in Palm Beach had genital herpes. Which of the following is true about genital herpes?,human_sexuality,test-00000-of-00001,D,"Avalon had a wild time during spring break. Unfortunately the guy she hooked up with in Palm Beach had genital herpes. Which of the following is true about genital herpes?

Choices:
A. Avalon could not contract genital herpes from performing fellatio (oral-genital sex) on the guy.
B. If Avalon contracted genital herpes she can be cured with antibiotics if administered immediately after the first occurrence.
C. If Avalon contracted genital herpes she will only be contagious when she has a break out.
D. none of the above

Reply with exactly one uppercase letter out of A, B, C, or D.
",127
A defendant gave a man a gun and instructed him to kill a victim. The man shot and killed the victim with the gun. The man was charged with murder and acquitted. The defendant is now charged with the murder of the victim. He will be able to assert a valid defense if the man's acquittal was based on which of the following?,professional_law,test-00000-of-00001,B,"A defendant gave a man a gun and instructed him to kill a victim. The man shot and killed the victim with the gun. The man was charged with murder and acquitted. The defendant is now charged with the murder of the victim. He will be able to assert a valid defense if the man's acquittal was based on which of the following?

Choices:
A. Insanity.
B. Self-defense.
C. Diminished capacity.
D. The Wharton Rule.

Reply with exactly one uppercase letter out of A, B, C, or D.
",113
"A compiler generates code for the following assignment statement.
G := (A + B) * C - (D + E) * F
The target machine has a single accumulator and a single-address instruction set consisting of instructions load, store, add, subtract, and multiply. For the arithmetic operations, the left operand is taken from the accumulator and the result appears in the accumulator. The smallest possible number of instructions in the resulting code is",college_computer_science,dev-00000-of-00001,D,"A compiler generates code for the following assignment statement.
G := (A + B) * C - (D + E) * F
The target machine has a single accumulator and a single-address instruction set consisting of instructions load, store, add, subtract, and multiply. For the arithmetic operations, the left operand is taken from the accumulator and the result appears in the accumulator. The smallest possible number of instructions in the resulting code is

Choices:
A. 5
B. 6
C. 7
D. 9

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
H ≡ (~I ∨ J)
H ∨ ~J / ~I",formal_logic,test-00000-of-00001,D,"Use indirect truth tables to determine whether the following argument is valid. If the argument is invalid, choose an option which presents a counterexample. (There may be other counterexamples as well.)
H ≡ (~I ∨ J)
H ∨ ~J / ~I

Choices:
A. Valid
B. Invalid. Counterexample when H, I, and J are false
C. Invalid. Counterexample when H and I are true and J is false
D. Invalid. Counterexample when I is true and H and J are false

Reply with exactly one uppercase letter out of A, B, C, or D.
",128
