timestamp_utc,model_name,seed,quantization,dtype,GPU_NAME,batch_target_prompt_sz,batch_filler_token_length,batch_filler_tk_sz_mode,batch_size,question_index,run_index,target_index_in_batch,target_prompt_length,target_answer,raw_response,processed_response,argmax_option_from_logits,logit_A,logit_B,raw_vocab_logits_file,batch_lengths,unique_batch_lengths,repeated_prompts_in_batch,batch_hash
2026-06-12T16:48:49.028001,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,0,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.097974,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,1,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.166764,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,2,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.235411,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,3,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.303630,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,4,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.372582,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,5,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.440479,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,6,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.509408,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,7,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.578160,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,8,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
2026-06-12T16:48:49.647999,Qwen3-8B,42,bf16,bf16,NVIDIA A100-PCIE-40GB MIG 7g.40gb,47,50,LARGER_1,1,0,9,0,47,A,A,A,A,27.87500,25.87500,,[47],1,0,db050d52e1a6abba0bdd0c2eb81bc49b1ff37fd5d1db920ec199501f26ee93fe
