question,question_concept,_split,answer,final_prompt,len_tk_mistral_7b_base
"If a person uses a computer at night to surf the internet, what feeling might they try to alleviate?",using computer,train-00000-of-00001,E,"Question:
If a person uses a computer at night to surf the internet, what feeling might they try to alleviate?

Which of the following is the best response to the question?

Choices:
A. eye strain
B. happiness
C. program created
D. lonely
E. stress

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"People are always talking for a multitude of reasons, the most basic is that  is a way of doing what with one another?",talking,train-00000-of-00001,D,"Question:
People are always talking for a multitude of reasons, the most basic is that  is a way of doing what with one another?

Which of the following is the best response to the question?

Choices:
A. obtaining information
B. exchange of ideas
C. nose
D. sharing information
E. dry mouth

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
You will find many swamps in the in the southern U.S. along what geographic feature?,swamp,train-00000-of-00001,A,"Question:
You will find many swamps in the in the southern U.S. along what geographic feature?

Which of the following is the best response to the question?

Choices:
A. river delta
B. michigan
C. louisiana
D. wetlands
E. alligators

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
"Samantha was a person, but she wasn't comfortable with others.  She'd rather spend her time with what?",person,train-00000-of-00001,B,"Question:
Samantha was a person, but she wasn't comfortable with others.  She'd rather spend her time with what?

Which of the following is the best response to the question?

Choices:
A. headache
B. animal
C. many people
D. put together
E. own house

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"There is a cave near the capital of Charleston, where is the cave at?",cave,train-00000-of-00001,A,"Question:
There is a cave near the capital of Charleston, where is the cave at?

Which of the following is the best response to the question?

Choices:
A. west virginia
B. rocky hills
C. kentucky
D. in a sea
E. desert

Reply with exactly one uppercase letter out of A, B, C, D or E.
",92
Johnny was looking for cookies that his mom had hid from him.  Where might he look for them?,cookie,train-00000-of-00001,E,"Question:
Johnny was looking for cookies that his mom had hid from him.  Where might he look for them?

Which of the following is the best response to the question?

Choices:
A. dessert
B. evercookie
C. evercookie
D. store
E. jar

Reply with exactly one uppercase letter out of A, B, C, D or E.
",91
"The gardener was famous for his rosebush, the roses were used all over America and up north where?",rosebush,train-00000-of-00001,C,"Question:
The gardener was famous for his rosebush, the roses were used all over America and up north where?

Which of the following is the best response to the question?

Choices:
A. park
B. maine
C. canada
D. california
E. indiana

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
"Dan is driving a car, though he's stopped at a light right now. What else can we assume that he's doing?",driving car,train-00000-of-00001,E,"Question:
Dan is driving a car, though he's stopped at a light right now. What else can we assume that he's doing?

Which of the following is the best response to the question?

Choices:
A. listening to the radio
B. car crash
C. moving
D. get sleepy
E. going someplace

Reply with exactly one uppercase letter out of A, B, C, D or E.
",102
"A european red fox roams in the wild, what side of the earth is it likely on?",fox,train-00000-of-00001,C,"Question:
A european red fox roams in the wild, what side of the earth is it likely on?

Which of the following is the best response to the question?

Choices:
A. england
B. undergrowth
C. northern hemisphere
D. nantucket
E. outer space

Reply with exactly one uppercase letter out of A, B, C, D or E.
",97
"During the date she explained her belief in fatalism, this contrasted with his strong belief in a person's what?",fatalism,train-00000-of-00001,A,"Question:
During the date she explained her belief in fatalism, this contrasted with his strong belief in a person's what?

Which of the following is the best response to the question?

Choices:
A. free will
B. fate
C. fatality
D. indeterminism
E. freedom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",98
"If I wanted to eat something that is made from plants and needs to be washed, what would it be?",plants,validation-00000-of-00001,A,"Question:
If I wanted to eat something that is made from plants and needs to be washed, what would it be?

Which of the following is the best response to the question?

Choices:
A. roots
B. millions of cells
C. see work
D. leaves to gather light
E. flowers on

Reply with exactly one uppercase letter out of A, B, C, D or E.
",95
Dan outfitted his house to run on the oldest heat source on Earth. What is the oldest heat source on Earth?,heat source,train-00000-of-00001,B,"Question:
Dan outfitted his house to run on the oldest heat source on Earth. What is the oldest heat source on Earth?

Which of the following is the best response to the question?

Choices:
A. fire
B. solar energy
C. sun
D. house
E. coal or wood

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
If you've been in front of a computer all day and need to have a rest you can do what do relieve strain?,have rest,train-00000-of-00001,B,"Question:
If you've been in front of a computer all day and need to have a rest you can do what do relieve strain?

Which of the following is the best response to the question?

Choices:
A. sit down
B. closing eyes
C. relax
D. sleep
E. have dreams

Reply with exactly one uppercase letter out of A, B, C, D or E.
",96
"He needed to get ice to have a refreshing drink, the what was stuck on only hot mode?",ice,train-00000-of-00001,D,"Question:
He needed to get ice to have a refreshing drink, the what was stuck on only hot mode?

Which of the following is the best response to the question?

Choices:
A. refrigerator
B. cold weather
C. microwave
D. water cooler
E. mixed drinks

Reply with exactly one uppercase letter out of A, B, C, D or E.
",94
