question,question_concept,_split,answer,final_prompt,len_tk_glm4_9b_base
Where can a human find clothes that aren't pants?,human,validation-00000-of-00001,C,"Question:
Where can a human find clothes that aren't pants?

Which of the following is the best response to the question?

Choices:
A. pants shop
B. on planet earth
C. dress shop
D. school
E. train wreck

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
In what location would a blowfish be most happy?,blowfish,train-00000-of-00001,D,"Question:
In what location would a blowfish be most happy?

Which of the following is the best response to the question?

Choices:
A. palm tree
B. books
C. fish market
D. coral reef
E. aquarium

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
Why do people spend time chatting with friends?,chatting with friends,train-00000-of-00001,C,"Question:
Why do people spend time chatting with friends?

Which of the following is the best response to the question?

Choices:
A. moroseness
B. laughter
C. feel close to
D. feel relaxed
E. gathering of information

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
What is the most famous constellation out of earth?,earth,validation-00000-of-00001,B,"Question:
What is the most famous constellation out of earth?

Which of the following is the best response to the question?

Choices:
A. one moon
B. milky way
C. god's creation
D. stars
E. universe

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where do you wait in a reception area to get a key?,reception area,train-00000-of-00001,E,"Question:
Where do you wait in a reception area to get a key?

Which of the following is the best response to the question?

Choices:
A. hospital
B. law firm
C. office building
D. gym
E. motel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",71
Where does a fox go most of the time?,fox,train-00000-of-00001,D,"Question:
Where does a fox go most of the time?

Which of the following is the best response to the question?

Choices:
A. back yard
B. hen house
C. storybook
D. natural habitat
E. bathroom

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
"Sam thought that Jane was mean, but she was actually what?",mean,train-00000-of-00001,B,"Question:
Sam thought that Jane was mean, but she was actually what?

Which of the following is the best response to the question?

Choices:
A. kindness
B. nice
C. generous
D. friendly
E. mean cruel

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
What is learning about the world and how it works likely to cause?,learning about world,train-00000-of-00001,D,"Question:
What is learning about the world and how it works likely to cause?

Which of the following is the best response to the question?

Choices:
A. pleasure
B. laughter
C. anger
D. loss of innocence
E. sadness

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Too much jogging for elderly people can lead to what?,jogging,train-00000-of-00001,C,"Question:
Too much jogging for elderly people can lead to what?

Which of the following is the best response to the question?

Choices:
A. exhaustion
B. shortness of breath
C. heart attacks
D. blisters
E. diabetes

Reply with exactly one uppercase letter out of A, B, C, D or E.
",72
Where do you wait in a reception area for a meeting?,reception area,train-00000-of-00001,E,"Question:
Where do you wait in a reception area for a meeting?

Which of the following is the best response to the question?

Choices:
A. hall
B. motel
C. hotels
D. law firm
E. office building

Reply with exactly one uppercase letter out of A, B, C, D or E.
",70
